	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status
15	4639__CONTROL_SNP_INDIV	5.09071213937568	0.0240543119537875	0.140116230246411	1.0	101.0	5.0	4.0	0.166412495277776	4639	sequence	CONTROL_SNP_INDIV	no effect
16	4633__CONTROL_SNP_INDIV	0.0139181736219598	0.906087221503914	0.9586227019394359	1.0	31.0	5.0	4.0	0.0570725415442607	4633	sequence	CONTROL_SNP_INDIV	no effect
17	4638__CONTROL_SNP_INDIV	4.45163143436002	0.0348679211868724	0.173414353602993	1.0	101.0	5.0	4.0	0.211190590970458	4638	sequence	CONTROL_SNP_INDIV	no effect
18	4637__CONTROL_SNP_INDIV	1.9742536865942402	0.159997080077764	0.41194174567553604	1.0	101.0	5.0	4.0	-0.10568735796092502	4637	sequence	CONTROL_SNP_INDIV	no effect
19	4640__CONTROL_SNP_INDIV	0.0247945604442066	0.874880055703592	0.9439184773654541	1.0	101.0	5.0	4.0	-0.0140033769796449	4640	sequence	CONTROL_SNP_INDIV	no effect
20	4631__CONTROL_SNP_INDIV	29.7943265055728	4.80395771778711e-08	7.2044353398938506e-06	1.0	101.0	5.0	4.0	0.6508165215997199	4631	sequence	CONTROL_SNP_INDIV	significant effect
21	2460__WILDTYPE_SNP_INDIV	0.0734620551033913	0.7863611566180458	0.8995320350142451	1.0	26.0	5.0	4.0	0.0598658214751814	2460	sequence	WILDTYPE_SNP_INDIV	no effect
22	1163__WILDTYPE_SNP_INDIV	0.000241496427406673	0.987601249041097	0.9935266997282879	1.0	26.0	5.0	4.0	0.00419194510190042	1163	sequence	WILDTYPE_SNP_INDIV	no effect
23	1115__WILDTYPE_SNP_INDIV	0.44026072797123605	0.5069966399206379	0.7420860648502041	1.0	26.0	5.0	4.0	0.29384813342341803	1115	sequence	WILDTYPE_SNP_INDIV	no effect
24	1079__WILDTYPE_SNP_INDIV	4.30264040422549	0.038053249586135	0.182994063682773	1.0	17.0	5.0	4.0	-1.07787722218047	1079	sequence	WILDTYPE_SNP_INDIV	no effect
25	4308__WILDTYPE_SNP_INDIV	6.866933740276981	0.00878051806824002	0.0778156769264253	1.0	10.0	5.0	4.0	-1.8858742190003701	4308	sequence	WILDTYPE_SNP_INDIV	no effect
26	2263__WILDTYPE_SNP_INDIV	2.3795679357162998	0.12293154279764099	0.35752039392064006	1.0	24.0	5.0	4.0	1.03219066971264	2263	sequence	WILDTYPE_SNP_INDIV	no effect
27	3635__WILDTYPE_SNP_INDIV	0.0268048107867571	0.869950196091515	0.941988039495302	1.0	25.0	5.0	4.0	-0.102044570168466	3635	sequence	WILDTYPE_SNP_INDIV	no effect
28	4060__WILDTYPE_SNP_INDIV	1.14581170157589	0.284427626545988	0.5573573621046128	1.0	21.0	5.0	4.0	0.493175140662766	4060	sequence	WILDTYPE_SNP_INDIV	no effect
29	1713__WILDTYPE_SNP_INDIV	5.98231004502907	0.0144500636532955	0.10571014553683698	1.0	19.0	5.0	4.0	-1.2561258943690399	1713	sequence	WILDTYPE_SNP_INDIV	no effect
30	2759__WILDTYPE_SNP_INDIV	9.66981053641166	0.00187320629482951	0.0290425675080833	1.0	26.0	5.0	4.0	0.96494062028413	2759	sequence	WILDTYPE_SNP_INDIV	significant effect
31	339__WILDTYPE_SNP_INDIV	0.798939645950895	0.37141058714288705	0.634983757641152	1.0	18.0	5.0	4.0	-0.515640434958521	339	sequence	WILDTYPE_SNP_INDIV	no effect
32	3992__WILDTYPE_SNP_INDIV	1.8014301304424398	0.17953969519732502	0.438255848042706	1.0	25.0	5.0	4.0	0.42087521567123	3992	sequence	WILDTYPE_SNP_INDIV	no effect
33	4289__WILDTYPE_SNP_INDIV	0.45769985729120294	0.498700914363126	0.737986147062625	1.0	5.0	5.0	4.0	1.01254000211495	4289	sequence	WILDTYPE_SNP_INDIV	no effect
34	3723__WILDTYPE_SNP_INDIV	0.367478400124128	0.5443819746314529	0.7657109805833051	1.0	16.0	5.0	4.0	-0.598241500794942	3723	sequence	WILDTYPE_SNP_INDIV	no effect
35	1329__WILDTYPE_SNP_INDIV	2.39327826145939	0.121857847783191	0.35549897356324395	1.0	22.0	5.0	4.0	0.9465727239351641	1329	sequence	WILDTYPE_SNP_INDIV	no effect
36	1679__WILDTYPE_SNP_INDIV	0.115628893256485	0.7338245319676601	0.8751652985636291	1.0	24.0	5.0	4.0	-0.124729421563463	1679	sequence	WILDTYPE_SNP_INDIV	no effect
37	3343__WILDTYPE_SNP_INDIV	0.965021166286135	0.325925032485325	0.597566742143409	1.0	14.0	5.0	4.0	1.00940572767222	3343	sequence	WILDTYPE_SNP_INDIV	no effect
38	2667__WILDTYPE_SNP_INDIV	0.0060769146742814	0.937864192434638	0.9727275252850279	1.0	17.0	5.0	4.0	-0.051032567972563996	2667	sequence	WILDTYPE_SNP_INDIV	no effect
39	4472__WILDTYPE_SNP_INDIV	8.13277826430613	0.004347208295075	0.0508835429464999	1.0	26.0	5.0	4.0	0.505505943577294	4472	sequence	WILDTYPE_SNP_INDIV	no effect
40	809__WILDTYPE_SNP_INDIV	1.49737627200284	0.221075507060435	0.49415060940057204	1.0	25.0	5.0	4.0	-0.45083567179161205	809	sequence	WILDTYPE_SNP_INDIV	no effect
41	3289__WILDTYPE_SNP_INDIV	0.0405215751977721	0.840464225520028	0.9254193568492	1.0	26.0	5.0	4.0	0.0619737198576191	3289	sequence	WILDTYPE_SNP_INDIV	no effect
42	4150__WILDTYPE_SNP_INDIV	11.5887677117978	0.00066351365274119	0.0151187711443459	1.0	12.0	5.0	4.0	3.55963519118342	4150	sequence	WILDTYPE_SNP_INDIV	significant effect
43	3282__WILDTYPE_SNP_INDIV	0.177728093535279	0.673332994844424	0.8414551155881241	1.0	26.0	5.0	4.0	0.167126058486642	3282	sequence	WILDTYPE_SNP_INDIV	no effect
44	190__WILDTYPE_SNP_INDIV	3.07730055622517	0.0793921951546362	0.282015651034122	1.0	24.0	5.0	4.0	0.7715685472096209	190	sequence	WILDTYPE_SNP_INDIV	no effect
45	2109__WILDTYPE_SNP_INDIV	3.56319884920407	0.0590737952970819	0.236733951441398	1.0	11.0	5.0	4.0	-2.39236777092981	2109	sequence	WILDTYPE_SNP_INDIV	no effect
46	1117__WILDTYPE_SNP_INDIV	3.71064129671822	0.0540666142601553	0.222335631392018	1.0	26.0	5.0	4.0	0.627087222719211	1117	sequence	WILDTYPE_SNP_INDIV	no effect
47	2405__WILDTYPE_SNP_INDIV	0.7868174017530691	0.37506421152870095	0.636650716422247	1.0	25.0	5.0	4.0	0.269317664365084	2405	sequence	WILDTYPE_SNP_INDIV	no effect
48	189__WILDTYPE_SNP_INDIV	0.130055318184077	0.7183746900272329	0.867945653937736	1.0	26.0	5.0	4.0	0.0951300455497614	189	sequence	WILDTYPE_SNP_INDIV	no effect
49	2619__WILDTYPE_SNP_INDIV	0.12138474754237899	0.727537445151432	0.8724268364022291	1.0	24.0	5.0	4.0	-0.136982178094784	2619	sequence	WILDTYPE_SNP_INDIV	no effect
50	236__WILDTYPE_SNP_INDIV	0.861378711178077	0.353353156507921	0.617616110888375	1.0	26.0	5.0	4.0	0.198648067360814	236	sequence	WILDTYPE_SNP_INDIV	no effect
51	584__WILDTYPE_SNP_INDIV	5.24161299103389	0.0220528181790344	0.133457092611836	1.0	26.0	5.0	4.0	0.33474663724871995	584	sequence	WILDTYPE_SNP_INDIV	no effect
52	602__WILDTYPE_SNP_INDIV	9.78454216378759	0.00175985042919567	0.0282458936779599	1.0	25.0	5.0	4.0	0.9387277258058059	602	sequence	WILDTYPE_SNP_INDIV	significant effect
53	672__WILDTYPE_SNP_INDIV	1.4837272793431597	0.223192264227655	0.49587947964283297	1.0	26.0	5.0	4.0	0.396690234099781	672	sequence	WILDTYPE_SNP_INDIV	no effect
54	174__WILDTYPE_SNP_INDIV	8.22779724489328	0.00412535704165834	0.0491255296350331	1.0	26.0	5.0	4.0	0.575293871307021	174	sequence	WILDTYPE_SNP_INDIV	significant effect
55	1661__WILDTYPE_SNP_INDIV	8.106301776370861	0.00441116309020357	0.0515065004133502	1.0	23.0	5.0	4.0	0.925758586626152	1661	sequence	WILDTYPE_SNP_INDIV	no effect
56	448__WILDTYPE_SNP_INDIV	4.3446861510728905	0.0371246090573361	0.180611893970258	1.0	26.0	5.0	4.0	-0.670685890715246	448	sequence	WILDTYPE_SNP_INDIV	no effect
57	44__WILDTYPE_SNP_INDIV	1.3922534265257098	0.23802491821004898	0.510054190361586	1.0	26.0	5.0	4.0	-0.223576772157352	44	sequence	WILDTYPE_SNP_INDIV	no effect
58	883__WILDTYPE_SNP_INDIV	1.02234706528282	0.311962924902477	0.584900516855837	1.0	15.0	5.0	4.0	-0.748116406137739	883	sequence	WILDTYPE_SNP_INDIV	no effect
59	3706__WILDTYPE_SNP_INDIV	4.34370257077671	0.0371460594600219	0.180611893970258	1.0	19.0	5.0	4.0	-1.2803411755266698	3706	sequence	WILDTYPE_SNP_INDIV	no effect
60	36__WILDTYPE_SNP_INDIV	1.7916567009610802	0.18072444067591298	0.43958266132980495	1.0	24.0	5.0	4.0	-0.549808161592333	36	sequence	WILDTYPE_SNP_INDIV	no effect
61	1409__WILDTYPE_SNP_INDIV	0.0331040588375799	0.8556257254505241	0.9323724372787621	1.0	26.0	5.0	4.0	0.0624387903837506	1409	sequence	WILDTYPE_SNP_INDIV	no effect
62	1871__WILDTYPE_SNP_INDIV	0.832184268127548	0.361641684633997	0.625443051453161	1.0	26.0	5.0	4.0	0.18212182698935397	1871	sequence	WILDTYPE_SNP_INDIV	no effect
63	3__WILDTYPE_SNP_INDIV	0.48078633024090295	0.48806635708448104	0.728420847585215	1.0	10.0	5.0	4.0	0.601883594829364	3	sequence	WILDTYPE_SNP_INDIV	no effect
64	4531__WILDTYPE_SNP_INDIV	0.0323272014857139	0.857311414302437	0.9335687490894928	1.0	26.0	5.0	4.0	-0.0462171667019809	4531	sequence	WILDTYPE_SNP_INDIV	no effect
65	991__WILDTYPE_SNP_INDIV	1.62849193605643	0.201911761918516	0.46931012185230797	1.0	26.0	5.0	4.0	0.335087218417757	991	sequence	WILDTYPE_SNP_INDIV	no effect
66	3870__WILDTYPE_SNP_INDIV	6.14553721715771	0.0131744137967364	0.0995653729299809	1.0	16.0	5.0	4.0	-1.9438856370523403	3870	sequence	WILDTYPE_SNP_INDIV	no effect
67	191__WILDTYPE_SNP_INDIV	1.7568126348246598	0.18502257635233801	0.444183763839355	1.0	25.0	5.0	4.0	0.552694731007639	191	sequence	WILDTYPE_SNP_INDIV	no effect
68	2993__WILDTYPE_SNP_INDIV	2.57190559615901	0.108776627069699	0.33484222790730395	1.0	22.0	5.0	4.0	-1.00327354121082	2993	sequence	WILDTYPE_SNP_INDIV	no effect
69	4011__WILDTYPE_SNP_INDIV	0.0387220620987136	0.8440003118630279	0.9272607818028471	1.0	23.0	5.0	4.0	-0.11019058569141998	4011	sequence	WILDTYPE_SNP_INDIV	no effect
70	4333__WILDTYPE_SNP_INDIV	26.1750906697157	3.11818981216954e-07	3.64980314843942e-05	1.0	26.0	5.0	4.0	0.694211290150536	4333	sequence	WILDTYPE_SNP_INDIV	significant effect
71	4505__WILDTYPE_SNP_INDIV	0.280245375248114	0.596540434213809	0.7998155302882801	1.0	26.0	5.0	4.0	-0.147793787239612	4505	sequence	WILDTYPE_SNP_INDIV	no effect
72	1512__WILDTYPE_SNP_INDIV	0.0439946291751312	0.833863605343312	0.9231168263073941	1.0	23.0	5.0	4.0	-0.0888991500038245	1512	sequence	WILDTYPE_SNP_INDIV	no effect
73	3133__WILDTYPE_SNP_INDIV	0.00340150711474507	0.953491792668873	0.979123980774202	1.0	23.0	5.0	4.0	-0.0205452189811072	3133	sequence	WILDTYPE_SNP_INDIV	no effect
74	1800__WILDTYPE_SNP_INDIV	0.122922229039261	0.7258864565690909	0.87197224157073	1.0	18.0	5.0	4.0	0.226035375224547	1800	sequence	WILDTYPE_SNP_INDIV	no effect
75	2942__WILDTYPE_SNP_INDIV	20.2054163536795	6.95557160231505e-06	0.00049853672665974	1.0	26.0	5.0	4.0	0.9628691232591491	2942	sequence	WILDTYPE_SNP_INDIV	significant effect
76	1422__WILDTYPE_SNP_INDIV	8.26000712131804	0.00405279689782797	0.0487797796953639	1.0	26.0	5.0	4.0	-0.9286080316333729	1422	sequence	WILDTYPE_SNP_INDIV	significant effect
77	2684__WILDTYPE_SNP_INDIV	3.82910711678846	0.0503697586206513	0.214104935004877	1.0	26.0	5.0	4.0	-0.6993870437201171	2684	sequence	WILDTYPE_SNP_INDIV	no effect
78	1930__WILDTYPE_SNP_INDIV	0.17820693745556998	0.672918719935281	0.8414551155881241	1.0	20.0	5.0	4.0	-0.19874682372882999	1930	sequence	WILDTYPE_SNP_INDIV	no effect
79	2733__WILDTYPE_SNP_INDIV	3.9815619801680695	0.0460008870288376	0.20383957234662198	1.0	17.0	5.0	4.0	-1.4633146587419599	2733	sequence	WILDTYPE_SNP_INDIV	no effect
80	2243__WILDTYPE_SNP_INDIV	0.8241015705661991	0.36398368576288104	0.6275900361502429	1.0	26.0	5.0	4.0	0.0954178644817957	2243	sequence	WILDTYPE_SNP_INDIV	no effect
81	294__WILDTYPE_SNP_INDIV	0.7602988033136171	0.383235029097327	0.644183854514211	1.0	26.0	5.0	4.0	0.151046763870518	294	sequence	WILDTYPE_SNP_INDIV	no effect
82	1577__WILDTYPE_SNP_INDIV	0.4468510003213739	0.5038341699363771	0.741512050227274	1.0	12.0	5.0	4.0	0.545953465464089	1577	sequence	WILDTYPE_SNP_INDIV	no effect
83	4221__WILDTYPE_SNP_INDIV	0.10625333875577801	0.744450653223821	0.8784550876645981	1.0	26.0	5.0	4.0	0.0353605470079382	4221	sequence	WILDTYPE_SNP_INDIV	no effect
84	2465__WILDTYPE_SNP_INDIV	0.70292188949378	0.40180363533904	0.6594581552640411	1.0	16.0	5.0	4.0	-0.6709369189256811	2465	sequence	WILDTYPE_SNP_INDIV	no effect
85	1392__WILDTYPE_SNP_INDIV	2.89994414431158	0.0885826220231998	0.300642152114099	1.0	23.0	5.0	4.0	0.6220113559167499	1392	sequence	WILDTYPE_SNP_INDIV	no effect
86	4347__WILDTYPE_SNP_INDIV	0.6577842118331321	0.41734329137359405	0.6745177770003941	1.0	26.0	5.0	4.0	-0.17346687552360002	4347	sequence	WILDTYPE_SNP_INDIV	no effect
87	4234__WILDTYPE_SNP_INDIV	14.3516537428404	0.000151646435886528	0.00563574366910433	1.0	26.0	5.0	4.0	0.46704847236009295	4234	sequence	WILDTYPE_SNP_INDIV	significant effect
88	2850__WILDTYPE_SNP_INDIV	11.2998392556901	0.000775138015288095	0.0168320693908035	1.0	24.0	5.0	4.0	-2.03086913291611	2850	sequence	WILDTYPE_SNP_INDIV	significant effect
89	278__WILDTYPE_SNP_INDIV	2.4940140667417796	0.11427992292916801	0.34212948369090507	1.0	26.0	5.0	4.0	-0.30703873607390697	278	sequence	WILDTYPE_SNP_INDIV	no effect
90	45__WILDTYPE_SNP_INDIV	2.8681659853973502	0.0903477728014434	0.304479607917224	1.0	26.0	5.0	4.0	0.303831680324495	45	sequence	WILDTYPE_SNP_INDIV	no effect
91	4044__WILDTYPE_SNP_INDIV	2.0393057954916	0.15327958440639802	0.40284158026632205	1.0	26.0	5.0	4.0	0.33226669458824704	4044	sequence	WILDTYPE_SNP_INDIV	no effect
92	1686__WILDTYPE_SNP_INDIV	0.777239378173135	0.37798676800930997	0.639394036915263	1.0	24.0	5.0	4.0	0.428449840599436	1686	sequence	WILDTYPE_SNP_INDIV	no effect
93	3181__WILDTYPE_SNP_INDIV	0.0641859889365151	0.7999981178065608	0.9056831722938629	1.0	25.0	5.0	4.0	0.0823143378256906	3181	sequence	WILDTYPE_SNP_INDIV	no effect
94	653__WILDTYPE_SNP_INDIV	5.868980208081889	0.0154099762629649	0.10828922939723401	1.0	23.0	5.0	4.0	-1.44038813763618	653	sequence	WILDTYPE_SNP_INDIV	no effect
95	3801__WILDTYPE_SNP_INDIV	6.584084887611881	0.0102894497930352	0.0847181007710542	1.0	26.0	5.0	4.0	0.6729752086366689	3801	sequence	WILDTYPE_SNP_INDIV	no effect
96	565__WILDTYPE_SNP_INDIV	1.5322139109289301	0.215780480064325	0.48822749826906897	1.0	26.0	5.0	4.0	-0.318311306049515	565	sequence	WILDTYPE_SNP_INDIV	no effect
97	1945__WILDTYPE_SNP_INDIV	1.2507453449088601	0.26341016818894897	0.536319642400835	1.0	24.0	5.0	4.0	-0.42995571034506397	1945	sequence	WILDTYPE_SNP_INDIV	no effect
98	1456__WILDTYPE_SNP_INDIV	7.171136934689	0.0074085807228428	0.0702643851559735	1.0	26.0	5.0	4.0	-0.7628098676445841	1456	sequence	WILDTYPE_SNP_INDIV	no effect
99	1845__WILDTYPE_SNP_INDIV	0.104145272000551	0.746910738164349	0.879829315770915	1.0	26.0	5.0	4.0	0.07645695779736901	1845	sequence	WILDTYPE_SNP_INDIV	no effect
100	4601__WILDTYPE_SNP_INDIV	5.2781457858191105	0.0215947335053559	0.131690567233958	1.0	26.0	5.0	4.0	0.4607368144263379	4601	sequence	WILDTYPE_SNP_INDIV	no effect
101	1537__WILDTYPE_SNP_INDIV	0.45645842607837	0.49928380044824494	0.737986147062625	1.0	26.0	5.0	4.0	-0.17778885467199199	1537	sequence	WILDTYPE_SNP_INDIV	no effect
102	1485__WILDTYPE_SNP_INDIV	4.4351780997881205	0.03520554644785201	0.17435646790840198	1.0	26.0	5.0	4.0	-0.698895115380189	1485	sequence	WILDTYPE_SNP_INDIV	no effect
103	1633__WILDTYPE_SNP_INDIV	0.0010622471982060198	0.973999842664028	0.987419348730076	1.0	26.0	5.0	4.0	0.00783832489731426	1633	sequence	WILDTYPE_SNP_INDIV	no effect
104	4599__WILDTYPE_SNP_INDIV	0.329846646118654	0.565749402347703	0.780854582072657	1.0	24.0	5.0	4.0	-0.28467962124649	4599	sequence	WILDTYPE_SNP_INDIV	no effect
105	4670__WILDTYPE_SNP_INDIV	14.7032575432404	0.000125828829793654	0.005032104618164571	1.0	26.0	5.0	4.0	-0.682557036681564	4670	sequence	WILDTYPE_SNP_INDIV	significant effect
106	3986__WILDTYPE_SNP_INDIV	0.0995879930364936	0.752324619766818	0.88355839385655	1.0	22.0	5.0	4.0	-0.140833726204767	3986	sequence	WILDTYPE_SNP_INDIV	no effect
107	3978__WILDTYPE_SNP_INDIV	0.130143666760659	0.718283126801883	0.867945653937736	1.0	25.0	5.0	4.0	0.11238293827569501	3978	sequence	WILDTYPE_SNP_INDIV	no effect
108	735__WILDTYPE_SNP_INDIV	0.159768137615401	0.6893700765350489	0.850802760541739	1.0	26.0	5.0	4.0	-0.158128098086457	735	sequence	WILDTYPE_SNP_INDIV	no effect
109	31__WILDTYPE_SNP_INDIV	0.5964159115258101	0.43994879493433403	0.693598642210864	1.0	26.0	5.0	4.0	-0.266911608363527	31	sequence	WILDTYPE_SNP_INDIV	no effect
110	2630__WILDTYPE_SNP_INDIV	1.14678911354696	0.28422231066299497	0.5571825444737379	1.0	13.0	5.0	4.0	1.1876448652983602	2630	sequence	WILDTYPE_SNP_INDIV	no effect
111	222__WILDTYPE_SNP_INDIV	0.314534537001236	0.574910851207594	0.785591450724727	1.0	26.0	5.0	4.0	0.16213333471243302	222	sequence	WILDTYPE_SNP_INDIV	no effect
112	3128__WILDTYPE_SNP_INDIV	1.92625902875238	0.165168307701702	0.4183277097152249	1.0	26.0	5.0	4.0	-0.556646171085981	3128	sequence	WILDTYPE_SNP_INDIV	no effect
113	1379__WILDTYPE_SNP_INDIV	3.53905374096848	0.0599396472407916	0.238713997600464	1.0	26.0	5.0	4.0	0.45423501100561603	1379	sequence	WILDTYPE_SNP_INDIV	no effect
114	3973__WILDTYPE_SNP_INDIV	1.0701141603367401	0.30091966111386104	0.5743144038700679	1.0	26.0	5.0	4.0	0.323014024394831	3973	sequence	WILDTYPE_SNP_INDIV	no effect
115	2295__WILDTYPE_SNP_INDIV	2.60230745511899	0.10670825200322401	0.33289217691683604	1.0	23.0	5.0	4.0	0.609052914036918	2295	sequence	WILDTYPE_SNP_INDIV	no effect
116	3453__WILDTYPE_SNP_INDIV	0.911476810697422	0.339722880819811	0.6067473409208299	1.0	26.0	5.0	4.0	0.17364662243981702	3453	sequence	WILDTYPE_SNP_INDIV	no effect
117	3058__WILDTYPE_SNP_INDIV	2.11277448777491	0.146074268016442	0.39228338679960995	1.0	24.0	5.0	4.0	0.645807283498806	3058	sequence	WILDTYPE_SNP_INDIV	no effect
118	4212__WILDTYPE_SNP_INDIV	0.0946258516833041	0.758376710842766	0.885942024180729	1.0	15.0	5.0	4.0	0.296196427216268	4212	sequence	WILDTYPE_SNP_INDIV	no effect
119	3521__WILDTYPE_SNP_INDIV	2.01991105654935	0.155248234915319	0.405079767697303	1.0	17.0	5.0	4.0	-0.980636777525408	3521	sequence	WILDTYPE_SNP_INDIV	no effect
120	4563__WILDTYPE_SNP_INDIV	0.9132769752709459	0.339246433254193	0.6062877583884979	1.0	26.0	5.0	4.0	-0.208012092619696	4563	sequence	WILDTYPE_SNP_INDIV	no effect
121	3360__WILDTYPE_SNP_INDIV	0.119837479974876	0.7292108224679391	0.8728689684276791	1.0	26.0	5.0	4.0	0.118146656991465	3360	sequence	WILDTYPE_SNP_INDIV	no effect
122	3419__WILDTYPE_SNP_INDIV	5.698722865615539	0.0169772619869562	0.11523886884781201	1.0	26.0	5.0	4.0	0.8299475144183691	3419	sequence	WILDTYPE_SNP_INDIV	no effect
123	3747__WILDTYPE_SNP_INDIV	0.0124039079543081	0.911320702055842	0.960348715231881	1.0	21.0	5.0	4.0	-0.0555425914167868	3747	sequence	WILDTYPE_SNP_INDIV	no effect
124	806__WILDTYPE_SNP_INDIV	0.19061870155638896	0.662402175746571	0.8384023256844271	1.0	16.0	5.0	4.0	-0.22081038799497602	806	sequence	WILDTYPE_SNP_INDIV	no effect
125	3464__WILDTYPE_SNP_INDIV	0.407004128218432	0.523494021520421	0.753721328511602	1.0	26.0	5.0	4.0	0.0834372417962262	3464	sequence	WILDTYPE_SNP_INDIV	no effect
126	3555__WILDTYPE_SNP_INDIV	2.06458359080852	0.15075610321397	0.399237105493434	1.0	26.0	5.0	4.0	0.268181824531332	3555	sequence	WILDTYPE_SNP_INDIV	no effect
127	1501__WILDTYPE_SNP_INDIV	1.66578401596553	0.196824183659947	0.462334325433538	1.0	23.0	5.0	4.0	0.46232922184299496	1501	sequence	WILDTYPE_SNP_INDIV	no effect
128	553__WILDTYPE_SNP_INDIV	2.00642801899556	0.156633732178844	0.40772268526886	1.0	19.0	5.0	4.0	-1.09751932758135	553	sequence	WILDTYPE_SNP_INDIV	no effect
129	3323__WILDTYPE_SNP_INDIV	2.2481067401047	0.133777988007942	0.37353421394995795	1.0	12.0	5.0	4.0	1.11927383459599	3323	sequence	WILDTYPE_SNP_INDIV	no effect
130	2961__WILDTYPE_SNP_INDIV	4.6256621153534105	0.0314971023994217	0.16424273326674	1.0	26.0	5.0	4.0	0.5310410942682899	2961	sequence	WILDTYPE_SNP_INDIV	no effect
131	3702__WILDTYPE_SNP_INDIV	1.1019072478598	0.293847923846309	0.56839024044274	1.0	25.0	5.0	4.0	0.269457705347575	3702	sequence	WILDTYPE_SNP_INDIV	no effect
132	3155__WILDTYPE_SNP_INDIV	4.15172064378839	0.041592239091719996	0.192996316352556	1.0	26.0	5.0	4.0	0.593316145060884	3155	sequence	WILDTYPE_SNP_INDIV	no effect
133	4327__WILDTYPE_SNP_INDIV	0.8520116024537858	0.35598388741806997	0.620321959229962	1.0	26.0	5.0	4.0	0.20516975406071897	4327	sequence	WILDTYPE_SNP_INDIV	no effect
134	591__WILDTYPE_SNP_INDIV	0.04901338741501599	0.824789032515539	0.919006864880908	1.0	26.0	5.0	4.0	0.0378937905549933	591	sequence	WILDTYPE_SNP_INDIV	no effect
135	2327__WILDTYPE_SNP_INDIV	1.4317968368623	0.23147141749735198	0.506997413313462	1.0	26.0	5.0	4.0	0.292671063093604	2327	sequence	WILDTYPE_SNP_INDIV	no effect
136	4487__WILDTYPE_SNP_INDIV	0.93408343510032	0.333804090153515	0.603587599062148	1.0	25.0	5.0	4.0	0.38327258586779295	4487	sequence	WILDTYPE_SNP_INDIV	no effect
137	4336__WILDTYPE_SNP_INDIV	4.91863430622084	0.0265685110989812	0.14843106491735802	1.0	17.0	5.0	4.0	-1.31321993465836	4336	sequence	WILDTYPE_SNP_INDIV	no effect
