	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status
32	339__WILDTYPE_SNP_INDIV	7.552554179599951	0.00599250757916294	0.0190854813952665	1.0	18.0	5.0	4.0	0.548071093249242	339	sequence	WILDTYPE_SNP_INDIV	significant effect
33	3992__WILDTYPE_SNP_INDIV	20.0059679821466	7.72008419406886e-06	6.89641721871653e-05	1.0	25.0	5.0	4.0	0.49251647366825	3992	sequence	WILDTYPE_SNP_INDIV	significant effect
34	4289__WILDTYPE_SNP_INDIV	0.0384768709222953	0.8444886751930321	0.901513232558355	1.0	5.0	5.0	4.0	-0.204858100550003	4289	sequence	WILDTYPE_SNP_INDIV	no effect
35	3723__WILDTYPE_SNP_INDIV	1.5051762992052298	0.21987661833561603	0.342648193165036	1.0	16.0	5.0	4.0	0.208492059084654	3723	sequence	WILDTYPE_SNP_INDIV	no effect
36	1329__WILDTYPE_SNP_INDIV	1.0283668388665301	0.310542559121586	0.44617863651370504	1.0	22.0	5.0	4.0	-0.177595157481534	1329	sequence	WILDTYPE_SNP_INDIV	no effect
37	1679__WILDTYPE_SNP_INDIV	4.05627504124595	0.0440074733251872	0.0980982916516	1.0	24.0	5.0	4.0	-0.248372267343757	1679	sequence	WILDTYPE_SNP_INDIV	no effect
38	3343__WILDTYPE_SNP_INDIV	0.798820178433573	0.371446351019321	0.509006493887989	1.0	14.0	5.0	4.0	-0.25694723973697503	3343	sequence	WILDTYPE_SNP_INDIV	no effect
39	2667__WILDTYPE_SNP_INDIV	13.8763273977974	0.00019524223734065	0.00108729338662707	1.0	17.0	5.0	4.0	-0.75159406554459	2667	sequence	WILDTYPE_SNP_INDIV	significant effect
40	4472__WILDTYPE_SNP_INDIV	6.62905428722706	0.0100328517517472	0.02906442767866	1.0	26.0	5.0	4.0	0.194961621279843	4472	sequence	WILDTYPE_SNP_INDIV	significant effect
41	809__WILDTYPE_SNP_INDIV	0.0009463635915381019	0.975458529728229	0.9846982630633371	1.0	25.0	5.0	4.0	-0.00396126149009498	809	sequence	WILDTYPE_SNP_INDIV	no effect
42	3289__WILDTYPE_SNP_INDIV	1.0137434591051702	0.314007689358281	0.449946617488341	1.0	26.0	5.0	4.0	0.11200641670469802	3289	sequence	WILDTYPE_SNP_INDIV	no effect
43	4150__WILDTYPE_SNP_INDIV	3.69138332203443	0.0546942371188846	0.116516180670815	1.0	12.0	5.0	4.0	0.5004317223463429	4150	sequence	WILDTYPE_SNP_INDIV	no effect
44	3282__WILDTYPE_SNP_INDIV	4.30057997511631	0.0380993781000443	0.0872930708737913	1.0	26.0	5.0	4.0	-0.25126082044838	3282	sequence	WILDTYPE_SNP_INDIV	no effect
45	190__WILDTYPE_SNP_INDIV	0.0860864788851359	0.769212623817256	0.84418657813592	1.0	24.0	5.0	4.0	0.0376717818515887	190	sequence	WILDTYPE_SNP_INDIV	no effect
46	2109__WILDTYPE_SNP_INDIV	2.14591996284076	0.142949324854651	0.247662024243493	1.0	11.0	5.0	4.0	-0.43869717253531604	2109	sequence	WILDTYPE_SNP_INDIV	no effect
47	1117__WILDTYPE_SNP_INDIV	0.8581001843690501	0.35427088811269297	0.4908117291062561	1.0	26.0	5.0	4.0	0.0979417887663723	1117	sequence	WILDTYPE_SNP_INDIV	no effect
48	2405__WILDTYPE_SNP_INDIV	7.274783325607129	0.00699293278954335	0.021766862037918	1.0	25.0	5.0	4.0	0.307920830079417	2405	sequence	WILDTYPE_SNP_INDIV	significant effect
49	189__WILDTYPE_SNP_INDIV	20.2578776095947	6.76742318019602e-06	6.14824873421967e-05	1.0	26.0	5.0	4.0	-0.364308320226126	189	sequence	WILDTYPE_SNP_INDIV	significant effect
50	2619__WILDTYPE_SNP_INDIV	0.235743686618207	0.627297292989942	0.7365723894721871	1.0	24.0	5.0	4.0	0.0686837960842373	2619	sequence	WILDTYPE_SNP_INDIV	no effect
51	236__WILDTYPE_SNP_INDIV	0.31206757181053	0.576414203431397	0.6975494168181221	1.0	26.0	5.0	4.0	0.0581781528999172	236	sequence	WILDTYPE_SNP_INDIV	no effect
52	584__WILDTYPE_SNP_INDIV	23.7578645482135	1.09248058356833e-06	1.2806004108852199e-05	1.0	26.0	5.0	4.0	0.386899606048365	584	sequence	WILDTYPE_SNP_INDIV	significant effect
53	602__WILDTYPE_SNP_INDIV	6.48519953598816	0.0108776328035728	0.0311504552691148	1.0	25.0	5.0	4.0	0.24442242213645202	602	sequence	WILDTYPE_SNP_INDIV	significant effect
54	672__WILDTYPE_SNP_INDIV	12.297733723306902	0.000453508626814941	0.00220380430785906	1.0	26.0	5.0	4.0	0.47659940315617205	672	sequence	WILDTYPE_SNP_INDIV	significant effect
55	174__WILDTYPE_SNP_INDIV	50.591303526080104	1.13747952268196e-12	5.52194604647425e-11	1.0	26.0	5.0	4.0	0.617537985908397	174	sequence	WILDTYPE_SNP_INDIV	significant effect
56	1661__WILDTYPE_SNP_INDIV	0.4390786151293471	0.507567504140767	0.6357491334116561	1.0	23.0	5.0	4.0	0.0618276655706991	1661	sequence	WILDTYPE_SNP_INDIV	no effect
57	448__WILDTYPE_SNP_INDIV	21.3711438327032	3.78424128653287e-06	3.70408627761242e-05	1.0	26.0	5.0	4.0	-0.535556952172866	448	sequence	WILDTYPE_SNP_INDIV	significant effect
58	44__WILDTYPE_SNP_INDIV	7.1878820872016105	0.0073397562648944295	0.0227085620488917	1.0	26.0	5.0	4.0	-0.239101409332979	44	sequence	WILDTYPE_SNP_INDIV	significant effect
59	883__WILDTYPE_SNP_INDIV	2.1929497177112602	0.13864357996698098	0.24194663955022197	1.0	15.0	5.0	4.0	-0.561674007551485	883	sequence	WILDTYPE_SNP_INDIV	no effect
60	3706__WILDTYPE_SNP_INDIV	1.2209614886437499	0.269172042000333	0.40111203776114	1.0	19.0	5.0	4.0	0.207332557040026	3706	sequence	WILDTYPE_SNP_INDIV	no effect
61	36__WILDTYPE_SNP_INDIV	7.79496907750649	0.0052391907153292	0.0170708817477099	1.0	24.0	5.0	4.0	0.372039295967985	36	sequence	WILDTYPE_SNP_INDIV	significant effect
62	1409__WILDTYPE_SNP_INDIV	1.86857414805309	0.17163847346698802	0.28459421914797695	1.0	26.0	5.0	4.0	0.19020177705114896	1409	sequence	WILDTYPE_SNP_INDIV	no effect
63	1871__WILDTYPE_SNP_INDIV	3.52304045530991	0.0605213266932924	0.1256981400553	1.0	26.0	5.0	4.0	-0.161932544669319	1871	sequence	WILDTYPE_SNP_INDIV	no effect
64	3__WILDTYPE_SNP_INDIV	1.2548347761868999	0.26263106628342603	0.393946599425139	1.0	10.0	5.0	4.0	0.22936559194498998	3	sequence	WILDTYPE_SNP_INDIV	no effect
65	4531__WILDTYPE_SNP_INDIV	3.5065412639219202	0.0611269437184912	0.126489666998238	1.0	26.0	5.0	4.0	-0.22453757702047	4531	sequence	WILDTYPE_SNP_INDIV	no effect
66	991__WILDTYPE_SNP_INDIV	1.93586520819827	0.16411818750009197	0.27540223782313	1.0	26.0	5.0	4.0	0.135133676373312	991	sequence	WILDTYPE_SNP_INDIV	no effect
67	3870__WILDTYPE_SNP_INDIV	0.5999230070469821	0.43860740388747704	0.5733015950394139	1.0	16.0	5.0	4.0	0.178441902035334	3870	sequence	WILDTYPE_SNP_INDIV	no effect
68	191__WILDTYPE_SNP_INDIV	0.0220910220380119	0.8818452140659859	0.9255619346584691	1.0	25.0	5.0	4.0	0.0171301187290819	191	sequence	WILDTYPE_SNP_INDIV	no effect
69	2993__WILDTYPE_SNP_INDIV	0.00098655591887109	0.974942974778816	0.9846982630633371	1.0	22.0	5.0	4.0	-0.0057837984836866	2993	sequence	WILDTYPE_SNP_INDIV	no effect
70	4011__WILDTYPE_SNP_INDIV	0.0974104651995731	0.754959589432584	0.834912500317861	1.0	23.0	5.0	4.0	0.0443695636549502	4011	sequence	WILDTYPE_SNP_INDIV	no effect
71	4333__WILDTYPE_SNP_INDIV	57.567919770691795	3.26507656189611e-14	2.30764087595187e-12	1.0	26.0	5.0	4.0	0.609871973567193	4333	sequence	WILDTYPE_SNP_INDIV	significant effect
72	4505__WILDTYPE_SNP_INDIV	0.00605695030481002	0.9379661369376829	0.9583166469457329	1.0	26.0	5.0	4.0	0.00881123826956271	4505	sequence	WILDTYPE_SNP_INDIV	no effect
73	1512__WILDTYPE_SNP_INDIV	0.27394143330207	0.600699996295855	0.7152520727741949	1.0	23.0	5.0	4.0	0.0683804783264269	1512	sequence	WILDTYPE_SNP_INDIV	no effect
74	3133__WILDTYPE_SNP_INDIV	0.006054660208974379	0.9379778417046879	0.9583166469457329	1.0	23.0	5.0	4.0	-0.0126062092595663	3133	sequence	WILDTYPE_SNP_INDIV	no effect
75	1800__WILDTYPE_SNP_INDIV	13.312050466899299	0.000263705823836557	0.00140351073018659	1.0	18.0	5.0	4.0	0.7642871315491759	1800	sequence	WILDTYPE_SNP_INDIV	significant effect
76	2942__WILDTYPE_SNP_INDIV	13.817123518919699	0.000201491472277475	0.0011150462393608	1.0	26.0	5.0	4.0	0.381264409189367	2942	sequence	WILDTYPE_SNP_INDIV	significant effect
77	1422__WILDTYPE_SNP_INDIV	41.4935651020191	1.18259554678922e-10	4.08888791213598e-09	1.0	26.0	5.0	4.0	-0.8319394951401771	1422	sequence	WILDTYPE_SNP_INDIV	significant effect
78	2684__WILDTYPE_SNP_INDIV	41.1047095247377	1.44288246060669e-10	4.83442767448553e-09	1.0	26.0	5.0	4.0	-0.7028397533276661	2684	sequence	WILDTYPE_SNP_INDIV	significant effect
79	1930__WILDTYPE_SNP_INDIV	0.5737110992697579	0.448787981441315	0.5834122366261729	1.0	20.0	5.0	4.0	0.168175420201677	1930	sequence	WILDTYPE_SNP_INDIV	no effect
80	2733__WILDTYPE_SNP_INDIV	7.405580353668141	0.0065021864308275395	0.0203845453271736	1.0	17.0	5.0	4.0	-0.546790644111942	2733	sequence	WILDTYPE_SNP_INDIV	significant effect
81	2243__WILDTYPE_SNP_INDIV	1.22881105332544	0.267638384538953	0.39973491306590797	1.0	26.0	5.0	4.0	-0.0869031329075267	2243	sequence	WILDTYPE_SNP_INDIV	no effect
82	294__WILDTYPE_SNP_INDIV	3.2219553024137904	0.0726567932177994	0.146287619691975	1.0	26.0	5.0	4.0	0.17952208755081103	294	sequence	WILDTYPE_SNP_INDIV	no effect
83	1577__WILDTYPE_SNP_INDIV	0.19159019799678798	0.661596392051191	0.762521567117405	1.0	12.0	5.0	4.0	0.124488237868475	1577	sequence	WILDTYPE_SNP_INDIV	no effect
84	4221__WILDTYPE_SNP_INDIV	3.1011063417145097	0.0782391074266778	0.15470234712655898	1.0	26.0	5.0	4.0	-0.16637065109756197	4221	sequence	WILDTYPE_SNP_INDIV	no effect
85	2465__WILDTYPE_SNP_INDIV	15.1889304307258	9.72719625758773e-05	0.000600523128901429	1.0	16.0	5.0	4.0	-0.9589461767649721	2465	sequence	WILDTYPE_SNP_INDIV	significant effect
86	1392__WILDTYPE_SNP_INDIV	1.3613409850236202	0.24330521234914898	0.3716862207724129	1.0	23.0	5.0	4.0	-0.16768646824698402	1392	sequence	WILDTYPE_SNP_INDIV	no effect
87	4347__WILDTYPE_SNP_INDIV	1.33765527750757	0.247447888351841	0.376578388669711	1.0	26.0	5.0	4.0	-0.12620904654252402	4347	sequence	WILDTYPE_SNP_INDIV	no effect
88	4234__WILDTYPE_SNP_INDIV	14.552169409576	0.000136331588997843	0.0007903614194494981	1.0	26.0	5.0	4.0	0.41101072625123797	4234	sequence	WILDTYPE_SNP_INDIV	significant effect
89	2850__WILDTYPE_SNP_INDIV	34.0260262917309	5.43798027641097e-09	1.22699216940991e-07	1.0	24.0	5.0	4.0	-0.859375684362035	2850	sequence	WILDTYPE_SNP_INDIV	significant effect
90	278__WILDTYPE_SNP_INDIV	17.6201444510302	2.69716188464006e-05	0.000202360517610195	1.0	26.0	5.0	4.0	-0.311093529425213	278	sequence	WILDTYPE_SNP_INDIV	significant effect
91	45__WILDTYPE_SNP_INDIV	4.01222578930538	0.0451714802867592	0.100135670783286	1.0	26.0	5.0	4.0	0.176723782107042	45	sequence	WILDTYPE_SNP_INDIV	no effect
92	4044__WILDTYPE_SNP_INDIV	7.47968357465425	0.006239903670465271	0.0197166186983932	1.0	26.0	5.0	4.0	0.27808696850376896	4044	sequence	WILDTYPE_SNP_INDIV	significant effect
93	1686__WILDTYPE_SNP_INDIV	3.85470132774435	0.0496067582468306	0.108122485321663	1.0	24.0	5.0	4.0	-0.28367611316863106	1686	sequence	WILDTYPE_SNP_INDIV	no effect
94	3181__WILDTYPE_SNP_INDIV	1.42357446714504	0.23281595819822304	0.358511212784575	1.0	25.0	5.0	4.0	-0.117876964335179	3181	sequence	WILDTYPE_SNP_INDIV	no effect
95	653__WILDTYPE_SNP_INDIV	5.81181696660542	0.0159188386786012	0.0427168836903168	1.0	23.0	5.0	4.0	0.46939806924256505	653	sequence	WILDTYPE_SNP_INDIV	significant effect
96	3801__WILDTYPE_SNP_INDIV	20.7633560092968	5.19678706450182e-06	4.87807785781167e-05	1.0	26.0	5.0	4.0	0.47524437362418503	3801	sequence	WILDTYPE_SNP_INDIV	significant effect
97	565__WILDTYPE_SNP_INDIV	18.9706540185002	1.32744468518196e-05	0.000111227327603825	1.0	26.0	5.0	4.0	-0.499275931122182	565	sequence	WILDTYPE_SNP_INDIV	significant effect
98	1945__WILDTYPE_SNP_INDIV	13.9830331571436	0.000184467779826689	0.00103448325536414	1.0	24.0	5.0	4.0	0.492462210083211	1945	sequence	WILDTYPE_SNP_INDIV	significant effect
99	1456__WILDTYPE_SNP_INDIV	4.4011187985320195	0.0359153617080443	0.0831851702982462	1.0	26.0	5.0	4.0	-0.256875899914602	1456	sequence	WILDTYPE_SNP_INDIV	no effect
100	1845__WILDTYPE_SNP_INDIV	15.189051166458302	9.72657433836163e-05	0.000600523128901429	1.0	26.0	5.0	4.0	-0.375858697471989	1845	sequence	WILDTYPE_SNP_INDIV	significant effect
101	4601__WILDTYPE_SNP_INDIV	60.84768835384279	6.16658725674874e-15	4.85846202556303e-13	1.0	26.0	5.0	4.0	0.7221524668012959	4601	sequence	WILDTYPE_SNP_INDIV	significant effect
102	1537__WILDTYPE_SNP_INDIV	16.1045204939442	5.99407872486276e-05	0.000403466979715552	1.0	26.0	5.0	4.0	-0.39277004176322294	1537	sequence	WILDTYPE_SNP_INDIV	significant effect
103	1485__WILDTYPE_SNP_INDIV	35.2732668064341	2.86538344888557e-09	7.06206813094567e-08	1.0	26.0	5.0	4.0	-0.56096703173713	1485	sequence	WILDTYPE_SNP_INDIV	significant effect
104	1633__WILDTYPE_SNP_INDIV	1.60996564913876	0.20449663084088002	0.32457424300570303	1.0	26.0	5.0	4.0	-0.14179549811409	1633	sequence	WILDTYPE_SNP_INDIV	no effect
105	4599__WILDTYPE_SNP_INDIV	1.6540668011989499	0.198406320316125	0.31700158757955393	1.0	24.0	5.0	4.0	-0.20970925829766898	4599	sequence	WILDTYPE_SNP_INDIV	no effect
106	4670__WILDTYPE_SNP_INDIV	78.90723665135059	6.50958669516507e-19	8.690298238045371e-17	1.0	26.0	5.0	4.0	-0.943028429300655	4670	sequence	WILDTYPE_SNP_INDIV	significant effect
107	3986__WILDTYPE_SNP_INDIV	0.7589277673980629	0.383664283509283	0.521020216599496	1.0	22.0	5.0	4.0	0.109399486221463	3986	sequence	WILDTYPE_SNP_INDIV	no effect
108	3978__WILDTYPE_SNP_INDIV	8.19318784496318	0.004204797310745171	0.0142111504046704	1.0	25.0	5.0	4.0	0.35437112129721204	3978	sequence	WILDTYPE_SNP_INDIV	significant effect
109	735__WILDTYPE_SNP_INDIV	7.77284768093068	0.00530373717306818	0.017246116951127	1.0	26.0	5.0	4.0	-0.424212584916601	735	sequence	WILDTYPE_SNP_INDIV	significant effect
110	31__WILDTYPE_SNP_INDIV	7.83593557120275	0.00512176376009759	0.0167792751404424	1.0	26.0	5.0	4.0	-0.38814270495484904	31	sequence	WILDTYPE_SNP_INDIV	significant effect
111	2630__WILDTYPE_SNP_INDIV	1.15148003556442	0.283239540574556	0.41704939705922606	1.0	13.0	5.0	4.0	0.20652242887579	2630	sequence	WILDTYPE_SNP_INDIV	no effect
112	222__WILDTYPE_SNP_INDIV	6.976664234804961	0.00825793903927281	0.0249607893224812	1.0	26.0	5.0	4.0	-0.280684546704666	222	sequence	WILDTYPE_SNP_INDIV	significant effect
113	3128__WILDTYPE_SNP_INDIV	3.08690708613585	0.0789246931770548	0.155967136270117	1.0	26.0	5.0	4.0	-0.22087406235933396	3128	sequence	WILDTYPE_SNP_INDIV	no effect
114	1379__WILDTYPE_SNP_INDIV	1.04192882293091	0.307373302683618	0.44321514932417294	1.0	26.0	5.0	4.0	-0.11412820267556499	1379	sequence	WILDTYPE_SNP_INDIV	no effect
115	3973__WILDTYPE_SNP_INDIV	12.631404278271502	0.000379320122525956	0.00190095152123018	1.0	26.0	5.0	4.0	0.449945504471448	3973	sequence	WILDTYPE_SNP_INDIV	significant effect
116	2295__WILDTYPE_SNP_INDIV	1.25249848815793	0.263075815587401	0.394490598974431	1.0	23.0	5.0	4.0	0.182596534599799	2295	sequence	WILDTYPE_SNP_INDIV	no effect
117	3453__WILDTYPE_SNP_INDIV	1.5641343298448203	0.21106090017812	0.33203230319346694	1.0	26.0	5.0	4.0	-0.10344270990642	3453	sequence	WILDTYPE_SNP_INDIV	no effect
118	3058__WILDTYPE_SNP_INDIV	6.12498689416157	0.013328427589847001	0.0368352058636024	1.0	24.0	5.0	4.0	-0.504287269343132	3058	sequence	WILDTYPE_SNP_INDIV	significant effect
119	4212__WILDTYPE_SNP_INDIV	0.0281941828765184	0.8666531112828779	0.9146102004447758	1.0	15.0	5.0	4.0	0.0330818788301034	4212	sequence	WILDTYPE_SNP_INDIV	no effect
120	3521__WILDTYPE_SNP_INDIV	6.10015359298507	0.0135170132876935	0.0372706631443803	1.0	17.0	5.0	4.0	0.547792641037246	3521	sequence	WILDTYPE_SNP_INDIV	significant effect
121	4563__WILDTYPE_SNP_INDIV	1.3874731468599701	0.23883228850053895	0.36589989752425606	1.0	26.0	5.0	4.0	-0.12353647466205099	4563	sequence	WILDTYPE_SNP_INDIV	no effect
122	3360__WILDTYPE_SNP_INDIV	0.0132463053059837	0.908371729640785	0.9414257726533342	1.0	26.0	5.0	4.0	0.0134892992232809	3360	sequence	WILDTYPE_SNP_INDIV	no effect
123	3419__WILDTYPE_SNP_INDIV	13.512690159391198	0.00023695561154031002	0.0012838880147268599	1.0	26.0	5.0	4.0	0.483690590401004	3419	sequence	WILDTYPE_SNP_INDIV	significant effect
124	3747__WILDTYPE_SNP_INDIV	2.8032002892516603	0.0940763593302432	0.178990887941864	1.0	21.0	5.0	4.0	0.2845070487885711	3747	sequence	WILDTYPE_SNP_INDIV	no effect
125	806__WILDTYPE_SNP_INDIV	7.92421972611078	0.00487773760730257	0.0161005542175111	1.0	16.0	5.0	4.0	-0.7282592985481741	806	sequence	WILDTYPE_SNP_INDIV	significant effect
126	3464__WILDTYPE_SNP_INDIV	12.4105635374199	0.000426912016910673	0.00210847171219567	1.0	26.0	5.0	4.0	-0.258472689433705	3464	sequence	WILDTYPE_SNP_INDIV	significant effect
127	3555__WILDTYPE_SNP_INDIV	0.0521503771342395	0.819362830281506	0.8819390285180101	1.0	26.0	5.0	4.0	-0.0231705647751088	3555	sequence	WILDTYPE_SNP_INDIV	no effect
128	1501__WILDTYPE_SNP_INDIV	2.06895060093234	0.150324925850117	0.2576884848381	1.0	23.0	5.0	4.0	-0.185533950897358	1501	sequence	WILDTYPE_SNP_INDIV	no effect
129	553__WILDTYPE_SNP_INDIV	8.32172030391973	0.00391738024380331	0.0134524419682203	1.0	19.0	5.0	4.0	-0.5530335644921031	553	sequence	WILDTYPE_SNP_INDIV	significant effect
130	3323__WILDTYPE_SNP_INDIV	0.769013009706669	0.380522558943372	0.51792450248707	1.0	12.0	5.0	4.0	-0.263648210049486	3323	sequence	WILDTYPE_SNP_INDIV	no effect
131	2961__WILDTYPE_SNP_INDIV	0.00502014117864746	0.943514785993806	0.963541389877611	1.0	26.0	5.0	4.0	0.00866442239882392	2961	sequence	WILDTYPE_SNP_INDIV	no effect
132	3702__WILDTYPE_SNP_INDIV	1.15900657348493	0.281671663645505	0.415377114292819	1.0	25.0	5.0	4.0	0.12731972117421	3702	sequence	WILDTYPE_SNP_INDIV	no effect
133	3155__WILDTYPE_SNP_INDIV	0.7721923950839479	0.37953967074789596	0.517172570914202	1.0	26.0	5.0	4.0	-0.0985835403137354	3155	sequence	WILDTYPE_SNP_INDIV	no effect
134	4327__WILDTYPE_SNP_INDIV	1.4311742379381898	0.231572897815767	0.356940136915515	1.0	26.0	5.0	4.0	0.12264333922881	4327	sequence	WILDTYPE_SNP_INDIV	no effect
135	591__WILDTYPE_SNP_INDIV	4.6619447917610195	0.0308382430584375	0.0732617875130256	1.0	26.0	5.0	4.0	-0.166047460283168	591	sequence	WILDTYPE_SNP_INDIV	no effect
