	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status	abs_ef	snp
21	3283__WILDTYPE_SNP_INDIV	14.1848560009135	0.00016569875405358602	0.005978859554159079	1.0	8.0	5.0	4.0	2.98344805523721	3283	sequence	WILDTYPE_SNP_INDIV	significant effect	2.98344805523721	rs28439855
23	3737__WILDTYPE_SNP_INDIV	17.4839039202553	2.8975045814974603e-05	0.00154501383184515	1.0	19.0	5.0	4.0	-2.9502933584746303	3737	sequence	WILDTYPE_SNP_INDIV	significant effect	2.9502933584746303	rs28755797
25	4054__WILDTYPE_SNP_INDIV	20.4022753932387	6.27551351930879e-06	0.00047056545904942	1.0	13.0	5.0	4.0	2.92309952598642	4054	sequence	WILDTYPE_SNP_INDIV	significant effect	2.92309952598642	rs9840532
27	4557__WILDTYPE_SNP_INDIV	8.8282985855559	0.0029659478471043897	0.0393192920393756	1.0	15.0	5.0	4.0	2.8536485470067503	4557	sequence	WILDTYPE_SNP_INDIV	significant effect	2.8536485470067503	rs11191580
29	2328__WILDTYPE_SNP_INDIV	10.7225279479575	0.00105838974352465	0.0206472047933935	1.0	8.0	5.0	4.0	-2.83871656166927	2328	sequence	WILDTYPE_SNP_INDIV	significant effect	2.83871656166927	rs7156486
31	3837__WILDTYPE_SNP_INDIV	15.802650939851198	7.03039373144703e-05	0.00309530821258847	1.0	20.0	5.0	4.0	2.81397156489725	3837	sequence	WILDTYPE_SNP_INDIV	significant effect	2.81397156489725	rs9834098
33	322__WILDTYPE_SNP_INDIV	131.786761647004	1.6658555596157897e-30	1.5988881661192399e-27	1.0	26.0	5.0	4.0	2.7912845455138795	322	sequence	WILDTYPE_SNP_INDIV	significant effect	2.7912845455138795	rs12591513
35	4033__WILDTYPE_SNP_INDIV	18.1524739149754	2.03904364415359e-05	0.00120807042571519	1.0	17.0	5.0	4.0	2.75743867615239	4033	sequence	WILDTYPE_SNP_INDIV	significant effect	2.75743867615239	rs7624372
37	1586__WILDTYPE_SNP_INDIV	9.77016689116397	0.0017736635264642	0.028333928532991	1.0	7.0	5.0	4.0	-2.72518152677406	1586	sequence	WILDTYPE_SNP_INDIV	significant effect	2.72518152677406	rs75608245
39	3390__WILDTYPE_SNP_INDIV	22.8122122335784	1.7862703714191798e-06	0.000171446230248813	1.0	20.0	5.0	4.0	2.7168745167899306	3390	sequence	WILDTYPE_SNP_INDIV	significant effect	2.7168745167899306	rs3845811
41	1618__WILDTYPE_SNP_INDIV	11.970169681819401	0.000540590184342073	0.0133173293650805	1.0	22.0	5.0	4.0	-2.68312847503658	1618	sequence	WILDTYPE_SNP_INDIV	significant effect	2.68312847503658	rs200370279
43	2075__WILDTYPE_SNP_INDIV	24.4423915384065	7.65652831610114e-07	8.31765196945025e-05	1.0	22.0	5.0	4.0	2.52384256703231	2075	sequence	WILDTYPE_SNP_INDIV	significant effect	2.52384256703231	5:173388948:CAAAA:CAAAAA
45	2452__WILDTYPE_SNP_INDIV	15.3516778034287	8.92416425776908e-05	0.00382384502437802	1.0	16.0	5.0	4.0	2.5227851692754997	2452	sequence	WILDTYPE_SNP_INDIV	significant effect	2.5227851692754997	rs12706973
47	3685__WILDTYPE_SNP_INDIV	16.5235282392557	4.80501151898926e-05	0.00230592502796294	1.0	21.0	5.0	4.0	2.4861463551805203	3685	sequence	WILDTYPE_SNP_INDIV	significant effect	2.4861463551805203	rs7517356
49	2840__WILDTYPE_SNP_INDIV	12.9779368234132	0.000315183087378299	0.009236909890071041	1.0	19.0	5.0	4.0	2.4810971365652597	2840	sequence	WILDTYPE_SNP_INDIV	significant effect	2.4810971365652597	rs4332959
51	3928__WILDTYPE_SNP_INDIV	20.7864385882698	5.1345260801219e-06	0.000410391204951946	1.0	21.0	5.0	4.0	2.4805532908262005	3928	sequence	WILDTYPE_SNP_INDIV	significant effect	2.4805532908262005	rs35824576
53	3256__WILDTYPE_SNP_INDIV	10.8827699024193	0.0009706297856910039	0.019328018014652	1.0	19.0	5.0	4.0	2.4644525264615	3256	sequence	WILDTYPE_SNP_INDIV	significant effect	2.4644525264615	rs12138645
55	549__WILDTYPE_SNP_INDIV	77.828798423081	1.12369835877022e-18	3.85187744552735e-16	1.0	25.0	5.0	4.0	2.38342080600058	549	sequence	WILDTYPE_SNP_INDIV	significant effect	2.38342080600058	rs77431689
57	3258__WILDTYPE_SNP_INDIV	22.743991760092698	1.85081900456701e-06	0.000174158439272884	1.0	25.0	5.0	4.0	2.37628076411009	3258	sequence	WILDTYPE_SNP_INDIV	significant effect	2.37628076411009	rs12141262
59	3708__WILDTYPE_SNP_INDIV	32.5029248595747	1.1901327991778899e-08	1.96946458732921e-06	1.0	25.0	5.0	4.0	2.3339903465874903	3708	sequence	WILDTYPE_SNP_INDIV	significant effect	2.3339903465874903	rs6807015
61	734__WILDTYPE_SNP_INDIV	9.0696421002437	0.00259887930556833	0.0358391430673058	1.0	16.0	5.0	4.0	2.32930824527762	734	sequence	WILDTYPE_SNP_INDIV	significant effect	2.32930824527762	rs6726740
63	1627__WILDTYPE_SNP_INDIV	18.1913508639418	1.9978406347778302e-05	0.00119845465078735	1.0	26.0	5.0	4.0	2.31641264767205	1627	sequence	WILDTYPE_SNP_INDIV	significant effect	2.31641264767205	rs34576750
65	1173__WILDTYPE_SNP_INDIV	19.5900961989724	9.59653663558327e-06	0.000657911133059488	1.0	21.0	5.0	4.0	-2.30780508533796	1173	sequence	WILDTYPE_SNP_INDIV	significant effect	2.30780508533796	rs4858857
67	3548__WILDTYPE_SNP_INDIV	9.23944502859052	0.0023685672825975697	0.0337292415109369	1.0	13.0	5.0	4.0	-2.28304011780039	3548	sequence	WILDTYPE_SNP_INDIV	significant effect	2.28304011780039	rs6557198
69	1161__WILDTYPE_SNP_INDIV	27.252312496521697	1.78561439195966e-07	2.3995440932278303e-05	1.0	22.0	5.0	4.0	2.2718595932540495	1161	sequence	WILDTYPE_SNP_INDIV	significant effect	2.2718595932540495	rs7646982
71	2918__WILDTYPE_SNP_INDIV	19.106667470594896	1.2361229298509698e-05	0.0008016424243722741	1.0	19.0	5.0	4.0	2.262349268791	2918	sequence	WILDTYPE_SNP_INDIV	significant effect	2.262349268791	rs12053190
73	709__WILDTYPE_SNP_INDIV	140.308334846832	2.2792320882229e-32	3.64601159712723e-29	1.0	26.0	5.0	4.0	-2.23985995662415	709	sequence	WILDTYPE_SNP_INDIV	significant effect	2.23985995662415	rs61818805
75	3924__WILDTYPE_SNP_INDIV	12.7772169230034	0.00035086654919149	0.0100826860453291	1.0	20.0	5.0	4.0	-2.21148314470435	3924	sequence	WILDTYPE_SNP_INDIV	significant effect	2.21148314470435	rs6795797
77	3714__WILDTYPE_SNP_INDIV	12.3594071270995	0.000438770003853254	0.0117588718536202	1.0	16.0	5.0	4.0	2.20662365656611	3714	sequence	WILDTYPE_SNP_INDIV	significant effect	2.20662365656611	rs9866759
79	2439__WILDTYPE_SNP_INDIV	10.2346898233814	0.00137823787443462	0.0244969020718953	1.0	19.0	5.0	4.0	2.18355915437124	2439	sequence	WILDTYPE_SNP_INDIV	significant effect	2.18355915437124	rs6595829
81	1989__WILDTYPE_SNP_INDIV	36.6041717424155	1.44721667238578e-09	3.15690582308152e-07	1.0	26.0	5.0	4.0	2.1729865343899397	1989	sequence	WILDTYPE_SNP_INDIV	significant effect	2.1729865343899397	rs10203353
83	4532__WILDTYPE_SNP_INDIV	13.5781103781864	0.00022883848386416898	0.00732130589376097	1.0	18.0	5.0	4.0	2.16879740022749	4532	sequence	WILDTYPE_SNP_INDIV	significant effect	2.16879740022749	rs17094683
85	2217__WILDTYPE_SNP_INDIV	14.3390315057127	0.000152666529898638	0.00563574366910433	1.0	23.0	5.0	4.0	-2.16136023407655	2217	sequence	WILDTYPE_SNP_INDIV	significant effect	2.16136023407655	rs6895653
87	4337__WILDTYPE_SNP_INDIV	13.9663225859028	0.00018611468722168898	0.0064216464539802705	1.0	21.0	5.0	4.0	2.13655060358085	4337	sequence	WILDTYPE_SNP_INDIV	significant effect	2.13655060358085	rs56983571
89	3244__WILDTYPE_SNP_INDIV	10.044137022568199	0.0015283358310462301	0.0256450477384295	1.0	19.0	5.0	4.0	2.13205154508727	3244	sequence	WILDTYPE_SNP_INDIV	significant effect	2.13205154508727	rs4142614
91	670__WILDTYPE_SNP_INDIV	232.127959710103	2.04776041170431e-52	4.91360110788448e-49	1.0	26.0	5.0	4.0	2.1229910288057803	670	sequence	WILDTYPE_SNP_INDIV	significant effect	2.1229910288057803	rs60900293
93	2481__WILDTYPE_SNP_INDIV	26.8495491754429	2.19925647701681e-07	2.8524950900550395e-05	1.0	22.0	5.0	4.0	2.09752692042664	2481	sequence	WILDTYPE_SNP_INDIV	significant effect	2.09752692042664	rs8031196
95	396__WILDTYPE_SNP_INDIV	15.9344081911868	6.557571159142529e-05	0.00291386888821528	1.0	25.0	5.0	4.0	2.04616771019739	396	sequence	WILDTYPE_SNP_INDIV	significant effect	2.04616771019739	rs2417836
97	1507__WILDTYPE_SNP_INDIV	15.328892182300999	9.0324462772557e-05	0.0038359920074823102	1.0	20.0	5.0	4.0	-2.03130828121615	1507	sequence	WILDTYPE_SNP_INDIV	significant effect	2.03130828121615	rs148352669
99	2850__WILDTYPE_SNP_INDIV	11.2998392556901	0.000775138015288095	0.0168320693908035	1.0	24.0	5.0	4.0	-2.03086913291611	2850	sequence	WILDTYPE_SNP_INDIV	significant effect	2.03086913291611	rs2918910
101	3194__WILDTYPE_SNP_INDIV	9.10879017189995	0.0025438406611097398	0.0351812430336186	1.0	14.0	5.0	4.0	2.02250270178252	3194	sequence	WILDTYPE_SNP_INDIV	significant effect	2.02250270178252	rs4968782
103	2044__WILDTYPE_SNP_INDIV	8.31052304649461	0.00394160387033458	0.0478879923385712	1.0	22.0	5.0	4.0	-2.00377524784805	2044	sequence	WILDTYPE_SNP_INDIV	significant effect	2.00377524784805	rs72812817
105	1178__WILDTYPE_SNP_INDIV	138.065338484846	7.05179789804001e-32	8.4603945281735e-29	1.0	26.0	5.0	4.0	2.0020981279838796	1178	sequence	WILDTYPE_SNP_INDIV	significant effect	2.0020981279838796	rs34906469
107	4513__WILDTYPE_SNP_INDIV	11.808633779000402	0.000589566797153595	0.0139375914263059	1.0	16.0	5.0	4.0	-1.9982341633863703	4513	sequence	WILDTYPE_SNP_INDIV	significant effect	1.9982341633863703	rs146748241
109	3654__WILDTYPE_SNP_INDIV	10.5235739773294	0.00117861324147696	0.0223563831851696	1.0	21.0	5.0	4.0	-1.99594319406473	3654	sequence	WILDTYPE_SNP_INDIV	significant effect	1.99594319406473	rs1250242
111	1818__WILDTYPE_SNP_INDIV	9.58933090914411	0.00195711251916496	0.0298935782009717	1.0	23.0	5.0	4.0	1.9921853595732502	1818	sequence	WILDTYPE_SNP_INDIV	significant effect	1.9921853595732502	rs6445806
113	2025__WILDTYPE_SNP_INDIV	14.843284291043501	0.00011682329220916399	0.00475114389247269	1.0	26.0	5.0	4.0	-1.9477558452633401	2025	sequence	WILDTYPE_SNP_INDIV	significant effect	1.9477558452633401	rs17694835
115	3899__WILDTYPE_SNP_INDIV	11.984633574561801	0.000536410385714541	0.0133173293650805	1.0	24.0	5.0	4.0	1.9430357309858701	3899	sequence	WILDTYPE_SNP_INDIV	significant effect	1.9430357309858701	rs17215988
117	1527__WILDTYPE_SNP_INDIV	16.439187678164	5.0235888344674e-05	0.00231809642467395	1.0	23.0	5.0	4.0	1.9145225485939499	1527	sequence	WILDTYPE_SNP_INDIV	significant effect	1.9145225485939499	rs2050662
119	1665__WILDTYPE_SNP_INDIV	17.8901543790639	2.34028701120063e-05	0.00131387629442087	1.0	26.0	5.0	4.0	1.89670293720411	1665	sequence	WILDTYPE_SNP_INDIV	significant effect	1.89670293720411	rs1848797
121	2336__WILDTYPE_SNP_INDIV	11.891507677309301	0.000563904579939068	0.0135308903956379	1.0	22.0	5.0	4.0	1.87634504663817	2336	sequence	WILDTYPE_SNP_INDIV	significant effect	1.87634504663817	rs10143652
123	3815__WILDTYPE_SNP_INDIV	9.15410194135438	0.00248161139940055	0.0346199218189629	1.0	24.0	5.0	4.0	-1.86232014390102	3815	sequence	WILDTYPE_SNP_INDIV	significant effect	1.86232014390102	rs73071338
125	2799__WILDTYPE_SNP_INDIV	11.340368348933001	0.000758402797888966	0.0166190640505441	1.0	25.0	5.0	4.0	-1.86149953387883	2799	sequence	WILDTYPE_SNP_INDIV	significant effect	1.86149953387883	rs2161684
127	3900__WILDTYPE_SNP_INDIV	11.217129305310099	0.000810457653122021	0.0171353910622791	1.0	26.0	5.0	4.0	1.8586137508298897	3900	sequence	WILDTYPE_SNP_INDIV	significant effect	1.8586137508298897	rs73077365
129	2418__WILDTYPE_SNP_INDIV	30.6765987001863	3.04819202057356e-08	4.71879790539758e-06	1.0	26.0	5.0	4.0	1.83413003163598	2418	sequence	WILDTYPE_SNP_INDIV	significant effect	1.83413003163598	rs3753326
131	2926__WILDTYPE_SNP_INDIV	12.5685380967013	0.000392295334085809	0.0108822272154786	1.0	24.0	5.0	4.0	1.8268243711029601	2926	sequence	WILDTYPE_SNP_INDIV	significant effect	1.8268243711029601	rs35818159
133	799__WILDTYPE_SNP_INDIV	21.674540557295103	3.2305048965352403e-06	0.000271985842078467	1.0	26.0	5.0	4.0	1.82620861761659	799	sequence	WILDTYPE_SNP_INDIV	significant effect	1.82620861761659	rs2421647
135	1136__WILDTYPE_SNP_INDIV	17.8981827582097	2.3304352660002803e-05	0.00131387629442087	1.0	24.0	5.0	4.0	1.8252310822723898	1136	sequence	WILDTYPE_SNP_INDIV	significant effect	1.8252310822723898	rs11712464
137	1892__WILDTYPE_SNP_INDIV	13.3634140218054	0.000256580800176383	0.00801014457976236	1.0	26.0	5.0	4.0	1.8178924858014198	1892	sequence	WILDTYPE_SNP_INDIV	significant effect	1.8178924858014198	rs28742181
139	677__WILDTYPE_SNP_INDIV	20.5247017390429	5.886665448126741e-06	0.00045564689492839103	1.0	23.0	5.0	4.0	-1.7827942932809901	677	sequence	WILDTYPE_SNP_INDIV	significant effect	1.7827942932809901	rs11102498
141	3264__WILDTYPE_SNP_INDIV	8.5806116510953	0.00339761221675382	0.0433647367771319	1.0	19.0	5.0	4.0	-1.77661333512303	3264	sequence	WILDTYPE_SNP_INDIV	significant effect	1.77661333512303	rs142947583
143	4248__WILDTYPE_SNP_INDIV	10.030741947916802	0.00153949013413986	0.0257422061105825	1.0	21.0	5.0	4.0	1.7723230589986398	4248	sequence	WILDTYPE_SNP_INDIV	significant effect	1.7723230589986398	rs9822288
145	1475__WILDTYPE_SNP_INDIV	12.6299670981009	0.000379611858026651	0.0107162194509994	1.0	25.0	5.0	4.0	-1.7436974457512302	1475	sequence	WILDTYPE_SNP_INDIV	significant effect	1.7436974457512302	rs2050661
147	3838__WILDTYPE_SNP_INDIV	10.3607013818042	0.00128726287730566	0.0235785288098849	1.0	17.0	5.0	4.0	-1.7375900040063998	3838	sequence	WILDTYPE_SNP_INDIV	significant effect	1.7375900040063998	rs73828280
149	1226__WILDTYPE_SNP_INDIV	15.4687382887535	8.388117351722059e-05	0.00362653830368596	1.0	26.0	5.0	4.0	1.73626602119755	1226	sequence	WILDTYPE_SNP_INDIV	significant effect	1.73626602119755	rs319686
151	2451__WILDTYPE_SNP_INDIV	10.158540594925698	0.0014363427844432401	0.0249243757982676	1.0	23.0	5.0	4.0	1.7233957537809097	2451	sequence	WILDTYPE_SNP_INDIV	significant effect	1.7233957537809097	rs17165564
153	217__WILDTYPE_SNP_INDIV	13.947017180993301	0.000188035777052776	0.0064216464539802705	1.0	26.0	5.0	4.0	1.7180842462176	217	sequence	WILDTYPE_SNP_INDIV	significant effect	1.7180842462176	rs2193950
155	650__WILDTYPE_SNP_INDIV	8.41555521605574	0.00372024167906167	0.0461329194258836	1.0	26.0	5.0	4.0	1.71670463159243	650	sequence	WILDTYPE_SNP_INDIV	significant effect	1.71670463159243	rs1036477
157	1353__WILDTYPE_SNP_INDIV	120.656997386382	4.542573939874459e-28	3.11425890535108e-25	1.0	26.0	5.0	4.0	-1.70001437443819	1353	sequence	WILDTYPE_SNP_INDIV	significant effect	1.70001437443819	rs6442099
159	21__WILDTYPE_SNP_INDIV	12.554688108877098	0.00039521355486944	0.0109001715506807	1.0	24.0	5.0	4.0	-1.6943258678865	21	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6943258678865	rs61106228
161	635__WILDTYPE_SNP_INDIV	13.158283184902801	0.000286251033981382	0.00863974032752613	1.0	21.0	5.0	4.0	1.68928052200396	635	sequence	WILDTYPE_SNP_INDIV	significant effect	1.68928052200396	rs2437947
163	1290__WILDTYPE_SNP_INDIV	11.390505625127599	0.000738204345910667	0.0163255421936649	1.0	25.0	5.0	4.0	1.6724330686242699	1290	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6724330686242699	rs1013431
165	1301__WILDTYPE_SNP_INDIV	17.005512949988802	3.72714424437616e-05	0.00194419187269143	1.0	25.0	5.0	4.0	-1.67177746777116	1301	sequence	WILDTYPE_SNP_INDIV	significant effect	1.67177746777116	rs201694525
167	4220__WILDTYPE_SNP_INDIV	125.350494930112	4.26544937773412e-29	3.41164859395767e-26	1.0	26.0	5.0	4.0	1.6680540336910599	4220	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6680540336910599	rs79741604
169	3742__WILDTYPE_SNP_INDIV	8.69711767158822	0.00318713622675358	0.0413380182491633	1.0	25.0	5.0	4.0	-1.65261664989396	3742	sequence	WILDTYPE_SNP_INDIV	significant effect	1.65261664989396	rs73069390
171	3358__WILDTYPE_SNP_INDIV	15.0392945999088	0.000105295807563686	0.00436382661320569	1.0	22.0	5.0	4.0	-1.6514879687336999	3358	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6514879687336999	rs434578
173	1539__WILDTYPE_SNP_INDIV	13.053844238515198	0.000302662545064492	0.00906137526199199	1.0	26.0	5.0	4.0	1.6392748863286999	1539	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6392748863286999	rs7767711
175	542__WILDTYPE_SNP_INDIV	14.6685552294844	0.000128166699659195	0.005083239600532871	1.0	25.0	5.0	4.0	-1.6330673919013998	542	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6330673919013998	rs11105378
177	4374__WILDTYPE_SNP_INDIV	12.0808921627789	0.000509412151012466	0.0129347561518985	1.0	20.0	5.0	4.0	1.63040162714016	4374	sequence	WILDTYPE_SNP_INDIV	significant effect	1.63040162714016	rs10510732
179	936__WILDTYPE_SNP_INDIV	15.9561833694893	6.48256775924495e-05	0.00290746193239407	1.0	25.0	5.0	4.0	-1.61979437425168	936	sequence	WILDTYPE_SNP_INDIV	significant effect	1.61979437425168	rs2357790
181	2608__WILDTYPE_SNP_INDIV	16.7228718171516	4.32563549397734e-05	0.00218379742281497	1.0	26.0	5.0	4.0	1.6138538909069398	2608	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6138538909069398	rs8057203
183	652__WILDTYPE_SNP_INDIV	10.3633821114258	0.00128539498568426	0.0235785288098849	1.0	26.0	5.0	4.0	1.61253522393512	652	sequence	WILDTYPE_SNP_INDIV	significant effect	1.61253522393512	rs2028109
185	548__WILDTYPE_SNP_INDIV	79.48830747142891	4.85087617223227e-19	1.7907195961955902e-16	1.0	26.0	5.0	4.0	1.6080714998867198	548	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6080714998867198	rs75392157
187	1094__WILDTYPE_SNP_INDIV	14.340249123601101	0.00015256782501659098	0.00563574366910433	1.0	25.0	5.0	4.0	1.6069450068505902	1094	sequence	WILDTYPE_SNP_INDIV	significant effect	1.6069450068505902	rs138201004
189	3494__WILDTYPE_SNP_INDIV	12.411153018544299	0.00042677727725604	0.0115062031098412	1.0	22.0	5.0	4.0	1.5987882018096498	3494	sequence	WILDTYPE_SNP_INDIV	significant effect	1.5987882018096498	rs9322352
191	2895__WILDTYPE_SNP_INDIV	11.585349301642198	0.000664734467901018	0.0151187711443459	1.0	22.0	5.0	4.0	1.59157915190324	2895	sequence	WILDTYPE_SNP_INDIV	significant effect	1.59157915190324	rs61709084
193	2294__WILDTYPE_SNP_INDIV	11.285631823453699	0.0007810924537525129	0.0168600518942865	1.0	25.0	5.0	4.0	1.58863760784873	2294	sequence	WILDTYPE_SNP_INDIV	significant effect	1.58863760784873	rs1350840
195	2583__WILDTYPE_SNP_INDIV	11.55978518982	0.000673936386843864	0.0152557581153948	1.0	25.0	5.0	4.0	-1.56860945078818	2583	sequence	WILDTYPE_SNP_INDIV	significant effect	1.56860945078818	rs71134704
197	3650__WILDTYPE_SNP_INDIV	8.50034751970497	0.00355078656314462	0.0445734988264837	1.0	23.0	5.0	4.0	-1.56435313393525	3650	sequence	WILDTYPE_SNP_INDIV	significant effect	1.56435313393525	rs1837121
199	3108__WILDTYPE_SNP_INDIV	12.2068384126355	0.000476146576408146	0.0123514995685551	1.0	24.0	5.0	4.0	1.56155140783475	3108	sequence	WILDTYPE_SNP_INDIV	significant effect	1.56155140783475	rs2540950
201	3065__WILDTYPE_SNP_INDIV	9.6670171056769	0.00187605666336858	0.0290425675080833	1.0	22.0	5.0	4.0	-1.55393689536206	3065	sequence	WILDTYPE_SNP_INDIV	significant effect	1.55393689536206	rs4526265
203	4195__WILDTYPE_SNP_INDIV	11.0529376717996	0.0008854678547146381	0.0180823839777683	1.0	20.0	5.0	4.0	-1.54625858471933	4195	sequence	WILDTYPE_SNP_INDIV	significant effect	1.54625858471933	rs73087378
205	2551__WILDTYPE_SNP_INDIV	11.9142027235094	0.000557075752058455	0.0134342036890881	1.0	21.0	5.0	4.0	1.54216137087991	2551	sequence	WILDTYPE_SNP_INDIV	significant effect	1.54216137087991	rs4887818
207	655__WILDTYPE_SNP_INDIV	9.76616629333739	0.0017775271793002102	0.028333928532991	1.0	26.0	5.0	4.0	1.52327700064288	655	sequence	WILDTYPE_SNP_INDIV	significant effect	1.52327700064288	rs1678983
209	2360__WILDTYPE_SNP_INDIV	9.90558043789611	0.00164778350138818	0.0272250933844949	1.0	23.0	5.0	4.0	1.5221536758196001	2360	sequence	WILDTYPE_SNP_INDIV	significant effect	1.5221536758196001	rs1016271
211	1273__WILDTYPE_SNP_INDIV	82.7968256139061	9.093589598768249e-20	3.967285134953529e-17	1.0	26.0	5.0	4.0	1.51211893216523	1273	sequence	WILDTYPE_SNP_INDIV	significant effect	1.51211893216523	rs6773208
213	4451__WILDTYPE_SNP_INDIV	26.7052987753441	2.3697078535553604e-07	2.9926915761084698e-05	1.0	26.0	5.0	4.0	-1.50956968754408	4451	sequence	WILDTYPE_SNP_INDIV	significant effect	1.50956968754408	rs144641573
215	2927__WILDTYPE_SNP_INDIV	8.743141419511861	0.0031076868185822	0.0406370273634223	1.0	24.0	5.0	4.0	-1.5091081358198601	2927	sequence	WILDTYPE_SNP_INDIV	significant effect	1.5091081358198601	rs11316010
217	3510__WILDTYPE_SNP_INDIV	12.8374085995591	0.00033975782670373704	0.009822275965971291	1.0	22.0	5.0	4.0	1.4842222881483602	3510	sequence	WILDTYPE_SNP_INDIV	significant effect	1.4842222881483602	rs1884151
219	3452__WILDTYPE_SNP_INDIV	20.1543574847828	7.143731978928599e-06	0.0005041583789246809	1.0	26.0	5.0	4.0	1.48307448805114	3452	sequence	WILDTYPE_SNP_INDIV	significant effect	1.48307448805114	rs4631439
221	2516__WILDTYPE_SNP_INDIV	9.64117365656432	0.0019026362557749102	0.0293508651770515	1.0	23.0	5.0	4.0	1.4724664063909398	2516	sequence	WILDTYPE_SNP_INDIV	significant effect	1.4724664063909398	rs59686216
223	3342__WILDTYPE_SNP_INDIV	13.538895460646698	0.000233669873893246	0.007426369038501241	1.0	26.0	5.0	4.0	1.45376978279979	3342	sequence	WILDTYPE_SNP_INDIV	significant effect	1.45376978279979	rs6817317
225	2177__WILDTYPE_SNP_INDIV	11.6439105728516	0.000644130467100124	0.0149332469160072	1.0	25.0	5.0	4.0	1.4523608720177799	2177	sequence	WILDTYPE_SNP_INDIV	significant effect	1.4523608720177799	rs35579328
227	669__WILDTYPE_SNP_INDIV	11.181399211149499	0.000826214419318535	0.0173144235734046	1.0	26.0	5.0	4.0	1.4030092687173	669	sequence	WILDTYPE_SNP_INDIV	significant effect	1.4030092687173	rs10857964
229	1010__WILDTYPE_SNP_INDIV	10.1916480857667	0.00141078168524818	0.0248253455693782	1.0	23.0	5.0	4.0	1.40265895823755	1010	sequence	WILDTYPE_SNP_INDIV	significant effect	1.40265895823755	rs13329952
231	2600__WILDTYPE_SNP_INDIV	8.52657961093951	0.00349996843218558	0.0443234695611825	1.0	24.0	5.0	4.0	1.39851115463	2600	sequence	WILDTYPE_SNP_INDIV	significant effect	1.39851115463	rs4888391
233	4396__WILDTYPE_SNP_INDIV	10.2531346440194	0.00136452538887535	0.0243433358409397	1.0	19.0	5.0	4.0	-1.39711340165907	4396	sequence	WILDTYPE_SNP_INDIV	significant effect	1.39711340165907	rs6796078
