query family beginR
chr10:104721894:104722029_1 L1PA10 LINE/L1
chr10:104729181:104729316 AluSx SINE/Alu
chr10:104729181:104729316_1 AluSx SINE/Alu
chr10:104735168:104735303 (A)n Simple_repeat
chr10:104735168:104735303_1 (A)n Simple_repeat
chr10:104737629:104737764 AluSx SINE/Alu
chr10:104737629:104737764_1 AluSx SINE/Alu
chr10:104739609:104739744 7SLRNA srpRNA
chr10:104739609:104739744_1 7SLRNA srpRNA
chr10:104740963:104741098 AluJb SINE/Alu
chr10:104740963:104741098_1 AluJb SINE/Alu
chr10:104747941:104748076 AluSx SINE/Alu
chr10:104747941:104748076_1 AluSx SINE/Alu
chr10:104749637:104749772 AluSx SINE/Alu
chr10:104749637:104749772_1 AluSx SINE/Alu
chr10:104764203:104764338 MER5A1 DNA/hAT-Charlie
chr10:104764203:104764338_1 MER5A1 DNA/hAT-Charlie
chr10:104765426:104765561 AluJb SINE/Alu
chr10:104765426:104765561_1 AluJb SINE/Alu
chr10:104766052:104766187 AluSx SINE/Alu
chr10:104766052:104766187_1 AluSx SINE/Alu
chr10:104766823:104766958 MER11A LTR/ERVK
chr10:104766823:104766958_1 MER11A LTR/ERVK
chr10:104769207:104769342 AluJb SINE/Alu
chr10:104769207:104769342_1 AluJb SINE/Alu
chr10:104769324:104769459 AluJb SINE/Alu
chr10:104769324:104769459_1 AluJb SINE/Alu
chr10:104776137:104776272 L2a LINE/L2
chr10:104776137:104776272_1 L2a LINE/L2
chr10:104778375:104778510 (T)n Simple_repeat
chr10:104778375:104778510_1 (T)n Simple_repeat
chr10:104778744:104778879 AluY SINE/Alu
chr10:104778744:104778879_1 AluY SINE/Alu
chr10:104779970:104780105 AluSx SINE/Alu
chr10:104779970:104780105_1 AluSx SINE/Alu
chr10:104784850:104784985 AluSx SINE/Alu
chr10:104784850:104784985_1 AluSx SINE/Alu
chr10:104789407:104789542 AluSx SINE/Alu
chr10:104789407:104789542_1 AluSx SINE/Alu
chr10:104789512:104789647 AluSx SINE/Alu
chr10:104789512:104789647_1 AluSx SINE/Alu
chr10:104794018:104794153 (A)n Simple_repeat
chr10:104794018:104794153_1 (T)n Simple_repeat
chr10:104794018:104794153_1 (A)n Simple_repeat
chr10:104795817:104795952 MLT2F LTR/ERVL
chr10:104795817:104795952_1 MLT2F LTR/ERVL
chr10:104806830:104806965 L1MD3 LINE/L1
chr10:104806830:104806965_1 L1MD3 LINE/L1
chr10:104811135:104811270 7SLRNA srpRNA
chr10:104811135:104811270 SVA_A Retroposon/SVA
chr10:104811135:104811270_1 7SLRNA srpRNA
chr10:104811135:104811270_1 SVA_A Retroposon/SVA
chr10:104814279:104814414 (TGTTT)n Simple_repeat
chr10:104814279:104814414_1 (T)n Simple_repeat
chr10:104815759:104815894 AluSx SINE/Alu
chr10:104815759:104815894_1 AluSx SINE/Alu
chr10:104815803:104815938 AluSx SINE/Alu
chr10:104815803:104815938_1 AluSx SINE/Alu
chr10:104824319:104824454 AluJb SINE/Alu
chr10:104824319:104824454_1 AluJb SINE/Alu
chr10:104827958:104828093 7SLRNA srpRNA
chr10:104827958:104828093 SVA_A Retroposon/SVA
chr10:104848362:104848497 AluSx SINE/Alu
chr10:104848362:104848497_1 AluSx SINE/Alu
chr10:104850767:104850902 AluSx SINE/Alu
chr10:104850767:104850902_1 AluSx SINE/Alu
chr10:104867618:104867753 AluSx SINE/Alu
chr10:104867618:104867753_1 AluSx SINE/Alu
chr10:104873693:104873828 MER102c DNA/hAT-Charlie
chr10:104877234:104877369 AluJb SINE/Alu
chr10:104877234:104877369_1 AluJb SINE/Alu
chr10:104879787:104879922 AluSx SINE/Alu
chr10:104879787:104879922 L1M4 LINE/L1
chr10:104879787:104879922_1 AluSx SINE/Alu
chr10:104879787:104879922_1 L1M4 LINE/L1
chr10:104883269:104883404 MIRb SINE/MIR
chr10:104883269:104883404_1 MIRb SINE/MIR
chr10:104886306:104886441 AluSx SINE/Alu
chr10:104886306:104886441_1 AluSx SINE/Alu
chr10:104898058:104898193 L1PA8 LINE/L1
chr10:104898058:104898193_1 L1PA8 LINE/L1
chr10:104898269:104898404 L1PA8 LINE/L1
chr10:104898269:104898404_1 L1PA8 LINE/L1
chr10:104900963:104901098 AluJb SINE/Alu
chr10:104900963:104901098_1 AluJb SINE/Alu
chr10:104902362:104902497 AluJb SINE/Alu
chr10:104902362:104902497_1 AluJb SINE/Alu
chr10:104910891:104911026 L1M5 LINE/L1
chr10:104910891:104911026 AluSx SINE/Alu
chr10:104910891:104911026_1 L1M5 LINE/L1
chr10:104910891:104911026_1 AluSx SINE/Alu
chr10:104928846:104928981 L1MA7 LINE/L1
chr10:104928846:104928981_1 L1MA7 LINE/L1
chr10:104929648:104929783 AluSx SINE/Alu
chr10:104929648:104929783_1 AluSx SINE/Alu
chr10:104931516:104931651 7SLRNA srpRNA
chr10:104931516:104931651 SVA_A Retroposon/SVA
chr10:104931516:104931651_1 7SLRNA srpRNA
chr10:104931516:104931651_1 SVA_A Retroposon/SVA
chr10:104938522:104938657 AluSx SINE/Alu
chr10:104938522:104938657_1 AluSx SINE/Alu
chr10:104939147:104939282 L2a LINE/L2
chr10:104939147:104939282_1 L2a LINE/L2
chr10:104942176:104942311 AluSx SINE/Alu
chr10:104942176:104942311_1 AluSx SINE/Alu
chr10:104945755:104945890 MIR SINE/MIR
chr10:104945755:104945890_1 MIR SINE/MIR
chr10:104957561:104957696 AluJb SINE/Alu
chr10:104957561:104957696_1 AluJb SINE/Alu
chr10:104958832:104958967 AluSx SINE/Alu
chr10:104958832:104958967_1 AluSx SINE/Alu
chr10:104959120:104959255 AluSx SINE/Alu
chr10:104959120:104959255_1 AluSx SINE/Alu
chr10:104960396:104960531 AluSx SINE/Alu
chr10:104960396:104960531_1 AluSx SINE/Alu
chr10:115781479:115781614 L2d LINE/L2
chr10:115781479:115781614_1 L2d LINE/L2
chr10:115789307:115789442 L1ME4b LINE/L1
chr10:115789307:115789442_1 L1ME4b LINE/L1
chr10:18418736:18418871 L1M LINE/L1
chr10:18418736:18418871 L1M3 LINE/L1
chr10:18418736:18418871_1 L1M LINE/L1
chr10:18418736:18418871_1 L1M3 LINE/L1
chr10:18419058:18419193 L1M3 LINE/L1
chr10:18419058:18419193_1 L1M3 LINE/L1
chr10:18425931:18426066 (TCCT)n Simple_repeat
chr10:18425931:18426066_1 (TCCT)n Simple_repeat
chr10:18704056:18704191 7SLRNA srpRNA
chr10:18704056:18704191_1 7SLRNA srpRNA
chr10:18704068:18704203 7SLRNA srpRNA
chr10:18704068:18704203 SVA_A Retroposon/SVA
chr10:18704068:18704203_1 7SLRNA srpRNA
chr10:18704068:18704203_1 SVA_A Retroposon/SVA
chr10:18705006:18705141 L1MA4A LINE/L1
chr10:18705006:18705141_1 L1MA4A LINE/L1
chr10:18705268:18705403 L1M3 LINE/L1
chr10:18705268:18705403 7SLRNA srpRNA
chr10:18705268:18705403_1 L1M3 LINE/L1
chr10:18705268:18705403_1 7SLRNA srpRNA
chr10:18706980:18707115 AluSx SINE/Alu
chr10:18706980:18707115_1 AluSx SINE/Alu
chr10:18707380:18707515 MER57A1 LTR/ERV1
chr10:18707380:18707515_1 MER57A1 LTR/ERV1
chr10:18711644:18711779 AluSx SINE/Alu
chr10:18711644:18711779_1 AluSx SINE/Alu
chr10:18714674:18714809 L1M4 LINE/L1
chr10:18714674:18714809_1 L1M4 LINE/L1
chr10:18723238:18723373 LTR33B LTR/ERVL
chr10:18723238:18723373_1 LTR33B LTR/ERVL
chr10:63425341:63425476 AluY SINE/Alu
chr10:63425341:63425476_1 AluY SINE/Alu
chr10:63451232:63451367 L1PA7 LINE/L1
chr10:63451232:63451367_1 L1PA7 LINE/L1
chr10:63455529:63455664 L1ME4b LINE/L1
chr10:63455529:63455664_1 L1ME4b LINE/L1
chr10:63460586:63460721 (TATACA)n Simple_repeat
chr10:63460586:63460721_1 (TATACA)n Simple_repeat
chr10:63463413:63463548 (CA)n Simple_repeat
chr10:63463413:63463548_1 (CA)n Simple_repeat
chr10:63472566:63472701 L1P3 LINE/L1
chr10:63472566:63472701_1 L1P3 LINE/L1
chr10:63474441:63474576 L1P3 LINE/L1
chr10:63474441:63474576_1 L1P3 LINE/L1
chr10:63476033:63476168 MLT1H LTR/ERVL-MaLR
chr10:63476033:63476168_1 MLT1H LTR/ERVL-MaLR
chr10:63484521:63484656 L1PA5 LINE/L1
chr10:63484521:63484656_1 L1PA5 LINE/L1
chr10:63486901:63487036 L2b LINE/L2
chr10:63492107:63492242 Tigger19b DNA/TcMar-Tigger
chr10:63492107:63492242_1 Tigger19b DNA/TcMar-Tigger
chr10:63501780:63501915 L2 LINE/L2
chr10:63501780:63501915_1 L2 LINE/L2
chr10:63533595:63533730 L2 LINE/L2
chr10:63533595:63533730_1 L2 LINE/L2
chr10:63534910:63535045 MLT1L LTR/ERVL-MaLR
chr10:63534910:63535045_1 MLT1L LTR/ERVL-MaLR
chr10:63537829:63537964 L1M3 LINE/L1
chr10:63537829:63537964_1 L1M3 LINE/L1
chr10:63548716:63548851 AluJb SINE/Alu
chr10:63548716:63548851_1 AluSx SINE/Alu
chr10:63551705:63551840 MLT1K LTR/ERVL-MaLR
chr10:63551705:63551840_1 MLT1K LTR/ERVL-MaLR
chr10:63552530:63552665 MIRc SINE/MIR
chr10:63552530:63552665_1 MIRc SINE/MIR
chr10:95892591:95892726 AluY SINE/Alu
chr10:95892591:95892726_1 AluY SINE/Alu
chr10:95892638:95892773 AluY SINE/Alu
chr10:95892638:95892773_1 AluY SINE/Alu
chr10:95893446:95893581 L2c LINE/L2
chr10:95893446:95893581_1 L2c LINE/L2
chr10:95895872:95896007 L1MB3 LINE/L1
chr10:95895872:95896007_1 L1MB3 LINE/L1
chr10:95896648:95896783 AluY SINE/Alu
chr10:95896648:95896783_1 AluY SINE/Alu
chr10:95898759:95898894 AluSx SINE/Alu
chr10:95898759:95898894_1 AluSx SINE/Alu
chr11:100570892:100571027 Tigger1 DNA/TcMar-Tigger
chr11:100570892:100571027_1 Tigger1 DNA/TcMar-Tigger
chr11:100572342:100572477 Tigger1 DNA/TcMar-Tigger
chr11:100572342:100572477_1 Tigger1 DNA/TcMar-Tigger
chr11:100573052:100573187 Tigger1 DNA/TcMar-Tigger
chr11:100573052:100573187_1 Tigger1 DNA/TcMar-Tigger
chr11:100581252:100581387 AluSx SINE/Alu
chr11:100581252:100581387_1 AluSx SINE/Alu
chr11:100585739:100585874 7SLRNA srpRNA
chr11:100585739:100585874_1 7SLRNA srpRNA
chr11:117256316:117256451 UCON86 LINE/L2
chr11:117256316:117256451_1 UCON86 LINE/L2
chr11:130268079:130268214 AluSx SINE/Alu
chr11:130268079:130268214_1 AluSx SINE/Alu
chr11:16286328:16286463 (A)n Simple_repeat
chr11:16286328:16286463_1 (A)n Simple_repeat
chr11:47377215:47377350 (CA)n Simple_repeat
chr11:47377215:47377350_1 (CA)n Simple_repeat
chr11:47378328:47378463 (CA)n Simple_repeat
chr11:47378328:47378463_1 (CA)n Simple_repeat
chr11:47388146:47388281 AluSx SINE/Alu
chr11:47388146:47388281_1 AluSx SINE/Alu
chr11:47389570:47389705 AluSx SINE/Alu
chr11:47389570:47389705_1 AluSx SINE/Alu
chr11:47391880:47392015 AluSx SINE/Alu
chr11:47391880:47392015_1 AluSx SINE/Alu
chr11:47407371:47407506 AluY SINE/Alu
chr11:47407371:47407506_1 AluY SINE/Alu
chr11:47407793:47407928 AluSx SINE/Alu
chr11:47407793:47407928_1 AluSx SINE/Alu
chr11:47408524:47408659 AluJb SINE/Alu
chr11:47408524:47408659_1 AluJb SINE/Alu
chr11:47423272:47423407 MER2 DNA/TcMar-Tigger
chr11:47423272:47423407_1 MER2 DNA/TcMar-Tigger
chr11:47427599:47427734 AluSx SINE/Alu
chr11:47427599:47427734_1 AluSx SINE/Alu
chr11:47427671:47427806 AluSx SINE/Alu
chr11:47427671:47427806_1 AluSx SINE/Alu
chr11:47432657:47432792 MIR3 SINE/MIR
chr11:47449004:47449139 7SLRNA srpRNA
chr11:47449004:47449139_1 Helitron3Na_Mam RC/Helitron
chr11:47449004:47449139_1 7SLRNA srpRNA
chr11:47454483:47454618 AluSx SINE/Alu
chr11:47454483:47454618_1 AluSx SINE/Alu
chr11:47461715:47461850 MIRb SINE/MIR
chr11:47461715:47461850_1 MIRb SINE/MIR
chr11:47462072:47462207 AluSx SINE/Alu
chr11:47462072:47462207_1 AluSx SINE/Alu
chr12:111826409:111826544 AluSx SINE/Alu
chr12:111826409:111826544_1 AluSx SINE/Alu
chr12:111833720:111833855 SVA_E Retroposon/SVA
chr12:111833720:111833855 7SLRNA srpRNA
chr12:111833720:111833855_1 SVA_E Retroposon/SVA
chr12:111833720:111833855_1 7SLRNA srpRNA
chr12:111864981:111865116 AluSx SINE/Alu
chr12:111864981:111865116_1 AluSx SINE/Alu
chr12:111932732:111932867 L1M1 LINE/L1
chr12:111932732:111932867_1 L1M1 LINE/L1
chr12:111973290:111973425 AluSx SINE/Alu
chr12:111973290:111973425_1 AluSx SINE/Alu
chr12:112007688:112007823 MER3 DNA/hAT-Charlie
chr12:112007688:112007823_1 MER3 DNA/hAT-Charlie
chr12:112059489:112059624 AluSx SINE/Alu
chr12:112059489:112059624_1 AluSx SINE/Alu
chr12:112072356:112072491 SVA_E Retroposon/SVA
chr12:112072356:112072491_1 7SLRNA srpRNA
chr12:112083094:112083229 AluY SINE/Alu
chr12:112083094:112083229_1 AluY SINE/Alu
chr12:112856115:112856250 AluJb SINE/Alu
chr12:112856115:112856250_1 AluJb SINE/Alu
chr12:115552810:115552945 Tigger3c DNA/TcMar-Tigger
chr12:115552810:115552945_1 Tigger3c DNA/TcMar-Tigger
chr12:115553047:115553182 L2b LINE/L2
chr12:115553047:115553182_1 L2b LINE/L2
chr12:115554017:115554152 MER96 DNA/hAT-Tip100
chr12:115554017:115554152_1 MER96 DNA/hAT-Tip100
chr12:115554455:115554590 THE1C LTR/ERVL-MaLR
chr12:115554455:115554590_1 THE1C LTR/ERVL-MaLR
chr12:115555462:115555597 MER4-int LTR/ERV1
chr12:115555462:115555597_1 MER4-int LTR/ERV1
chr12:115555799:115555934 L1M4 LINE/L1
chr12:115555799:115555934_1 L1M4 LINE/L1
chr12:115556239:115556374 L1M4 LINE/L1
chr12:115556239:115556374_1 L1M4 LINE/L1
chr12:20154198:20154333 L2 LINE/L2
chr12:20154198:20154333_1 L2 LINE/L2
chr12:20154984:20155119 L1MB3 LINE/L1
chr12:20154984:20155119_1 L1MB3 LINE/L1
chr12:20155326:20155461 L1MA8 LINE/L1
chr12:20155326:20155461_1 L1MA8 LINE/L1
chr12:20156803:20156938 AluSx SINE/Alu
chr12:20156803:20156938_1 AluSx SINE/Alu
chr12:20159346:20159481 Charlie2b DNA/hAT-Charlie
chr12:20159346:20159481_1 Charlie2b DNA/hAT-Charlie
chr12:20159389:20159524_1 Charlie2b DNA/hAT-Charlie
chr12:20161817:20161952 Ricksha_c DNA/MULE-MuDR
chr12:20161817:20161952_1 Ricksha_c DNA/MULE-MuDR
chr12:20162357:20162492 Ricksha DNA/MULE-MuDR
chr12:20162357:20162492_1 Ricksha DNA/MULE-MuDR
chr12:20162503:20162638 Ricksha_0 DNA/MULE-MuDR
chr12:20162503:20162638_1 Ricksha_0 DNA/MULE-MuDR
chr12:20162528:20162663 Ricksha_0 DNA/MULE-MuDR
chr12:20162528:20162663_1 Ricksha_0 DNA/MULE-MuDR
chr12:20162660:20162795 LTR12_v LTR/ERV1
chr12:20162660:20162795_1 LTR12_v LTR/ERV1
chr12:20162717:20162852 LTR12_v LTR/ERV1
chr12:20162717:20162852_1 LTR12_v LTR/ERV1
chr12:20162937:20163072 LTR12_v LTR/ERV1
chr12:20162937:20163072_1 LTR12_v LTR/ERV1
chr12:20163273:20163408 LTR12 LTR/ERV1
chr12:20163273:20163408_1 LTR12 LTR/ERV1
chr12:20163995:20164130 Ricksha_a DNA/MULE-MuDR
chr12:20163995:20164130_1 Ricksha_a DNA/MULE-MuDR
chr12:20164026:20164161 Ricksha_a DNA/MULE-MuDR
chr12:20164026:20164161_1 Ricksha_a DNA/MULE-MuDR
chr12:20165396:20165531 THE1C LTR/ERVL-MaLR
chr12:20165396:20165531_1 THE1C LTR/ERVL-MaLR
chr12:20165408:20165543 THE1C LTR/ERVL-MaLR
chr12:20165408:20165543_1 THE1C LTR/ERVL-MaLR
chr12:20165417:20165552 THE1C LTR/ERVL-MaLR
chr12:20165417:20165552_1 THE1C LTR/ERVL-MaLR
chr12:20165492:20165627 THE1B LTR/ERVL-MaLR
chr12:20165492:20165627_1 THE1B LTR/ERVL-MaLR
chr12:20167023:20167158 MER91B DNA/hAT-Tip100
chr12:20167023:20167158_1 MER91B DNA/hAT-Tip100
chr12:20168534:20168669 AluSx SINE/Alu
chr12:20168534:20168669_1 AluSx SINE/Alu
chr12:20168568:20168703 AluY SINE/Alu
chr12:20168568:20168703_1 AluY SINE/Alu
chr12:20168618:20168753 AluY SINE/Alu
chr12:20168618:20168753_1 AluY SINE/Alu
chr12:20168819:20168954 AluY SINE/Alu
chr12:20168819:20168954_1 AluY SINE/Alu
chr12:20171858:20171993 AluSx SINE/Alu
chr12:20171858:20171993_1 AluSx SINE/Alu
chr12:20171864:20171999 AluSx SINE/Alu
chr12:20171864:20171999_1 AluSx SINE/Alu
chr12:20180173:20180308 MLT1A1 LTR/ERVL-MaLR
chr12:20180173:20180308_1 MLT1A1 LTR/ERVL-MaLR
chr12:20180249:20180384 LTR9D LTR/ERV1
chr12:20180249:20180384_1 LTR9D LTR/ERV1
chr12:20182401:20182536 LTR33 LTR/ERVL
chr12:20188023:20188158 L3 LINE/CR1
chr12:20188023:20188158_1 L3 LINE/CR1
chr12:20189553:20189688 LTR50 LTR/ERVL
chr12:20189553:20189688_1 LTR50 LTR/ERVL
chr12:20190562:20190697 Charlie1b DNA/hAT-Charlie
chr12:20190562:20190697_1 Charlie1b DNA/hAT-Charlie
chr12:20191008:20191143 Charlie1a DNA/hAT-Charlie
chr12:20191008:20191143_1 Charlie1a DNA/hAT-Charlie
chr12:20191593:20191728 Charlie1a DNA/hAT-Charlie
chr12:20191593:20191728_1 Charlie1a DNA/hAT-Charlie
chr12:20191633:20191768 Charlie1a DNA/hAT-Charlie
chr12:20191633:20191768_1 Charlie1a DNA/hAT-Charlie
chr12:20191832:20191967_1 Charlie1a DNA/hAT-Charlie
chr12:20196777:20196912_1 MIRb SINE/MIR
chr12:20199894:20200029 AluSx SINE/Alu
chr12:20199894:20200029_1 AluSx SINE/Alu
chr12:20210564:20210699 (C)n Simple_repeat
chr12:20210564:20210699 (CCTT)n Simple_repeat
chr12:20210564:20210699 (TCCC)n Simple_repeat
chr12:20210564:20210699_1 (C)n Simple_repeat
chr12:20210564:20210699_1 (CCTT)n Simple_repeat
chr12:20210564:20210699_1 (TCCC)n Simple_repeat
chr12:54434745:54434880 (ATA)n Simple_repeat
chr12:54434745:54434880_1 (ATA)n Simple_repeat
chr12:54435648:54435783 AluSx SINE/Alu
chr12:54435648:54435783 (T)n Simple_repeat
chr12:54435648:54435783_1 AluSx SINE/Alu
chr12:54435648:54435783_1 (T)n Simple_repeat
chr12:54437684:54437819 (TG)n Simple_repeat
chr12:54437684:54437819_1 (TG)n Simple_repeat
chr12:54440280:54440415 (AT)n Simple_repeat
chr12:54440280:54440415_1 (AT)n Simple_repeat
chr12:54443650:54443785 (AAC)n Simple_repeat
chr12:54443650:54443785_1 (AAC)n Simple_repeat
chr12:89942322:89942457 L2b LINE/L2
chr12:89942322:89942457_1 L2b LINE/L2
chr12:89956273:89956408 7SLRNA srpRNA
chr12:89956273:89956408_1 7SLRNA srpRNA
chr12:89963197:89963332 MIRb SINE/MIR
chr12:89963197:89963332_1 MIRb SINE/MIR
chr12:89985224:89985359 (TAAGAAG)n Simple_repeat
chr12:90008891:90009026 L2a LINE/L2
chr12:90008891:90009026_1 L2b LINE/L2
chr12:90013021:90013156 SVA_A Retroposon/SVA
chr12:90013021:90013156_1 SVA_A Retroposon/SVA
chr12:90019110:90019245 AluJb SINE/Alu
chr12:90019110:90019245_1 AluJb SINE/Alu
chr12:90046450:90046585 AluJb SINE/Alu
chr12:90046450:90046585_1 AluJb SINE/Alu
chr12:90058774:90058909 AluY SINE/Alu
chr12:90058774:90058909_1 AluY SINE/Alu
chr12:90074373:90074508 L1MC4 LINE/L1
chr12:90074373:90074508_1 L1MC4 LINE/L1
chr12:90075175:90075310 AluSx SINE/Alu
chr12:90075175:90075310_1 AluSx SINE/Alu
chr12:90088512:90088647 AluJb SINE/Alu
chr12:90088512:90088647_1 AluJb SINE/Alu
chr12:90088700:90088835 AluJb SINE/Alu
chr12:90088700:90088835_1 AluJb SINE/Alu
chr12:90090799:90090934 (A)n Simple_repeat
chr12:90090799:90090934_1 (A)n Simple_repeat
chr12:90091378:90091513 (T)n Simple_repeat
chr12:90091378:90091513_1 (T)n Simple_repeat
chr12:90091714:90091849 AluSx SINE/Alu
chr12:90091714:90091849_1 AluSx SINE/Alu
chr12:94871748:94871883 AluY SINE/Alu
chr12:94871748:94871883_1 AluY SINE/Alu
chr12:94871791:94871926 AluY SINE/Alu
chr12:94871791:94871926_1 AluY SINE/Alu
chr12:94871928:94872063 AluSx SINE/Alu
chr12:94871928:94872063_1 AluSx SINE/Alu
chr12:94871994:94872129 MER20B DNA/hAT-Charlie
chr12:94871994:94872129_1 MER20B DNA/hAT-Charlie
chr12:94872782:94872917 AluY SINE/Alu
chr12:94872782:94872917_1 AluY SINE/Alu
chr12:94872904:94873039 AluSx SINE/Alu
chr12:94872904:94873039_1 AluSx SINE/Alu
chr12:94873893:94874028 L1MC5a LINE/L1
chr12:94873893:94874028_1 L1MC5a LINE/L1
chr12:94874361:94874496 L1MC5 LINE/L1
chr12:94874361:94874496_1 L1MC5 LINE/L1
chr12:94874372:94874507 L1MC5 LINE/L1
chr12:94874372:94874507_1 L1MC5 LINE/L1
chr12:94876242:94876377 MER5B DNA/hAT-Charlie
chr12:94876242:94876377 MER5A DNA/hAT-Charlie
chr12:94876242:94876377_1 MER5B DNA/hAT-Charlie
chr12:94876242:94876377_1 MER5A DNA/hAT-Charlie
chr12:94876620:94876755 Charlie1a DNA/hAT-Charlie
chr12:94876620:94876755_1 Charlie1a DNA/hAT-Charlie
chr12:94876648:94876783 Charlie1a DNA/hAT-Charlie
chr12:94876648:94876783 Charlie1a DNA/hAT-Charlie
chr12:94876648:94876783_1 Charlie1a DNA/hAT-Charlie
chr12:94876648:94876783_1 Charlie1a DNA/hAT-Charlie
chr12:94876997:94877132 AluJb SINE/Alu
chr12:94876997:94877132_1 AluJb SINE/Alu
chr12:94877177:94877312 SVA_A Retroposon/SVA
chr12:94877177:94877312 7SLRNA srpRNA
chr12:94877177:94877312_1 SVA_A Retroposon/SVA
chr12:94877177:94877312_1 7SLRNA srpRNA
chr12:94877360:94877495 L1P1 LINE/L1
chr12:94877360:94877495_1 L1P1 LINE/L1
chr12:94878474:94878609 L1P1 LINE/L1
chr12:94878474:94878609_1 L1P1 LINE/L1
chr12:94880029:94880164 L1PA3 LINE/L1
chr12:94880029:94880164_1 L1PA3 LINE/L1
chr12:94880132:94880267 L1PA3 LINE/L1
chr12:94880132:94880267 (A)n Simple_repeat
