	condition	barcode	seq
samp:dna_1__barc:6___seq:SNP	dna	6	SNP
samp:dna_1__barc:60___seq:SNP	dna	60	SNP
samp:dna_1__barc:61___seq:SNP	dna	61	SNP
samp:dna_1__barc:62___seq:SNP	dna	62	SNP
samp:dna_1__barc:63___seq:SNP	dna	63	SNP
samp:dna_1__barc:64___seq:SNP	dna	64	SNP
samp:dna_1__barc:65___seq:SNP	dna	65	SNP
samp:dna_1__barc:66___seq:SNP	dna	66	SNP
samp:dna_1__barc:67___seq:SNP	dna	67	SNP
samp:dna_1__barc:68___seq:SNP	dna	68	SNP
samp:dna_1__barc:69___seq:SNP	dna	69	SNP
samp:dna_1__barc:7___seq:SNP	dna	7	SNP
samp:dna_1__barc:70___seq:SNP	dna	70	SNP
samp:dna_1__barc:71___seq:SNP	dna	71	SNP
samp:dna_1__barc:72___seq:SNP	dna	72	SNP
samp:dna_1__barc:73___seq:SNP	dna	73	SNP
samp:dna_1__barc:74___seq:SNP	dna	74	SNP
samp:dna_1__barc:75___seq:SNP	dna	75	SNP
samp:dna_1__barc:76___seq:SNP	dna	76	SNP
samp:dna_1__barc:77___seq:SNP	dna	77	SNP
samp:dna_1__barc:78___seq:SNP	dna	78	SNP
samp:dna_1__barc:79___seq:SNP	dna	79	SNP
samp:dna_1__barc:8___seq:SNP	dna	8	SNP
samp:dna_1__barc:80___seq:SNP	dna	80	SNP
samp:dna_1__barc:81___seq:SNP	dna	81	SNP
samp:dna_1__barc:82___seq:SNP	dna	82	SNP
samp:dna_1__barc:83___seq:SNP	dna	83	SNP
samp:dna_1__barc:84___seq:SNP	dna	84	SNP
samp:dna_1__barc:85___seq:SNP	dna	85	SNP
samp:dna_1__barc:86___seq:SNP	dna	86	SNP
samp:dna_1__barc:87___seq:SNP	dna	87	SNP
samp:dna_1__barc:88___seq:SNP	dna	88	SNP
samp:dna_1__barc:89___seq:SNP	dna	89	SNP
samp:dna_1__barc:9___seq:SNP	dna	9	SNP
samp:dna_1__barc:90___seq:SNP	dna	90	SNP
samp:dna_1__barc:91___seq:SNP	dna	91	SNP
samp:dna_1__barc:92___seq:SNP	dna	92	SNP
samp:dna_1__barc:93___seq:SNP	dna	93	SNP
samp:dna_1__barc:94___seq:SNP	dna	94	SNP
samp:dna_1__barc:95___seq:SNP	dna	95	SNP
samp:dna_1__barc:96___seq:SNP	dna	96	SNP
samp:dna_1__barc:97___seq:SNP	dna	97	SNP
samp:dna_1__barc:98___seq:SNP	dna	98	SNP
samp:dna_1__barc:99___seq:SNP	dna	99	SNP
samp:dna_1__barc:1___seq:WT	dna	1	WT
samp:dna_1__barc:10___seq:WT	dna	10	WT
samp:dna_1__barc:100___seq:WT	dna	100	WT
samp:dna_1__barc:11___seq:WT	dna	11	WT
samp:dna_1__barc:12___seq:WT	dna	12	WT
samp:dna_1__barc:13___seq:WT	dna	13	WT
samp:dna_1__barc:14___seq:WT	dna	14	WT
samp:dna_1__barc:15___seq:WT	dna	15	WT
samp:dna_1__barc:16___seq:WT	dna	16	WT
samp:dna_1__barc:17___seq:WT	dna	17	WT
samp:dna_1__barc:18___seq:WT	dna	18	WT
samp:dna_1__barc:19___seq:WT	dna	19	WT
samp:dna_1__barc:2___seq:WT	dna	2	WT
samp:dna_1__barc:20___seq:WT	dna	20	WT
samp:dna_1__barc:21___seq:WT	dna	21	WT
samp:dna_1__barc:22___seq:WT	dna	22	WT
samp:dna_1__barc:23___seq:WT	dna	23	WT
samp:dna_1__barc:24___seq:WT	dna	24	WT
samp:dna_1__barc:25___seq:WT	dna	25	WT
samp:dna_1__barc:26___seq:WT	dna	26	WT
samp:dna_1__barc:27___seq:WT	dna	27	WT
samp:dna_1__barc:28___seq:WT	dna	28	WT
samp:dna_1__barc:29___seq:WT	dna	29	WT
samp:dna_1__barc:3___seq:WT	dna	3	WT
samp:dna_1__barc:30___seq:WT	dna	30	WT
samp:dna_1__barc:31___seq:WT	dna	31	WT
samp:dna_1__barc:32___seq:WT	dna	32	WT
samp:dna_1__barc:33___seq:WT	dna	33	WT
samp:dna_1__barc:34___seq:WT	dna	34	WT
samp:dna_1__barc:35___seq:WT	dna	35	WT
samp:dna_1__barc:36___seq:WT	dna	36	WT
samp:dna_1__barc:37___seq:WT	dna	37	WT
samp:dna_1__barc:38___seq:WT	dna	38	WT
samp:dna_1__barc:39___seq:WT	dna	39	WT
samp:dna_1__barc:4___seq:WT	dna	4	WT
samp:dna_1__barc:40___seq:WT	dna	40	WT
samp:dna_1__barc:41___seq:WT	dna	41	WT
samp:dna_1__barc:42___seq:WT	dna	42	WT
samp:dna_1__barc:43___seq:WT	dna	43	WT
samp:dna_1__barc:44___seq:WT	dna	44	WT
samp:dna_1__barc:45___seq:WT	dna	45	WT
samp:dna_1__barc:46___seq:WT	dna	46	WT
samp:dna_1__barc:47___seq:WT	dna	47	WT
samp:dna_1__barc:48___seq:WT	dna	48	WT
samp:dna_1__barc:49___seq:WT	dna	49	WT
samp:dna_1__barc:5___seq:WT	dna	5	WT
samp:dna_1__barc:50___seq:WT	dna	50	WT
samp:dna_1__barc:51___seq:WT	dna	51	WT
samp:dna_1__barc:52___seq:WT	dna	52	WT
samp:dna_1__barc:53___seq:WT	dna	53	WT
samp:dna_1__barc:54___seq:WT	dna	54	WT
samp:dna_1__barc:55___seq:WT	dna	55	WT
samp:dna_1__barc:56___seq:WT	dna	56	WT
samp:dna_1__barc:57___seq:WT	dna	57	WT
samp:dna_1__barc:58___seq:WT	dna	58	WT
samp:dna_1__barc:59___seq:WT	dna	59	WT
samp:dna_1__barc:6___seq:WT	dna	6	WT
samp:dna_1__barc:60___seq:WT	dna	60	WT
samp:dna_1__barc:61___seq:WT	dna	61	WT
samp:dna_1__barc:62___seq:WT	dna	62	WT
samp:dna_1__barc:63___seq:WT	dna	63	WT
samp:dna_1__barc:64___seq:WT	dna	64	WT
samp:dna_1__barc:65___seq:WT	dna	65	WT
samp:dna_1__barc:66___seq:WT	dna	66	WT
samp:dna_1__barc:67___seq:WT	dna	67	WT
samp:dna_1__barc:68___seq:WT	dna	68	WT
samp:dna_1__barc:69___seq:WT	dna	69	WT
samp:dna_1__barc:7___seq:WT	dna	7	WT
samp:dna_1__barc:70___seq:WT	dna	70	WT
samp:dna_1__barc:71___seq:WT	dna	71	WT
samp:dna_1__barc:72___seq:WT	dna	72	WT
samp:dna_1__barc:73___seq:WT	dna	73	WT
samp:dna_1__barc:74___seq:WT	dna	74	WT
samp:dna_1__barc:75___seq:WT	dna	75	WT
samp:dna_1__barc:76___seq:WT	dna	76	WT
samp:dna_1__barc:77___seq:WT	dna	77	WT
samp:dna_1__barc:78___seq:WT	dna	78	WT
samp:dna_1__barc:79___seq:WT	dna	79	WT
samp:dna_1__barc:8___seq:WT	dna	8	WT
samp:dna_1__barc:80___seq:WT	dna	80	WT
samp:dna_1__barc:81___seq:WT	dna	81	WT
samp:dna_1__barc:82___seq:WT	dna	82	WT
samp:dna_1__barc:83___seq:WT	dna	83	WT
samp:dna_1__barc:84___seq:WT	dna	84	WT
samp:dna_1__barc:85___seq:WT	dna	85	WT
samp:dna_1__barc:86___seq:WT	dna	86	WT
samp:dna_1__barc:87___seq:WT	dna	87	WT
samp:dna_1__barc:88___seq:WT	dna	88	WT
samp:dna_1__barc:89___seq:WT	dna	89	WT
samp:dna_1__barc:9___seq:WT	dna	9	WT
samp:dna_1__barc:90___seq:WT	dna	90	WT
samp:dna_1__barc:91___seq:WT	dna	91	WT
samp:dna_1__barc:92___seq:WT	dna	92	WT
samp:dna_1__barc:93___seq:WT	dna	93	WT
samp:dna_1__barc:94___seq:WT	dna	94	WT
samp:dna_1__barc:95___seq:WT	dna	95	WT
samp:dna_1__barc:96___seq:WT	dna	96	WT
samp:dna_1__barc:97___seq:WT	dna	97	WT
samp:dna_1__barc:98___seq:WT	dna	98	WT
samp:dna_1__barc:99___seq:WT	dna	99	WT
