Var1	Freq.x	sentinel	Freq.y	start	end	width	chr	clustering
53	1	rs2118181	56	48699486	48939888	240403	15	232.942184581723
55	1	rs2289125	2	89224453	89224718	266	11	7518.7969924812
56	1	rs2421647	33	169091569	169173670	82102	3	401.939051423839
57	2	rs2521501	15	91418297	91439417	21121	15	710.193646134179
58	4	rs2579519	77	96407037	96803904	396868	2	194.019170101898
59	1	rs2760061	16	228191075	228212159	21085	1	758.833293810766
60	1	rs2773469	5	115789375	115805056	15682	10	318.836883050631
62	1	rs284278	8	10789634	10798489	8856	1	903.342366757001
63	1	rs2901761	16	95892659	95903188	10530	10	1519.46818613485
64	1	rs35199222	34	80987012	81052947	65936	15	515.651540888134
66	1	rs36083386	165	152308973	152405910	96938	6	1702.11888010894
67	1	rs365990	3	23861811	23865885	4075	14	736.196319018405
68	1	rs3774372	739	41750260	42065005	314746	3	2347.92499348681
69	2	rs3820068	15	15790974	15812665	21692	1	691.499170200996
7	7	rs11191548	142	104591393	104960464	369072	10	384.748775306715
70	4	rs3824869	29	47377283	47462140	84858	11	341.747389757006
72	1	rs3918226	1	150690176	150690176	1	7	1e+06
73	1	rs42377	6	92243672	92283098	39427	7	152.179978187536
74	1	rs4308	10	61545779	61559625	13847	17	722.178089116776
75	1	rs4360494	8	38434306	38461821	27516	1	290.739933129815
77	1	rs4454254	12	141047828	141065441	17614	8	681.276257522425
78	1	rs449789	41	159668662	159734491	65830	6	622.816345131399
79	4	rs55701159	35	25134011	25288146	154136	2	227.072195982768
81	4	rs55892892	17	11827796	11905974	78179	1	217.449698768211
82	2	rs56153133	34	11858036	11895795	37760	1	900.423728813559
83	4	rs59476975	259	47749708	48170802	421095	3	615.063109274629
84	1	rs6026739	85	57701709	57767727	66019	20	1287.5081415956
85	1	rs6081613	27	19455985	19479796	23812	20	1133.88207626407
86	1	rs60991988	4	54799245	54801549	2305	4	1735.3579175705
87	1	rs6108168	33	8616641	8635551	18911	20	1745.01612817937
88	5	rs61818802	69	113060432	113247563	187132	1	368.723681679242
89	1	rs62012628	3	79066653	79070000	3348	15	896.057347670251
9	1	rs11222084	3	130268147	130280725	12579	11	238.492725971858
90	1	rs62434120	29	150975312	151008874	33563	6	864.046718112207
91	3	rs6271	2	136522274	136535677	13404	9	149.209191286183
92	1	rs6442105	47	48172687	48204768	32082	3	1464.99594788355
93	2	rs6454092	145	79480458	79822924	342467	6	423.39845882961
94	1	rs6482423	19	18698640	18725053	26414	10	719.315514499886
96	1	rs6595838	18	127803816	127868199	64384	5	279.572564612326
97	1	rs661348	1	1905292	1905292	1	11	1e+06
98	3	rs6668533	104	113064468	113228623	164156	1	633.543702331928
99	3	rs66887589	70	120257739	120574874	317136	4	220.725493163816
