CHR	POS	PHENOTYPE
10	104902430	SBP
10	104960464	SBP
10	104636276	SBP
10	104906211	SBP
10	104811203	SBP
10	104883337	SBP
10	104793904	SBP
10	104630412	SBP
10	104857523	SBP
10	104856162	SBP
10	104642862	SBP
10	104713076	SBP
10	104840967	SBP
10	104628234	SBP
10	104681143	SBP
10	104848430	SBP
10	104851301	SBP
10	104814347	SBP
10	104660688	SBP
10	104851912	SBP
10	104778812	SBP
10	104867686	SBP
10	104665997	SBP
10	104773364	SBP
10	104871279	SBP
10	104638480	SBP
10	104901491	SBP
10	104945823	SBP
10	104735236	SBP
10	102617719	SBP
10	102604514	SBP
10	102595299	SBP
10	102620555	SBP
10	102595108	SBP
10	102615765	SBP
11	130273230	PP
11	130280725	PP
11	130268147	PP
1	56577346	PP
1	56565917	PP
1	56531423	PP
1	56624108	PP
1	56577412	PP
1	56552341	PP
1	56604635	PP
1	56612978	PP
1	56604523	PP
1	56615809	PP
1	56530856	PP
1	56614762	PP
1	56584313	PP
1	56606649	PP
1	56632340	PP
1	56617776	PP
1	56579330	PP
1	56617956	PP
1	56608493	PP
1	56616961	PP
1	56592217	PP
1	56582978	PP
1	56616712	PP
1	56574357	PP
1	56526047	PP
1	56594111	PP
1	56569209	PP
1	56574166	PP
1	56575296	PP
1	56627805	PP
1	56605746	PP
1	56617911	PP
1	56621691	PP
1	56580735	PP
1	56617947	PP
1	56624014	PP
1	56556038	PP
1	56607069	PP
1	56611886	PP
1	56524552	PP
1	56576924	PP
1	56573322	PP
1	56609296	PP
1	56555056	PP
1	56626575	PP
1	56606206	PP
1	56545484	PP
1	56620268	PP
1	56614831	PP
11	16286396	DBP
12	54434813	SBP
12	54437752	SBP
12	54440348	SBP
12	54440445	SBP
12	54443718	SBP
12	54435716	SBP
12	54443090	SBP
12	54434908	SBP
12	54445218	SBP
12	90058842	SBP
12	89985292	SBP
12	90046518	SBP
12	89941549	SBP
12	90075243	SBP
12	90026462	SBP
12	90088580	SBP
12	89991313	SBP
12	90060586	SBP
12	90050503	SBP
12	90084104	SBP
12	90090741	SBP
12	90072076	SBP
12	89956341	SBP
12	90069276	SBP
12	90090867	SBP
12	90008959	SBP
12	90088768	SBP
12	90026523	SBP
12	90091782	SBP
12	90074441	SBP
12	90019178	SBP
12	90054619	SBP
12	89942390	SBP
12	90062376	SBP
12	89963265	SBP
12	90013089	SBP
12	90026463	SBP
12	89993507	SBP
12	90091446	SBP
15	75081078	DBP
15	75102714	DBP
15	75139696	DBP
15	75086534	DBP
15	75106719	DBP
15	75080150	DBP
15	75070196	DBP
15	75077367	DBP
15	75114322	DBP
15	75097780	DBP
15	75083494	DBP
15	75090349	DBP
15	75101530	DBP
15	75065644	DBP
15	75102851	DBP
15	75071455	DBP
15	75082552	DBP
15	75102923	DBP
15	75140854	DBP
15	75086545	DBP
16	75394399	SBP
16	75443816	SBP
16	75490053	SBP
16	75415831	SBP
16	75437186	SBP
16	75325933	SBP
16	75412988	SBP
16	75431263	SBP
16	75397534	SBP
16	75473693	SBP
16	75392376	SBP
16	75483810	SBP
16	75436231	SBP
16	75424154	SBP
16	75328591	SBP
16	75401680	SBP
16	75393131	SBP
16	75444675	SBP
16	75347941	SBP
16	75395777	SBP
16	75479153	SBP
16	75389755	SBP
16	75450039	SBP
16	75437997	SBP
16	75444763	SBP
16	75314023	SBP
16	75447426	SBP
16	75484562	SBP
16	75462954	SBP
16	75314629	SBP
16	75442360	SBP
16	75452630	SBP
16	75332335	SBP
16	75438234	SBP
16	75450362	SBP
16	75411163	SBP
16	75443223	SBP
16	75400186	SBP
16	75441412	SBP
16	75426327	SBP
16	75468783	SBP
16	75317585	SBP
16	75398574	SBP
16	75314838	SBP
16	75331044	SBP
16	75479434	SBP
16	75457212	SBP
16	75422817	SBP
16	75371920	SBP
16	75331178	SBP
16	75465575	SBP
16	75444786	SBP
16	75387463	SBP
16	75389740	SBP
16	75408076	SBP
16	75458653	SBP
16	75391185	SBP
16	75456304	SBP
16	75428306	SBP
16	75438469	SBP
16	75467076	SBP
16	75491327	SBP
16	75471378	SBP
16	75419373	SBP
16	75428097	SBP
16	75394944	SBP
16	75454404	SBP
16	75450912	SBP
16	75329480	SBP
16	75463012	SBP
16	75431708	SBP
16	75404974	SBP
16	75444760	SBP
16	75415775	SBP
16	75419437	SBP
16	75398252	SBP
16	75428196	SBP
16	75464085	SBP
16	75336430	SBP
16	75422760	SBP
16	75431769	SBP
16	75387578	SBP
16	75476088	SBP
16	75474618	SBP
16	75435748	SBP
16	75486202	SBP
16	75389606	SBP
16	75398053	SBP
16	75336173	SBP
16	75473155	SBP
16	75388592	SBP
16	75386349	SBP
16	75389709	SBP
16	75347690	SBP
16	75430809	SBP
16	75475287	SBP
16	75436713	SBP
16	75422818	SBP
16	75396991	SBP
16	75327440	SBP
16	75396881	SBP
16	75466433	SBP
16	75332041	SBP
16	75438770	SBP
16	75403289	SBP
16	75392806	SBP
16	75406416	SBP
16	75464086	SBP
16	75489322	SBP
16	75461746	SBP
16	75430593	SBP
16	75400320	SBP
16	75462923	SBP
16	75330378	SBP
16	75411445	SBP
16	75485135	SBP
16	75466847	SBP
16	75425860	SBP
16	75393352	SBP
16	75474090	SBP
16	75425792	SBP
16	75431830	SBP
16	75474827	SBP
16	75489642	SBP
16	75439185	SBP
16	75443196	SBP
16	75401569	SBP
16	75450749	SBP
16	75459660	SBP
16	75413242	SBP
16	75417920	SBP
16	75391937	SBP
16	75340231	SBP
16	75457654	SBP
16	75465789	SBP
16	75464076	SBP
16	75452204	SBP
16	75444780	SBP
16	75394148	SBP
16	75395228	SBP
16	75447363	SBP
16	75405879	SBP
16	75323559	SBP
16	75427850	SBP
16	75423568	SBP
16	75394175	SBP
16	75461829	SBP
16	75431295	SBP
16	75432390	SBP
16	75411521	SBP
16	75411619	SBP
16	75464419	SBP
16	75429252	SBP
16	75491072	SBP
16	75400746	SBP
16	75322573	SBP
16	75443183	SBP
16	75448921	SBP
16	75435731	SBP
16	75436561	SBP
16	75470576	SBP
16	75465339	SBP
16	75425553	SBP
16	75434878	SBP
16	75433074	SBP
16	75422903	SBP
16	75401113	SBP
16	75447393	SBP
16	75444756	SBP
16	75462081	SBP
16	75464002	SBP
16	75432686	SBP
16	75426529	SBP
16	75419647	SBP
16	75474189	SBP
16	75462055	SBP
16	75448273	SBP
16	75410798	SBP
16	75467021	SBP
16	75403124	SBP
16	75429291	SBP
16	75434183	SBP
16	75429333	SBP
16	75483806	SBP
16	75385159	SBP
16	75412907	SBP
16	75425596	SBP
16	75430625	SBP
16	75398033	SBP
16	75432334	SBP
16	75333365	SBP
16	75432824	SBP
16	75362908	SBP
16	75318646	SBP
16	75344476	SBP
16	75366089	SBP
16	75313485	SBP
16	75472422	SBP
16	75449176	SBP
16	75460306	SBP
16	75312548	SBP
16	75437887	SBP
16	75313381	SBP
16	75434973	SBP
16	75397287	SBP
16	75312901	SBP
16	75448659	SBP
16	75455448	SBP
16	75323840	SBP
16	75385735	SBP
16	75445162	SBP
16	75444572	SBP
16	75462071	SBP
16	75475520	SBP
16	75362787	SBP
16	75483064	SBP
16	75319046	SBP
16	75409797	SBP
16	75452782	SBP
16	75388940	SBP
16	75478447	SBP
16	75458436	SBP
16	75417594	SBP
16	75452431	SBP
16	75408954	SBP
16	75381950	SBP
16	75404051	SBP
16	75395835	SBP
16	75479277	SBP
16	75385418	SBP
16	75445675	SBP
16	75387533	SBP
16	75432690	SBP
16	75429347	SBP
16	75361995	SBP
16	75476451	SBP
16	75415341	SBP
16	75331567	SBP
16	75483132	SBP
16	75435461	SBP
16	75445324	SBP
16	75370263	SBP
16	75462998	SBP
16	75476363	SBP
16	75470986	SBP
16	75464500	SBP
16	75455942	SBP
16	75317575	SBP
16	75427671	SBP
16	75414376	SBP
16	75450627	SBP
16	75321031	SBP
16	75412262	SBP
16	75447233	SBP
16	75388434	SBP
16	75442622	SBP
16	75488285	SBP
16	75445605	SBP
16	75331572	SBP
16	75390316	SBP
16	75451758	SBP
16	75336679	SBP
16	75473462	SBP
16	75386079	SBP
16	75441613	SBP
16	75320827	SBP
16	75445238	SBP
16	75470295	SBP
16	75466696	SBP
16	75432681	SBP
16	75408981	SBP
16	75470496	SBP
16	75425797	SBP
16	75398777	SBP
16	75488935	SBP
16	75429853	SBP
16	75435140	SBP
16	75439489	SBP
16	75388731	SBP
16	75409668	SBP
16	75462713	SBP
16	75432682	SBP
16	75456423	SBP
16	75355977	SBP
16	75474754	SBP
16	75319216	SBP
16	75442786	SBP
16	75371744	SBP
16	75435668	SBP
16	75319716	SBP
16	75331064	SBP
16	75451170	SBP
16	75360096	SBP
16	75442144	SBP
16	75435143	SBP
16	75482860	SBP
16	75430713	SBP
16	75403062	SBP
16	75433883	SBP
16	75422054	SBP
16	75326346	SBP
16	75439507	SBP
16	75442143	SBP
16	75355096	SBP
16	75440041	SBP
16	75425819	SBP
16	75440133	SBP
16	75429737	SBP
2	46357133	PP
2	46363336	PP
5	32828846	SBP
5	32820553	SBP
5	32832474	SBP
5	32820552	SBP
5	32819073	SBP
5	32821211	SBP
5	32829975	SBP
5	32815028	SBP
5	32830521	SBP
5	32831939	SBP
11	100550330	DBP
11	100550417	DBP
11	100555114	DBP
11	100572410	DBP
11	100610546	DBP
11	100573120	DBP
11	100570960	DBP
11	100585807	DBP
11	100581320	DBP
1	217721335	DBP
1	217716862	DBP
1	217718789	DBP
1	217721598	DBP
1	217720507	DBP
1	217723927	DBP
1	217722890	DBP
1	217722449	DBP
1	217724264	DBP
2	26914364	SBP
2	26919089	SBP
2	26912079	SBP
2	26932796	SBP
2	26932031	SBP
2	26915624	SBP
2	26911745	SBP
2	26916969	SBP
2	26923095	SBP
2	26929282	SBP
2	26922855	SBP
2	26913930	SBP
2	26923568	SBP
2	26920025	SBP
2	26911509	SBP
2	26930411	SBP
2	26916844	SBP
2	216303053	PP
2	216287796	PP
2	216304384	PP
2	216305834	PP
2	216294957	PP
2	216287093	PP
2	216300185	PP
2	216300482	PP
2	216295312	PP
2	216292331	PP
2	216296257	PP
2	216295014	PP
2	216306635	PP
2	216299629	PP
2	216297796	PP
22	19984013	PP
22	19972452	PP
22	19969696	PP
22	19988167	PP
22	19973205	PP
22	19968971	PP
22	19972559	PP
22	19960184	PP
22	19984277	PP
22	19967980	PP
22	19987202	PP
22	19969106	PP
22	19976406	PP
22	19975444	PP
22	19972824	PP
22	19983213	PP
22	19976510	PP
22	19972118	PP
22	19984211	PP
22	19989612	PP
22	19970583	PP
22	19973241	PP
22	19976845	PP
22	19960198	PP
22	19970547	PP
22	19971552	PP
2	183213987	DBP
2	183210447	DBP
2	183211349	DBP
2	183211443	DBP
2	183210991	DBP
2	183212028	DBP
2	183213980	DBP
7	106410777	PP
7	106416467	PP
7	106412082	PP
7	106411858	PP
7	106414069	PP
15	95312071	DBP
16	20352863	DBP
16	20365234	DBP
16	20358248	DBP
16	20367645	DBP
16	20367690	DBP
16	20367130	DBP
16	20359267	DBP
16	20366731	DBP
16	20353815	DBP
16	20359831	DBP
16	20365012	DBP
16	20360993	DBP
16	20367550	DBP
16	20356326	DBP
16	20359633	DBP
16	20354582	DBP
16	20355811	DBP
16	20361087	DBP
16	20361441	DBP
16	20365082	DBP
16	20358347	DBP
16	20365654	DBP
16	20353027	DBP
16	20366459	DBP
16	20366810	DBP
16	20353049	DBP
16	20366507	DBP
16	20357281	DBP
16	20366949	DBP
16	20364588	DBP
16	20357255	DBP
16	20361491	DBP
16	20361950	DBP
16	4938321	DBP
16	4940994	DBP
16	4949689	DBP
16	4932560	DBP
16	4946584	DBP
16	4934564	DBP
16	4949815	DBP
16	4938280	DBP
16	4936280	DBP
16	4933939	DBP
16	4932929	DBP
16	4943019	DBP
16	4922450	DBP
16	4929269	DBP
16	4942099	DBP
16	4934549	DBP
16	4922201	DBP
16	4946794	DBP
16	4952598	DBP
16	4932470	DBP
2	165068081	SBP
2	165050128	SBP
2	165081366	SBP
2	165090390	SBP
2	165095189	SBP
2	165067912	SBP
2	165075658	SBP
2	165092914	SBP
2	165076728	SBP
2	165065627	SBP
2	165083643	SBP
2	165084610	SBP
2	165085298	SBP
2	165050501	SBP
2	165076573	SBP
2	165085302	SBP
2	165078809	SBP
2	165087594	SBP
2	165087840	SBP
2	165080678	SBP
2	165077418	SBP
2	165064506	SBP
2	165067519	SBP
2	165083414	SBP
2	165095021	SBP
2	165084285	SBP
2	165069443	SBP
2	165066358	SBP
2	165044350	SBP
2	165073072	SBP
2	165094300	SBP
2	165078704	SBP
2	165043460	SBP
2	165047905	SBP
2	165080395	SBP
2	165050406	SBP
2	165081848	SBP
2	165087946	SBP
2	165086747	SBP
2	165044458	SBP
2	165067517	SBP
2	165076171	SBP
2	165095713	SBP
2	165083085	SBP
2	165083593	SBP
2	165039647	SBP
2	165070207	SBP
2	165083418	SBP
2	165078236	SBP
2	165089395	SBP
2	165070002	SBP
2	165076399	SBP
2	165085214	SBP
2	165085324	SBP
2	165072927	SBP
2	165071660	SBP
4	103188709	DBP
4	103198082	DBP
4	103146888	DBP
4	103146890	DBP
4	106910958	SBP
4	106911742	SBP
4	156614184	DBP
4	156677592	DBP
4	156676248	DBP
4	156676675	DBP
4	156677266	DBP
4	156677495	DBP
4	156676909	DBP
4	156666219	DBP
4	156675527	DBP
4	156676272	DBP
4	156645513	DBP
4	156626588	DBP
4	156617994	DBP
4	156622727	DBP
4	156615404	DBP
4	156676501	DBP
4	156659819	DBP
4	156614187	DBP
4	156619204	DBP
6	51838263	DBP
6	51840315	DBP
6	51834280	DBP
6	51834020	DBP
6	51834297	DBP
6	51832494	DBP
6	51839475	DBP
6	51837544	DBP
6	169587148	PP
6	169587103	PP
6	169586887	PP
7	131190554	SBP
7	131024681	SBP
7	131183218	SBP
7	131093094	SBP
7	131191554	SBP
7	131132856	SBP
7	131191536	SBP
7	131191609	SBP
7	131186336	SBP
7	131095308	SBP
7	131015852	SBP
7	131029996	SBP
7	131160688	SBP
7	131059056	SBP
7	131060277	SBP
7	131096738	SBP
7	131120971	SBP
7	131192213	SBP
7	131080296	SBP
7	131181826	SBP
7	131185995	SBP
7	131151783	SBP
7	131141498	SBP
7	131089393	SBP
2	37559743	SBP
2	37528311	SBP
2	37517566	SBP
2	37525554	SBP
2	37519710	SBP
2	37502333	SBP
2	37498688	SBP
2	37559355	SBP
2	37510494	SBP
12	94871859	PP
12	94880517	PP
12	94874440	PP
12	94872850	PP
12	94875432	PP
12	94871816	PP
12	94877428	PP
12	94876688	PP
12	94880742	PP
12	94873961	PP
12	94876716	PP
12	94877245	PP
12	94875566	PP
12	94870905	PP
12	94877065	PP
12	94880097	PP
12	94874429	PP
12	94878542	PP
12	94876310	PP
12	94880200	PP
12	94871996	PP
12	94880912	PP
12	94872062	PP
12	94872972	PP
12	94866377	PP
1	1681265	SBP
1	1740255	SBP
1	1722932	SBP
1	1778469	SBP
1	1684800	SBP
1	1693726	SBP
1	1690793	SBP
1	1792157	SBP
1	1818239	SBP
1	1687482	SBP
1	1806647	SBP
1	1687152	SBP
1	1684169	SBP
1	1812035	SBP
1	1823093	SBP
1	1704915	SBP
1	1812688	SBP
1	1691050	SBP
1	1832701	SBP
1	1812521	SBP
1	1707900	SBP
1	1684472	SBP
1	1683900	SBP
1	1703865	SBP
1	1808769	SBP
1	1748734	SBP
1	1685921	SBP
1	1681719	SBP
1	1831012	SBP
1	1680036	SBP
1	1759213	SBP
1	1781456	SBP
1	1762757	SBP
1	1681879	SBP
1	1681867	SBP
1	1703303	SBP
1	1724366	SBP
1	1797947	SBP
1	1832825	SBP
1	1702436	SBP
1	1728969	SBP
1	1751264	SBP
1	1684758	SBP
1	1708801	SBP
1	1678911	SBP
1	1680219	SBP
1	1774820	SBP
1	1721479	SBP
1	1811006	SBP
1	1705287	SBP
1	1704899	SBP
1	1696326	SBP
1	1698092	SBP
1	1703849	SBP
1	1723031	SBP
1	1767565	SBP
6	31754008	PP
6	31804646	PP
6	31823477	PP
6	31713124	PP
6	31731881	PP
6	31820159	PP
6	31741490	PP
6	31769684	PP
6	31700906	PP
6	31807489	PP
6	31802465	PP
6	31690876	PP
6	31817728	PP
5	32713836	SBP
5	32708102	SBP
5	32714270	SBP
5	32716474	SBP
5	32709653	SBP
5	32699586	SBP
5	32713108	SBP
5	32709937	SBP
5	32713327	SBP
3	154713624	DBP
3	154707967	DBP
3	154711854	DBP
3	154707966	DBP
2	145638365	DBP
2	145646072	DBP
2	145712376	DBP
2	145634153	DBP
2	145645775	DBP
2	145726656	DBP
2	145728994	DBP
2	145645756	DBP
2	145704420	DBP
2	145725530	DBP
2	145644545	DBP
2	164963486	SBP
2	165008166	SBP
2	165011827	SBP
2	164974432	SBP
2	164999883	SBP
10	63454108	DBP
10	63460654	DBP
10	63451300	DBP
10	63551773	DBP
10	63455597	DBP
10	63450628	DBP
10	63424211	DBP
10	63433490	DBP
10	63425409	DBP
10	63499951	DBP
10	63467553	DBP
10	63463481	DBP
10	63474509	DBP
10	63518748	DBP
10	63511306	DBP
10	63469908	DBP
10	63492175	DBP
10	63462365	DBP
10	63444217	DBP
10	63484589	DBP
10	63452919	DBP
10	63486348	DBP
10	63515681	DBP
10	63472634	DBP
10	63482165	DBP
10	63444428	DBP
10	63476101	DBP
10	63486969	DBP
10	63518378	DBP
10	63448848	DBP
10	63552598	DBP
10	63507986	DBP
10	63507642	DBP
10	63543303	DBP
10	63548784	DBP
10	63509111	DBP
10	63525112	DBP
10	63545240	DBP
10	63508520	DBP
10	63549231	DBP
10	63537607	DBP
10	63534303	DBP
10	63534978	DBP
10	63548965	DBP
10	63537897	DBP
10	63533663	DBP
10	63541723	DBP
10	63540844	DBP
10	63524591	DBP
10	63501848	DBP
10	63532879	DBP
10	63507669	DBP
10	63549345	DBP
10	63509080	DBP
4	169700475	PP
4	169693473	PP
4	169717148	PP
4	169693344	PP
4	169692236	PP
4	169682834	PP
4	169705515	PP
4	169704227	PP
4	169692058	PP
4	169714296	PP
4	169690023	PP
4	169688069	PP
4	169701908	PP
4	169693353	PP
4	169682578	PP
4	169692085	PP
4	169683088	PP
4	169688068	PP
4	169692891	PP
4	169691264	PP
4	169708457	PP
4	169701991	PP
4	169714320	PP
4	169702511	PP
4	169691889	PP
4	169689516	PP
4	169715661	PP
19	11526765	DBP
6	32672043	DBP
6	32600765	DBP
6	32667910	DBP
6	32605935	DBP
6	32654149	DBP
6	32662473	DBP
6	32601977	DBP
6	32601226	DBP
6	32673893	DBP
6	32605884	DBP
6	32666358	DBP
6	32577633	DBP
6	32608938	DBP
6	32671207	DBP
6	32668663	DBP
6	32626484	DBP
6	32663355	DBP
6	32602698	DBP
6	32659609	DBP
6	32662338	DBP
6	32657436	DBP
6	32672216	DBP
6	32651477	DBP
6	32659645	DBP
6	32628428	DBP
6	32651641	DBP
6	32667171	DBP
6	32583831	DBP
6	32609594	DBP
6	32636602	DBP
6	32602760	DBP
6	32652281	DBP
6	32671800	DBP
6	32628084	DBP
6	32590364	DBP
6	32672439	DBP
6	32668946	DBP
6	32679326	DBP
6	26104632	DBP
6	26092170	DBP
6	26125342	DBP
6	26091179	DBP
6	26128410	DBP
6	26107463	DBP
6	26118437	DBP
6	26114508	DBP
1	11850365	SBP
1	11841945	SBP
1	11854476	SBP
10	64564892	DBP
10	64552934	DBP
20	10969030	DBP
20	10965998	DBP
20	10967214	DBP
20	10974785	DBP
7	19046177	PP
7	19049388	PP
7	19052733	PP
15	48930645	PP
15	48885005	PP
15	48894200	PP
15	48699486	PP
15	48808830	PP
15	48864540	PP
15	48809428	PP
15	48926202	PP
15	48859966	PP
15	48739862	PP
15	48792623	PP
15	48899399	PP
15	48840835	PP
15	48922360	PP
15	48900097	PP
15	48787245	PP
15	48793615	PP
15	48786917	PP
15	48879291	PP
15	48806027	PP
15	48806539	PP
15	48893649	PP
15	48858971	PP
15	48885877	PP
15	48939888	PP
15	48729030	PP
15	48726179	PP
15	48915884	PP
15	48823770	PP
15	48919103	PP
15	48914775	PP
15	48758527	PP
15	48814297	PP
15	48804722	PP
15	48795436	PP
15	48891771	PP
15	48785206	PP
15	48848130	PP
15	48876881	PP
15	48755814	PP
15	48772843	PP
15	48901420	PP
15	48715237	PP
15	48810941	PP
15	48862043	PP
15	48897282	PP
15	48763754	PP
15	48883939	PP
15	48800206	PP
15	48821350	PP
15	48737340	PP
15	48903126	PP
15	48819125	PP
15	48891107	PP
15	48914926	PP
15	48801804	PP
2	20881840	PP
2	20880833	PP
2	20878406	PP
2	20878153	PP
2	20878105	PP
11	89224718	PP
11	89224453	PP
3	169097381	DBP
3	169165888	DBP
3	169113110	DBP
3	169091569	DBP
3	169100886	DBP
3	169100899	DBP
3	169100755	DBP
3	169128274	DBP
3	169157998	DBP
3	169096900	DBP
3	169094763	DBP
3	169100662	DBP
3	169155318	DBP
3	169098791	DBP
3	169165173	DBP
3	169173670	DBP
3	169117005	DBP
3	169172788	DBP
3	169098861	DBP
3	169092995	DBP
3	169129651	DBP
3	169154511	DBP
3	169117792	DBP
3	169093665	DBP
3	169171347	DBP
3	169111915	DBP
3	169162212	DBP
3	169152663	DBP
3	169152218	DBP
3	169146497	DBP
3	169121931	DBP
