SNP	Gene	GeneID-Tissue	Trait	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	cond.PP.H4.abf
rs10922502	KYAT3	ENSG00000137944.17_Colon_Transverse	SBP	7.0964576036044e-26	8.88141744158641e-11	7.22656004335128e-16	0.904328761299274	0.0956712386119109	0.095671238620408
rs10922502	KYAT3	ENSG00000137944.17_Esophagus_Gastroesophageal_Junction	SBP	5.79306658444526e-20	7.26409430636409e-05	7.1639971529935e-16	0.898212678418149	0.101714680638788	0.10172206982587
rs10922502	KYAT3	ENSG00000137944.17_Esophagus_Mucosa	SBP	6.70838416796611e-27	8.26949150568003e-12	7.30878277055465e-16	0.900861741808513	0.0991382581832146	0.0991382581840347
rs10922502	KYAT3	ENSG00000137944.17_Esophagus_Muscularis	SBP	1.59868969291832e-32	1.98705365626466e-17	7.35701368649374e-16	0.914337005124704	0.0856629948752965	0.0856629948752965
rs10922502	KYAT3	ENSG00000137944.17_Heart_Atrial_Appendage	SBP	2.37421664107431e-27	2.93525948715431e-12	7.27511906286232e-16	0.899327032154342	0.100672967842723	0.100672967843018
rs10922502	KYAT3	ENSG00000137944.17_Heart_Left_Ventricle	SBP	5.12745546752351e-17	0.0629735496139974	3.42706437120326e-17	0.0411941301528225	0.895832320233181	0.956037388127248
rs10922502	KYAT3	ENSG00000137944.17_Lung	SBP	1.15628304836019e-23	1.42614470259374e-08	6.14206757913152e-16	0.757312060747794	0.24268792499076	0.242687928451841
rs10922502	KYAT3	ENSG00000137944.17_Muscle_Skeletal	SBP	1.89761532132872e-30	2.35170307755406e-15	6.59627689178253e-16	0.8172898562108	0.182710143789196	0.182710143789197
rs10922502	KYAT3	ENSG00000137944.17_Nerve_Tibial	SBP	6.22396821170432e-36	7.69279311071116e-21	7.36286873796356e-16	0.909956794694058	0.090043205305945	0.0900432053059447
rs10922502	KYAT3	ENSG00000137944.17_Skin_Not_Sun_Exposed_Suprapubic	SBP	2.65378162400224e-18	0.00328251608292815	5.73832290028962e-16	0.709497527924971	0.287219955992098	0.288165865078771
rs10922502	KYAT3	ENSG00000137944.17_Skin_Sun_Exposed_Lower_leg	SBP	1.96511580994899e-25	2.42682100599856e-10	5.72543783800641e-16	0.706770076140452	0.293229923616867	0.293229923688028
rs10922502	KYAT3	ENSG00000137944.17_Stomach	SBP	1.69296770018098e-18	0.00210644317748972	4.78723602784962e-16	0.595240173637011	0.402653383185502	0.403503340043229
rs10922502	KYAT3	ENSG00000137944.17_Thyroid	SBP	1.35884980962154e-33	1.68567139289071e-18	7.22505432434841e-16	0.896173841940338	0.103826158059655	0.103826158059656
rs10922502	KYAT3	ENSG00000137944.17_Whole_Blood	SBP	1.24877272213571e-20	1.54266402822145e-05	6.98725858956777e-16	0.863029920386757	0.136954652972958	0.136956765755718
rs10922502	RBMXL1	ENSG00000213516.9_Skin_Sun_Exposed_Lower_leg	SBP	6.28990722547177e-16	0.776772488586981	8.20351755903176e-17	0.101187351554072	0.122040159858947	0.54670752312938
rs11191548	ARL3	ENSG00000138175.8_Adipose_Subcutaneous	SBP	5.68318179224003e-83	0.587015290891792	4.42725913840285e-84	0.0453614930781456	0.367623216030075	0.890161809680322
rs11191548	ARL3	ENSG00000138175.8_Artery_Tibial	SBP	6.32691075731011e-83	0.644628433101189	3.32562978596941e-84	0.0335619545220721	0.321809612376731	0.905558132253081
rs11191548	ARL3	ENSG00000138175.8_Lung	SBP	1.16420998518961e-83	0.125133085379939	8.52487800368442e-84	0.0908441457453176	0.78402276887475	0.896162325689538
rs11191548	ARL3	ENSG00000138175.8_Muscle_Skeletal	SBP	3.75118072828923e-85	0.00377043066306964	7.95965178230096e-84	0.0790878415592609	0.917141727777677	0.920612834638205
rs11191548	AS3MT	ENSG00000214435.7_Skin_Not_Sun_Exposed_Suprapubic	SBP	3.16497833496401e-83	0.317331379394134	1.37688005883051e-83	0.137505465344194	0.545163155261672	0.798576555017047
rs11191548	AS3MT	ENSG00000214435.7_Skin_Sun_Exposed_Lower_leg	SBP	6.72279656797051e-85	0.00704078018667769	6.89164319319058e-83	0.721489844650655	0.271469375162674	0.273394284222175
rs11191548	AS3MT	ENSG00000214435.7_Thyroid	SBP	2.3869139387091e-89	2.46439747422393e-07	9.51745518530269e-83	0.982623520001844	0.017376233558415	0.0173762378406106
rs11191548	CALHM2	ENSG00000138172.10_Adipose_Subcutaneous	SBP	1.55481963315364e-83	0.160597167679236	6.72157780582343e-84	0.0686563648793172	0.77074646744145	0.918208085277128
rs11191548	CALHM2	ENSG00000138172.10_Artery_Aorta	SBP	4.26799055831829e-83	0.460364101128358	4.97717305084083e-84	0.0531995258239593	0.486436373047686	0.90141588812902
rs11191548	CNNM2	ENSG00000148842.17_Artery_Tibial	SBP	4.66558588078254e-83	0.475361425376979	4.08216226152675e-84	0.0411082980777965	0.483530276545233	0.921644537656549
rs11191548	ENSG00000213277	ENSG00000213277.3_Adipose_Subcutaneous	SBP	9.25943069271667e-87	9.56405689678826e-05	9.02002407464041e-84	0.0922600960904121	0.907644263340608	0.907731079257509
rs11191548	ENSG00000213277	ENSG00000213277.3_Adipose_Visceral_Omentum	SBP	2.82662867521619e-84	0.0296714142358463	1.02391077071857e-83	0.106617263752335	0.863711322011818	0.890122515901794
rs11191548	ENSG00000213277	ENSG00000213277.3_Artery_Aorta	SBP	1.02461105911566e-83	0.110519023599204	1.40652038543376e-83	0.150974925389672	0.738506051011136	0.830266268312363
rs11191548	ENSG00000213277	ENSG00000213277.3_Breast_Mammary_Tissue	SBP	1.79578236807007e-84	0.01855272436534	8.21025522876231e-84	0.0839248953785365	0.897522380256125	0.914488635852328
rs11191548	ENSG00000213277	ENSG00000213277.3_Colon_Transverse	SBP	6.69593936425556e-85	0.00684475676905586	6.9435315516619e-84	0.0700554171585632	0.923099826072385	0.929461765785319
rs11191548	ENSG00000213277	ENSG00000213277.3_Esophagus_Mucosa	SBP	1.60868506269974e-86	0.00017240259421169	5.43280689454988e-84	0.0572807825482998	0.942546814857491	0.94270934039336
rs11191548	ENSG00000213277	ENSG00000213277.3_Esophagus_Muscularis	SBP	1.76851723756389e-87	1.83574937353205e-05	4.71869878239305e-84	0.0480289005382444	0.951952741968028	0.951970217755329
rs11191548	ENSG00000213277	ENSG00000213277.3_Lung	SBP	4.3519441127033e-90	4.67761143738111e-08	4.50632335911957e-84	0.0474829158157525	0.952517037408143	0.952517081963182
rs11191548	ENSG00000213277	ENSG00000213277.3_Nerve_Tibial	SBP	1.05892847233952e-85	0.0010710914164559	7.99271773292928e-84	0.0799262251248102	0.919002683458748	0.919988074788883
rs11191548	ENSG00000213277	ENSG00000213277.3_Skin_Not_Sun_Exposed_Suprapubic	SBP	3.58949395746642e-84	0.0359894744386198	7.07475940774544e-84	0.070039948209394	0.893970577351975	0.927345245355482
rs11191548	ENSG00000213277	ENSG00000213277.3_Skin_Sun_Exposed_Lower_leg	SBP	3.66059527331536e-83	0.383373889291809	7.25955199523758e-84	0.0754880997257984	0.541138010982388	0.877578814106491
rs11191548	ENSG00000213277	ENSG00000213277.3_Stomach	SBP	3.50987694136135e-83	0.363848274762916	7.94549409935179e-84	0.0818119188541486	0.55433980638294	0.871395587548461
rs11191548	ENSG00000213277	ENSG00000213277.3_Thyroid	SBP	3.31248680305507e-87	3.42001610467108e-05	8.59179570560353e-84	0.0877948380868794	0.912170961752063	0.912202159212825
rs11191548	ENSG00000213277	ENSG00000213277.3_Whole_Blood	SBP	7.33776255437761e-83	0.760533192539688	2.04905563604508e-84	0.0210192910043011	0.218447516456006	0.912224615898864
rs11191548	MFSD13A	ENSG00000138111.14_Thyroid	SBP	1.7872551001054e-83	0.184527262716294	1.47821067532466e-83	0.151956089596311	0.663516647687384	0.813658896675724
rs11191548	NT5C2	ENSG00000076685.18_Artery_Tibial	SBP	8.57685513446578e-85	0.00873867974173413	1.10038025449589e-83	0.11123415089955	0.880027169358724	0.887785240252724
rs11191548	NT5C2	ENSG00000076685.18_Esophagus_Muscularis	SBP	8.41982363189974e-84	0.0873991252627071	6.39580640374002e-84	0.0655424420455242	0.847058432691761	0.928180605717267
rs11191548	NT5C2	ENSG00000076685.18_Whole_Blood	SBP	2.22114853544166e-85	0.00230214206884701	6.5153292597912e-84	0.0665979885369882	0.931099869394167	0.933248339657572
rs11191548	PDCD11	ENSG00000148843.13_Adipose_Subcutaneous	SBP	8.51423647547243e-85	0.00879434651940106	4.96828870497349e-84	0.0503765763130052	0.940829077167584	0.949176463899182
rs11191548	SFXN2	ENSG00000156398.12_Adipose_Visceral_Omentum	SBP	7.28094081246597e-83	0.764287905120165	2.2488058131789e-84	0.0233936292854679	0.212318465594375	0.90075337755836
rs11191548	SFXN2	ENSG00000156398.12_Colon_Transverse	SBP	5.67085226991145e-83	0.579688709070435	4.73267640639764e-84	0.0480062974792169	0.372304993450346	0.885783945101627
rs11191548	SFXN2	ENSG00000156398.12_Esophagus_Mucosa	SBP	2.84505314150915e-84	0.0304904019835397	2.59096714991756e-83	0.276981124698675	0.692528473317792	0.714308011735671
rs11191548	SFXN2	ENSG00000156398.12_Lung	SBP	1.32705606938648e-84	0.0142636313506158	5.91332391335954e-84	0.0626352324585108	0.923101136190874	0.936458434069617
rs11191548	SFXN2	ENSG00000156398.12_Skin_Sun_Exposed_Lower_leg	SBP	2.92121482457071e-83	0.305938626134505	5.73875216905975e-84	0.0594673176402736	0.634594056225224	0.914319799545857
rs11191548	WBP1L	ENSG00000166272.16_Artery_Tibial	SBP	8.9557331230201e-84	0.0912470624576869	1.06471136479798e-83	0.10767891647061	0.801074021071716	0.881509140689193
rs11191548	WBP1L	ENSG00000166272.16_Muscle_Skeletal	SBP	3.70265293389403e-83	0.372165383858371	8.5485874148365e-84	0.0853821095166258	0.542452506625011	0.864005412697149
rs11191548	WBP1L	ENSG00000166272.16_Thyroid	SBP	1.54213696636878e-87	1.59219751629669e-05	3.92784196983244e-83	0.404939636664089	0.595044441360762	0.595053915794422
rs1173727	NPR3	ENSG00000113389.15_Lung	SBP	4.29113075321016e-97	9.70475798580476e-09	2.49871551577274e-91	0.00465571385965326	0.995344276435585	0.995344286095164
rs1173727	NPR3	ENSG00000113389.15_Nerve_Tibial	SBP	1.30149031167333e-108	2.96683548413997e-20	1.75253669553029e-91	0.00299802434834107	0.997001975651652	0.997001975651659
rs13112725	NPNT	ENSG00000168743.12_Spleen	SBP	6.62359257895084e-26	0.00837970948176899	7.83808652519912e-27	0	0.991620290518231	1
rs13238550	LINC-PINT	ENSG00000231721.6_Heart_Atrial_Appendage	SBP	2.87052795215657e-11	0.917319419474644	5.58942189996721e-14	0.00170520658910901	0.0809753739074876	0.979375972219024
rs13238550	MKLN1-AS	ENSG00000236753.5_Adipose_Visceral_Omentum	SBP	6.59216792062315e-12	0.210803453809309	5.64921355916076e-13	0.0172930752115627	0.77190347097197	0.978087745954807
rs13238550	MKLN1-AS	ENSG00000236753.5_Artery_Aorta	SBP	7.44154399799896e-13	0.0236798513218772	5.95724809544344e-13	0.017998328738813	0.958321819937969	0.981565136432751
rs13238550	MKLN1-AS	ENSG00000236753.5_Esophagus_Gastroesophageal_Junction	SBP	1.32140124001649e-12	0.0425851163066055	5.53018802846221e-13	0.0168817371266583	0.940533146564862	0.98236737550855
rs13238550	MKLN1-AS	ENSG00000236753.5_Esophagus_Muscularis	SBP	2.86505410363275e-14	0.00092111560640447	6.44788902237687e-13	0.0197506509992664	0.979328233393657	0.98023113959488
rs13238550	MKLN1-AS	ENSG00000236753.5_Nerve_Tibial	SBP	1.17172177400865e-12	0.0371814362298201	5.93338480895996e-13	0.0178830639275813	0.944935499840834	0.981426340745251
rs13238550	MKLN1-AS	ENSG00000236753.5_Thyroid	SBP	9.29510166539153e-15	0.0002975988061531	5.29284918584932e-13	0.0159622347734989	0.983740166419813	0.984033013470363
rs13420463	CEBPZ	ENSG00000115816.14_Adipose_Subcutaneous	SBP	1.74317893857001e-12	0.303250024050864	2.00572119054733e-14	0.00279527400438684	0.693954701942986	0.995988124720656
rs13420463	CEBPZ	ENSG00000115816.14_Esophagus_Mucosa	SBP	1.85315313432527e-16	3.21486955490959e-05	4.5445209782437e-14	0.00689080576154263	0.993077045542861	0.993108972700918
rs13420463	CEBPZ	ENSG00000115816.14_Muscle_Skeletal	SBP	1.30996265212743e-18	2.32340269896836e-07	2.40750311644888e-14	0.00327331837179753	0.996726449287906	0.996726680867678
rs13420463	CEBPZ	ENSG00000115816.14_Nerve_Tibial	SBP	2.88752128152182e-13	0.0504923361211256	3.14144966001843e-14	0.00454830343059366	0.94495936044796	0.995209829679505
rs13420463	CEBPZ	ENSG00000115816.14_Thyroid	SBP	9.40702980047937e-14	0.016720770530993	3.36844031508131e-14	0.00500905193693078	0.978270177531949	0.994905768588607
rs13420463	EIF2AK2	ENSG00000055332.16_Whole_Blood	SBP	3.72998685801181e-12	0.650997694359584	6.82050184564982e-15	0.00084222775588761	0.34816007788079	0.997586755897354
rs13420463	NDUFAF7	ENSG00000003509.15_Thyroid	SBP	3.28538589719889e-12	0.583969487266044	3.18674441158524e-14	0.00525358506301363	0.410776927667626	0.987372115981274
rs13420463	PRKD3	ENSG00000115825.9_Artery_Aorta	SBP	5.70227348230761e-15	0.00103479827705941	7.69447858783449e-13	0.138772415335022	0.860192786387146	0.86108383445611
rs13420463	PRKD3	ENSG00000115825.9_Artery_Tibial	SBP	9.08129583953121e-13	0.157171585719115	5.85173466059152e-14	0.00929416593965574	0.833534248340261	0.988972647596846
rs13420463	PRKD3	ENSG00000115825.9_Lung	SBP	9.43453787156383e-13	0.167603737552972	3.6292751432901e-13	0.0637050633084264	0.768691199137297	0.923467864786839
rs13420463	PRKD3	ENSG00000115825.9_Nerve_Tibial	SBP	2.01069673766861e-13	0.035159836280932	2.13137682862305e-12	0.372108227604159	0.592731936112577	0.614331739496901
rs13420463	PRKD3	ENSG00000115825.9_Spleen	SBP	2.73637404962035e-14	0.00466010579075132	1.34416802593269e-13	0.0219180582314524	0.973421835977635	0.977979323084534
rs13420463	PRKD3	ENSG00000115825.9_Thyroid	SBP	1.00285997213514e-16	1.78255962024648e-05	1.75115420513203e-13	0.0301565216102969	0.969825652793329	0.969842940822138
rs13420463	QPCT	ENSG00000115828.15_Whole_Blood	SBP	1.98733108380414e-13	0.0346850539354241	2.41240603278185e-14	0.00324832560069617	0.962066620463658	0.996634957726554
rs1421811	NPR3	ENSG00000113389.15_Heart_Atrial_Appendage	SBP	1.30491675819381e-69	0.0514160740581778	1.02086731727177e-70	0.00307689434065734	0.945507031601159	0.996756328821825
rs1421811	NPR3	ENSG00000113389.15_Lung	SBP	4.20544354489882e-73	1.6384366893289e-05	1.12588445063844e-70	0.00338984102632755	0.996593774606792	0.996610103432363
rs1801131	CLCN6	ENSG00000011021.21_Adipose_Subcutaneous	SBP	6.00430003707278e-64	0.404266517991021	1.659339241926e-65	0.010587101731199	0.58514638027777	0.982228459452209
rs1801131	CLCN6	ENSG00000011021.21_Adipose_Visceral_Omentum	SBP	1.3193378154844e-63	0.915205836705605	4.2170267519723e-66	0.00284334052539997	0.0819508227689843	0.966467732979113
rs1801131	CLCN6	ENSG00000011021.21_Artery_Aorta	SBP	1.35789781982828e-63	0.91380418243973	9.39796711937718e-66	0.00624445798457051	0.0799513595756899	0.927554977012603
rs1801131	CLCN6	ENSG00000011021.21_Artery_Tibial	SBP	8.1417270684519e-65	0.0549767074072111	1.32665018200102e-63	0.895766314760094	0.0492569778326986	0.0521225013380948
rs1801131	CLCN6	ENSG00000011021.21_Esophagus_Gastroesophageal_Junction	SBP	1.31260834532266e-63	0.866386109950183	7.39435800582672e-66	0.00475177809658693	0.128862111953227	0.964436496124652
rs1801131	CLCN6	ENSG00000011021.21_Esophagus_Mucosa	SBP	1.11002058973018e-63	0.759989148557376	1.21084377355299e-64	0.0827446310067306	0.157266220435905	0.655246291951482
rs1801131	CLCN6	ENSG00000011021.21_Esophagus_Muscularis	SBP	5.01685408953947e-67	0.00032752588670579	1.5303641809246e-63	0.999099413493137	0.00057306062016957	0.000573248373851511
rs1801131	CLCN6	ENSG00000011021.21_Skin_Not_Sun_Exposed_Suprapubic	SBP	2.58689901278573e-68	1.86440880875912e-05	1.38748609434626e-63	0.999977685270611	3.67064130125257e-06	3.67070973828827e-06
rs1801131	CLCN6	ENSG00000011021.21_Skin_Sun_Exposed_Lower_leg	SBP	8.2026828630498e-68	5.6163781859444e-05	1.46038100033829e-63	0.999923069081272	2.07671368726445e-05	2.07683032991005e-05
rs1801131	CLCN6	ENSG00000011021.21_Thyroid	SBP	1.02850659370816e-63	0.709083768941833	4.46490661758555e-65	0.030522031812787	0.260394199245391	0.895083090751705
rs1801131	CLCN6	ENSG00000011021.21_Whole_Blood	SBP	8.02308010379244e-68	5.49206878608428e-05	1.4608871889957e-66	8.15290468187483e-08	0.999944997783092	0.999999918466475
rs1801131	ENSG00000242349	ENSG00000242349.5_Muscle_Skeletal	SBP	5.70384974092864e-67	0.00040039233136781	1.42395317970643e-63	0.999570364924804	2.92427438147564e-05	2.9254457075028e-05
rs1801131	MTHFR	ENSG00000177000.10_Adipose_Subcutaneous	SBP	9.79405859924891e-71	6.59429066247773e-08	1.48522942518112e-63	0.999997540081394	2.39397570912108e-06	2.39397586698678e-06
rs1801131	MTHFR	ENSG00000177000.10_Adipose_Visceral_Omentum	SBP	7.00155692853599e-64	0.485688024084265	4.9625694338942e-64	0.344076132118395	0.170235843797329	0.330997238581168
rs1801131	MTHFR	ENSG00000177000.10_Artery_Aorta	SBP	7.51833585362506e-65	0.050595020094354	1.40101721171461e-63	0.942815004580845	0.0065899753248026	0.00694116363857446
rs1801131	MTHFR	ENSG00000177000.10_Artery_Tibial	SBP	5.73847718888233e-68	3.87488525129504e-05	1.48085504916651e-63	0.999941811895011	1.94392524669464e-05	1.9440005744862e-05
rs1801131	MTHFR	ENSG00000177000.10_Breast_Mammary_Tissue	SBP	9.26496473420296e-64	0.74633104592185	2.21740378012285e-64	0.178545878723038	0.0751230753551223	0.296146115428755
rs1801131	MTHFR	ENSG00000177000.10_Colon_Transverse	SBP	9.41402777745871e-64	0.655539522029033	3.83660948083547e-64	0.267082354642809	0.0773781233281602	0.224635707945228
rs1801131	MTHFR	ENSG00000177000.10_Esophagus_Gastroesophageal_Junction	SBP	1.02695514566868e-63	0.677840939317281	2.01599693684769e-64	0.132876437247296	0.189282623435433	0.587544000886704
rs1801131	MTHFR	ENSG00000177000.10_Esophagus_Mucosa	SBP	7.78573408690188e-66	0.00533059789551922	1.45207177115815e-63	0.994178174661018	0.00049122744346832	0.000493860012612229
rs1801131	MTHFR	ENSG00000177000.10_Esophagus_Muscularis	SBP	1.05411830166229e-68	6.88182325582527e-06	1.5313839947251e-63	0.999765545574374	0.00022757260238287	0.000227574168508072
rs1801131	MTHFR	ENSG00000177000.10_Lung	SBP	9.76626397162787e-66	0.00685417776717637	1.4116573306052e-63	0.990729589210879	0.00241623302195428	0.00243290861005889
rs1801131	MTHFR	ENSG00000177000.10_Muscle_Skeletal	SBP	1.1496543532866e-65	0.00807021235984791	1.37895733675781e-63	0.967960757073604	0.0239690305665476	0.0241640394967582
rs1801131	MTHFR	ENSG00000177000.10_Skin_Not_Sun_Exposed_Suprapubic	SBP	2.07682501952109e-68	1.49679243043848e-05	1.38746943137416e-63	0.999965660367859	1.9371707831957e-05	1.93719977905536e-05
rs1801131	MTHFR	ENSG00000177000.10_Skin_Sun_Exposed_Lower_leg	SBP	8.98450433911711e-76	6.15169146780578e-13	1.46048994433912e-63	0.999997681503617	2.31849577535793e-06	2.31849577535934e-06
rs1801131	MTHFR	ENSG00000177000.10_Stomach	SBP	1.24545916088681e-63	0.777931448804204	1.87514661822116e-66	0.0009501247352939	0.221118426460504	0.995721480010665
rs1801131	MTHFR	ENSG00000177000.10_Thyroid	SBP	7.40124697434467e-65	0.0510264506960157	1.37099495175214e-63	0.945201901836494	0.00377164746748332	0.00397444951995725
rs1801131	MTHFR	ENSG00000177000.10_Whole_Blood	SBP	2.03148398505699e-68	1.39061926833907e-05	6.3593013671869e-65	0.0425741496109729	0.95741194419635	0.957425258336466
rs2521501	FES	ENSG00000182511.11_Adipose_Subcutaneous	SBP	8.29005097962152e-80	0.00040077115879874	1.40993554319317e-78	0.00582236338345113	0.993776865457757	0.99417530224568
rs2521501	FES	ENSG00000182511.11_Adipose_Visceral_Omentum	SBP	5.28701827689776e-84	2.55474698879436e-08	1.07033136134901e-78	0.00417613827783373	0.995823836174709	0.995823861615477
rs2521501	FES	ENSG00000182511.11_Artery_Aorta	SBP	2.79258851398929e-81	1.33943950886451e-05	7.71346139390636e-79	0.00270240692636295	0.997284198678542	0.997297556876046
rs2521501	FES	ENSG00000182511.11_Artery_Coronary	SBP	1.46048987489388e-77	0.071058089576025	2.09402021653208e-78	0.00926848869278881	0.919673421731176	0.990022531453491
rs2521501	FES	ENSG00000182511.11_Artery_Tibial	SBP	5.08681230290813e-80	0.00024175315674758	1.05056727536058e-78	0.00399710944776294	0.995761137395496	0.996001924004744
rs2521501	FES	ENSG00000182511.11_Breast_Mammary_Tissue	SBP	1.18350180793053e-76	0.56888614533829	8.33731387233969e-79	0.00358004972347589	0.427533804938245	0.991695813797761
rs2521501	FES	ENSG00000182511.11_Colon_Transverse	SBP	2.58850404660567e-79	0.00126194491859273	1.22177383830044e-78	0.00496260421535276	0.993775450866052	0.995031125338517
rs2521501	FES	ENSG00000182511.11_Esophagus_Mucosa	SBP	3.62442834487433e-77	0.176021078056101	7.92015803888658e-79	0.0030254869515338	0.820953434992368	0.99632819860926
rs2521501	FES	ENSG00000182511.11_Heart_Atrial_Appendage	SBP	4.19799097155708e-77	0.200073628274819	1.18320283666713e-78	0.00484398845134591	0.795082383273847	0.993944457111848
rs2521501	FES	ENSG00000182511.11_Lung	SBP	2.22751186039739e-85	1.05845138008779e-09	2.30151598240732e-78	0.00994610681338008	0.990053892128182	0.990053893176093
rs2521501	FES	ENSG00000182511.11_Nerve_Tibial	SBP	2.4236756148323e-82	1.16114832108154e-06	1.35753061127386e-78	0.00550924539670164	0.994489593454978	0.99449074820624
rs2521501	FES	ENSG00000182511.11_Pancreas	SBP	2.76342339289665e-86	1.33662054843129e-10	6.74591662015182e-79	0.00226514943855829	0.99773485042778	0.997734850561139
rs2521501	FES	ENSG00000182511.11_Pituitary	SBP	1.56711805646912e-76	0.736368912003894	7.10321856232244e-79	0.00307715844180869	0.260553929554292	0.988327786130238
rs2521501	FES	ENSG00000182511.11_Skin_Not_Sun_Exposed_Suprapubic	SBP	1.02869017388332e-79	0.00049699534002137	1.84365836293975e-78	0.00791575568318567	0.991587248976786	0.992080308266929
rs2521501	FES	ENSG00000182511.11_Skin_Sun_Exposed_Lower_leg	SBP	8.77382251587723e-83	4.18882661129977e-07	1.68948771837644e-78	0.00707308019272859	0.992926500924606	0.99292691684448
rs2521501	FES	ENSG00000182511.11_Spleen	SBP	1.11791937318447e-76	0.556314440781121	9.12205189788371e-79	0.00409985544204736	0.439585703776818	0.990759547258501
rs2521501	FES	ENSG00000182511.11_Stomach	SBP	1.34067138583759e-77	0.0654131452202012	1.38980789081025e-78	0.00585232355281287	0.928734531226981	0.993738063484542
rs2521501	FES	ENSG00000182511.11_Thyroid	SBP	6.54079849181304e-100	3.14610144090309e-24	1.16393181707091e-78	0.00460307483846661	0.995396925161538	0.995396925161533
rs2521501	FES	ENSG00000182511.11_Whole_Blood	SBP	8.5552170927112e-82	4.10045713915523e-06	9.86478354335585e-79	0.00373185935729511	0.996264040185554	0.996268125340313
rs2521501	FURIN	ENSG00000140564.11_Artery_Aorta	SBP	1.43482791189012e-78	0.00688202069148292	1.66480554041324e-78	0.00699896831653724	0.986119010991979	0.992952530854984
rs2521501	FURIN	ENSG00000140564.11_Esophagus_Mucosa	SBP	1.06899997258968e-85	5.19161946968225e-10	1.73546839805348e-78	0.00743577230732217	0.992564227173513	0.992564227688817
rs2521501	FURIN	ENSG00000140564.11_Esophagus_Muscularis	SBP	4.215639164963e-77	0.202899568343084	1.23291287881752e-78	0.00514207634566131	0.791958355311268	0.993549023257995
rs2521501	MAN2A2	ENSG00000196547.14_Artery_Aorta	SBP	3.92764418607877e-77	0.188385856822157	1.35102734311773e-78	0.00567413893278026	0.805940004245066	0.993008822011697
rs35199222	ABHD17C	ENSG00000136379.11_Artery_Aorta	SBP	1.28317382575036e-21	0.575357512569236	1.23674980005203e-22	0.05508460384796	0.369557883582803	0.870280046207243
rs35199222	ABHD17C	ENSG00000136379.11_Heart_Atrial_Appendage	SBP	1.99659776311812e-22	0.0890791106640216	5.30301546085927e-23	0.0227714935135821	0.888149395822394	0.975001678213592
rs35199222	ABHD17C	ENSG00000136379.11_Heart_Left_Ventricle	SBP	4.80415532522744e-22	0.215287525906313	3.72440663401914e-23	0.0159213080382012	0.768791166055485	0.979710647448813
rs35199222	ABHD17C	ENSG00000136379.11_Muscle_Skeletal	SBP	1.00909675759914e-21	0.452670417095772	9.98638390039279e-23	0.0442948553799082	0.503034727524318	0.919070964253619
