SNP	Gene	GeneID-Tissue	Trait	nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	1	2	rs11222084	rs4936099	1.93078350400171e-114	0.00829925294935126	1.16520482970936e-114	0.00303116105577843	0.988669585994881	1	1
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	1	2	rs11222084	rs4936099	9.1557361621421e-113	0.393548889296252	1.41647254207645e-114	0.0048854144740963	0.60156569622968	1	1
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	1	2	rs11222084	rs11222084	1.17938982938113e-112	0.506947283299225	2.6117531089786e-115	0.00013680049003952	0.492915916210717	1	1
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	1	14	rs1250259	rs1250259	1.88925383559959e-28	0.020250288794571	1.13181257736435e-28	0.0101924111488775	0.969557300056552	1	1
rs1250259	ATIC	ENSG00000138363.14_Skin_Not_Sun_Exposed_Suprapubic	PP	1	14	rs1250259	rs1250232	4.56686020982612e-28	0.04895066845481	3.43300694124901e-28	0.0349651007481287	0.916084230797058	1	1
rs12628032	ARVCF	ENSG00000099889.13_Artery_Aorta	PP	1	24	rs4819852	rs71313932	1.03764217551261e-47	2.04747825468935e-26	1.57877475759736e-23	0.0292108465029956	0.970789153497001	1	1
rs12628032	ARVCF	ENSG00000099889.13_Artery_Coronary	PP	1	24	rs4819852	rs71313932	4.94610241775874e-24	0.00975966222732272	2.06158219644229e-23	0.0387762656769836	0.951464072095691	1	1
rs12628032	ARVCF	ENSG00000099889.13_Artery_Tibial	PP	1	24	rs4819852	rs2238787	5.61095770656581e-35	1.10715564221353e-13	1.77011628757974e-23	0.0329939688218103	0.967006031178074	1	1
rs12628032	ARVCF	ENSG00000099889.13_Brain_Cerebellum	PP	1	24	rs4819852	rs1034565	2.05045399631698e-25	0.000404596118852424	2.09877796605172e-23	0.0394929367857781	0.96010246709537	1	1
rs12628032	ARVCF	ENSG00000099889.13_Colon_Sigmoid	PP	1	24	rs4819852	rs2238782	2.90379719207756e-23	0.0572978021433027	3.13042547863346e-22	0.617045059935351	0.325657137921349	1	1
rs12628032	ARVCF	ENSG00000099889.13_Colon_Transverse	PP	1	24	rs4819852	rs2238782	1.67724364733478e-26	3.30954155177559e-05	7.77811423161466e-23	0.151781582812362	0.848185321772122	1	1
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Gastroesophageal_Junction	PP	1	24	rs4819852	rs2238782	1.60509556834501e-25	0.000316717877360865	5.03777780706674e-22	0.994044356677479	0.00563892544515703	1	1
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Mucosa	PP	1	24	rs4819852	rs2238782	3.10431953763009e-30	6.12545143104357e-09	5.4336563482818e-23	0.105427905004612	0.894572088869941	1	1
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	1	24	rs4819852	rs2238782	1.55471207175192e-51	3.06776192635241e-30	5.06719130710879e-22	0.999859232514848	0.000140767485151262	1	1
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	2	24	rs4819852	rs2240716	2.97418371061102e-26	5.86866707679744e-05	1.99004195339933e-23	0.0373423619715903	0.962598951357643	1	2
rs12628032	ARVCF	ENSG00000099889.13_Lung	PP	1	24	rs4819852	rs71313932	3.72859600367558e-24	0.0073572753866485	3.5203329926916e-23	0.0676132437248236	0.925029480888528	1	1
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	1	24	rs4819852	rs9606203	0	0	1.35901863941687e-23	0.0248659231846678	0.975134076815296	1	1
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	2	24	rs4819852	rs12628032	1.45767705579135e-225	2.87629217906263e-204	4.86726315301426e-22	0.960330298990414	0.0396697010095684	1	2
rs12628032	ARVCF	ENSG00000099889.13_Pancreas	PP	1	24	rs4819852	rs4819852	5.94878513286542e-25	0.00117381583833021	1.01518243585647e-23	0.018070094196631	0.980756089965041	1	1
rs12628032	ARVCF	ENSG00000099889.13_Skin_Not_Sun_Exposed_Suprapubic	PP	1	24	rs4819852	rs2238782	1.62237689201521e-24	0.00320127832667424	4.58153102554469e-22	0.903842988800681	0.0929557328726424	1	1
rs12628032	ARVCF	ENSG00000099889.13_Spleen	PP	1	24	rs4819852	rs2238782	1.31369775871583e-22	0.259219185349323	2.49462672004777e-22	0.491742319883452	0.249038494767227	1	1
rs12628032	ARVCF	ENSG00000099889.13_Stomach	PP	1	24	rs4819852	rs2238784	1.88481493347788e-26	3.7191217564988e-05	2.01000708728771e-23	0.0377370609226625	0.962225747859771	1	1
rs12628032	ARVCF	ENSG00000099889.13_Thyroid	PP	1	24	rs4819852	rs2238784	1.2930311469909e-54	2.5514124411838e-33	2.43554057754291e-23	0.0461504512805484	0.953849548719458	1	1
rs12628032	COMT	ENSG00000093010.13_Esophagus_Mucosa	PP	1	24	rs4819852	rs12628032	6.48758351249531e-26	0.000128013167552226	2.77361010072463e-23	0.0528348728236473	0.947037114008798	1	1
rs12628032	TANGO2	ENSG00000183597.15_Brain_Cerebellar_Hemisphere	PP	1	24	rs4819852	rs1034565	6.50994867033545e-25	0.00128454477431692	2.60609050951898e-23	0.0495250653166787	0.949190389909003	1	1
rs1322639	LINC01615	ENSG00000223485.2_Adipose_Subcutaneous	PP	1	2	rs1322639	rs9689079	2.19753250314047e-28	0.0452930028175518	2.08963044363469e-29	0.0024022956112741	0.952304701571177	1	1
rs1322639	LINC01615	ENSG00000223485.2_Artery_Aorta	PP	1	2	rs1322639	rs1322639	7.4915526548884e-29	0.0154407234032164	1.55259097223185e-29	0.0012333694449636	0.983325907151816	1	1
rs1322639	LINC01615	ENSG00000223485.2_Artery_Tibial	PP	1	2	rs1322639	rs1322639	1.88597453607198e-31	3.88715297061884e-05	1.13660227041726e-29	0.00034339791349521	0.999617730556798	1	1
rs1322639	LINC01615	ENSG00000223485.2_Esophagus_Mucosa	PP	1	2	rs1322639	rs1322639	2.59691438150003e-28	0.0535246009923082	1.51832266863523e-29	0.00123891842714239	0.945236480580547	1	1
rs1322639	LINC01615	ENSG00000223485.2_Skin_Not_Sun_Exposed_Suprapubic	PP	1	2	rs1322639	rs1322639	5.53763299190529e-29	0.0114135297815389	1.57921279781001e-29	0.00128027870953727	0.987306191508917	1	1
rs1322639	LINC01615	ENSG00000223485.2_Skin_Sun_Exposed_Lower_leg	PP	1	2	rs1322639	rs9689079	3.92839754971792e-28	0.080967594806248	2.34412807557007e-29	0.00299938010042855	0.916033025093321	1	1
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Subcutaneous	PP	1	2	rs1322639	rs9689079	1.38010252020712e-27	0.284450797641995	2.15190439356775e-29	0.00301017884321799	0.712539023514788	1	1
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Visceral_Omentum	PP	1	2	rs1322639	rs9689079	2.09644498858343e-29	0.00432095036769893	3.4412730930174e-29	0.00511161993149487	0.990567429700811	1	1
rs1322639	LINC02544	ENSG00000261039.2_Artery_Aorta	PP	1	2	rs1322639	rs1322639	3.84730590007339e-35	7.92962273472546e-09	1.32830877442223e-29	0.000739235173605032	0.99926075689677	1	1
rs1322639	LINC02544	ENSG00000261039.2_Artery_Coronary	PP	1	2	rs1322639	rs1322639	1.29024830736721e-27	0.265931084693444	1.1882041327768e-29	0.000982816979012463	0.733086098327543	1	1
rs1322639	LINC02544	ENSG00000261039.2_Artery_Tibial	PP	1	2	rs1322639	rs1322639	9.792915315714e-39	2.01840264183946e-12	1.78093965674049e-29	0.00167401523450126	0.998325984763485	1	1
rs1322639	LINC02544	ENSG00000261039.2_Breast_Mammary_Tissue	PP	1	2	rs1322639	rs1322639	4.20411656870491e-29	0.00866503968972222	1.4511485582207e-29	0.00101029052786586	0.990324669782413	1	1
rs1322639	LINC02544	ENSG00000261039.2_Heart_Atrial_Appendage	PP	1	2	rs1322639	rs1322639	5.35209891614383e-32	1.10311283652137e-05	1.18233970487342e-29	0.000437799755712411	0.999551169115916	1	1
rs1322639	LINC02544	ENSG00000261039.2_Lung	PP	1	2	rs1322639	rs1322639	3.81659293350883e-29	0.00786632071397463	1.57300921326407e-29	0.00126035833842191	0.990873320947597	1	1
rs1322639	LINC02544	ENSG00000261039.2_Skin_Not_Sun_Exposed_Suprapubic	PP	1	2	rs1322639	rs1322639	1.55393843099086e-29	0.00320279848569194	1.28977644674386e-29	0.000666076051369878	0.99613112546294	1	1
rs1322639	LINC02544	ENSG00000261039.2_Skin_Sun_Exposed_Lower_leg	PP	1	2	rs1322639	rs1322639	6.94408886261697e-31	0.000143123542414215	1.71184997566932e-29	0.00153161701118525	0.998325259446405	1	1
rs1322639	LINC02544	ENSG00000261039.2_Thyroid	PP	1	2	rs1322639	rs1322639	1.44624515824245e-35	2.98083354551225e-09	1.66122748744429e-29	0.00142678387562568	0.998573213143535	1	1
rs1322639	THBS2	ENSG00000186340.14_Artery_Aorta	PP	1	2	rs1322639	rs1322639	1.31026853348793e-28	0.0270057422560112	1.51499322842741e-29	0.00117889841187984	0.971815359332113	1	1
rs1322639	THBS2	ENSG00000186340.14_Artery_Tibial	PP	1	2	rs1322639	rs1322639	2.09219847571677e-31	4.31219794565468e-05	1.39605699533708e-29	0.000879236214940094	0.999077641805607	1	1
rs1322639	THBS2	ENSG00000186340.14_Lung	PP	1	2	rs1322639	rs1322639	1.79288286715679e-27	0.369528317044794	1.04734675743045e-29	0.000899525902031929	0.629572157053178	1	1
rs139236208	CEP83	ENSG00000173588.14_Colon_Transverse	PP	1	20	rs74996579	rs55667322	1.38551182970933e-16	0.539244190927336	4.13720290469832e-18	0.0152109932608358	0.445544815811829	1	1
rs139236208	CEP83	ENSG00000173588.14_Esophagus_Gastroesophageal_Junction	PP	1	20	rs74996579	rs75442785	2.37234266751106e-19	0.000923320880351331	9.61944260254595e-18	0.0355119485181606	0.963564730601489	1	1
rs139236208	CEP83	ENSG00000173588.14_Esophagus_Muscularis	PP	1	20	rs74996579	rs111835543	3.69593885519697e-22	1.43846736992907e-06	1.31610417907811e-17	0.0493217046539187	0.950676856878714	1	1
rs139236208	CEP83	ENSG00000173588.14_Muscle_Skeletal	PP	1	20	rs74996579	rs75442785	1.79261536915742e-16	0.697689766090267	3.12802854414751e-18	0.0115929198979882	0.290717314011742	1	1
rs139236208	CEP83	ENSG00000173588.14_Spleen	PP	1	20	rs74996579	rs111835543	1.51398277900451e-16	0.589245361343094	3.71242142414535e-18	0.0136546241840135	0.397100014472892	1	1
rs139236208	CEP83	ENSG00000173588.14_Stomach	PP	1	20	rs74996579	rs111835543	8.29967395278639e-18	0.0323025099437074	8.35923749746287e-18	0.0306602580796707	0.937037231976621	1	1
rs139236208	CEP83	ENSG00000173588.14_Thyroid	PP	1	20	rs74996579	rs111835543	3.11787337312428e-21	1.213483038147e-05	1.09333817773342e-17	0.04063425034311	0.959353614826505	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Adipose_Subcutaneous	PP	1	20	rs74996579	rs74630370	5.03458178450733e-17	0.195947008378393	7.46965983846519e-18	0.0275190091528783	0.77653398246873	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Artery_Aorta	PP	1	20	rs74996579	rs116405725	1.46948306206817e-16	0.571925975581615	4.02399019781959e-18	0.0148349785048879	0.413239045913497	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Artery_Tibial	PP	1	20	rs74996579	rs139236208	8.7651513607272e-18	0.0341141580498997	1.23520097008326e-17	0.0462349863217039	0.919650855628398	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Colon_Sigmoid	PP	1	20	rs74996579	rs111835543	5.17007898086141e-17	0.201220588470178	8.65297930810764e-18	0.032144311803513	0.766635099726307	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Heart_Atrial_Appendage	PP	1	20	rs74996579	rs75442785	4.22936429909299e-18	0.0164607770262043	8.87022689319512e-18	0.0326212783982697	0.950917944575525	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Pancreas	PP	1	20	rs74996579	rs111835543	3.12741453071875e-17	0.121719647725103	8.86400390528186e-18	0.0328079494787186	0.845472402796181	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Skin_Not_Sun_Exposed_Suprapubic	PP	1	20	rs74996579	rs77246720	4.16548554918912e-20	0.000162121595545181	8.26263451202817e-18	0.0302191141132194	0.969618764291236	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Skin_Sun_Exposed_Lower_leg	PP	1	20	rs74996579	rs139236208	6.07306425860962e-17	0.236364970140364	8.6214947534437e-18	0.0320919572923538	0.731543072567285	1	1
rs139236208	ENSG00000258365	ENSG00000258365.1_Thyroid	PP	1	20	rs74996579	rs111835543	1.4993222021641e-16	0.583539433232403	4.3974329335742e-18	0.016314611864924	0.400145954902674	1	1
rs140091914	AIF1	ENSG00000204472.12_Whole_Blood	PP	1	11	rs4711277	rs6905572	7.21214679675391e-26	0.875248663161167	2.45900861240326e-28	0.00274017094847313	0.122011165890359	1	1
rs140091914	BAG6	ENSG00000204463.12_Artery_Tibial	PP	1	11	rs4711277	rs9767684	1.2641185913507e-26	0.153410369802077	2.27041680401012e-27	0.0259118727891725	0.820677757408748	1	1
rs140091914	BAG6	ENSG00000204463.12_Skin_Sun_Exposed_Lower_leg	PP	1	11	rs4711277	rs4711279	6.40247254153742e-27	0.0776988557058888	1.13418801481216e-27	0.0119435157230781	0.910357628571034	1	1
rs140091914	C4A	ENSG00000244731.7_Adipose_Visceral_Omentum	PP	1	11	rs4711277	rs9469051	8.22291983254338e-27	0.099791363009338	1.77354269163101e-27	0.0197623919584435	0.880446245032217	1	1
rs140091914	C4A	ENSG00000244731.7_Artery_Tibial	PP	1	11	rs4711277	rs9767684	6.98604575539954e-26	0.847809588533091	3.05478012063833e-28	0.00340964561783382	0.148780765849073	1	1
rs140091914	C4A	ENSG00000244731.7_Nerve_Tibial	PP	1	11	rs4711277	rs9469051	6.04060295008063e-26	0.733072940102258	6.7474942548485e-28	0.00767008160681115	0.259256978290928	1	1
rs140091914	C4A	ENSG00000244731.7_Thyroid	PP	1	11	rs4711277	rs9469051	4.01686148629253e-26	0.487476578757868	8.94141157101074e-28	0.00984572507627893	0.502677696165855	1	1
rs140091914	CLIC1	ENSG00000213719.8_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	7.33617072743928e-27	0.0890299906929696	2.88846172099588e-27	0.0332983283274707	0.877671680979558	1	1
rs140091914	CSNK2B	ENSG00000204435.13_Esophagus_Mucosa	PP	1	11	rs4711277	rs4711279	6.80379661987422e-29	0.000825692274961131	1.39760484286316e-27	0.0149926304357049	0.984181677289332	1	1
rs140091914	CSNK2B	ENSG00000204435.13_Heart_Left_Ventricle	PP	1	11	rs4711277	rs4711277	3.47524554558532e-26	0.421747380308368	9.73928776711765e-28	0.0106842269053444	0.567568392786289	1	1
rs140091914	CSNK2B	ENSG00000204435.13_Muscle_Skeletal	PP	1	11	rs4711277	rs3749953	1.36871995999752e-26	0.166104538494561	1.41015726893952e-27	0.0154764890472885	0.818418972458148	1	1
rs140091914	DDAH2	ENSG00000213722.8_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	1.62899894831582e-26	0.197691365966939	2.38583680531685e-27	0.0274041284671536	0.77490450556591	1	1
rs140091914	EHMT2	ENSG00000204371.11_Skin_Not_Sun_Exposed_Suprapubic	PP	1	11	rs4711277	rs9767684	7.2724680430397e-26	0.88256910347661	4.06555511825035e-28	0.00470841423509784	0.112722482288292	1	1
rs140091914	ENSG00000204528	ENSG00000204528.3_Artery_Aorta	PP	1	11	rs4711277	rs4711279	6.60189715295669e-26	0.801190244776159	3.08023351604602e-28	0.00334717160633166	0.195462583617506	1	1
rs140091914	ENSG00000248290	ENSG00000248290.1_Adipose_Subcutaneous	PP	1	11	rs4711277	rs9469051	6.03110180559759e-26	0.731919904225197	7.009223459747e-28	0.00798603566560738	0.260094060109192	1	1
rs140091914	ENSG00000248290	ENSG00000248290.1_Colon_Transverse	PP	1	11	rs4711277	rs9767684	3.07688676916175e-26	0.373403524262596	1.69212138844262e-27	0.0193206235336702	0.607275852203734	1	1
rs140091914	ENSG00000248290	ENSG00000248290.1_Esophagus_Muscularis	PP	1	11	rs4711277	rs9767684	1.57560997921942e-26	0.191212210017118	2.43165604103136e-27	0.0279483096621415	0.780839480320741	1	1
rs140091914	ENSG00000248290	ENSG00000248290.1_Nerve_Tibial	PP	1	11	rs4711277	rs9767684	5.27309640023528e-26	0.639930204568653	6.95706995240019e-28	0.00773826849891167	0.352331526932437	1	1
rs140091914	ENSG00000255552	ENSG00000255552.7_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	8.88065546117702e-29	0.00107773483255894	1.75408338521963e-27	0.0193279423745105	0.979594322792927	1	1
rs140091914	GPANK1	ENSG00000204438.10_Muscle_Skeletal	PP	1	11	rs4711277	rs9767684	4.42401125923243e-28	0.0053688728884386	2.77256890361333e-27	0.0317214050897389	0.962909722021825	1	1
rs140091914	GPANK1	ENSG00000204438.10_Skin_Not_Sun_Exposed_Suprapubic	PP	1	11	rs4711277	rs733539	2.92877793253525e-27	0.0355429394656964	2.13837999781687e-27	0.0240700876654287	0.940386972868878	1	1
rs140091914	HLA-DQA1	ENSG00000196735.11_Muscle_Skeletal	PP	1	11	rs4711277	rs140091914	5.88075081940369e-26	0.71367367277988	3.93845290407266e-28	0.00421538915558801	0.282110938064529	1	1
rs140091914	HLA-DQB2	ENSG00000232629.8_Artery_Tibial	PP	1	10	rs4711277	rs6905572	6.57900470689651e-27	0.0784323076350241	1.58183501973857e-27	0.0170489777909863	0.904518714573989	1	1
rs140091914	HLA-DRB5	ENSG00000198502.5_Lung	PP	1	11	rs4711277	rs9767684	7.94202697206257e-27	0.0963825153034372	3.73031126253316e-27	0.0435500188479887	0.860067465848576	1	1
rs140091914	HSPA1B	ENSG00000204388.6_Whole_Blood	PP	1	11	rs4711277	rs9767684	7.14620061298611e-26	0.867245594059837	2.31503777497133e-28	0.00254906307404099	0.13020534286612	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Adipose_Subcutaneous	PP	1	11	rs4711277	rs9767684	1.3812979436768e-27	0.0167630972122549	4.57062937471763e-27	0.0536087945979397	0.929628108189805	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Adipose_Visceral_Omentum	PP	1	11	rs4711277	rs9469051	2.10866484288288e-26	0.255902456896589	2.2661059759221e-27	0.0260648477479409	0.718032695355473	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Artery_Tibial	PP	1	11	rs4711277	rs9469051	1.43747440154357e-27	0.0174448410956594	4.25786200016068e-27	0.0498068851800373	0.9327482737243	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Breast_Mammary_Tissue	PP	1	11	rs4711277	rs9767684	5.91155199944864e-27	0.0717411629371427	6.38452135081184e-27	0.0757760388075751	0.852482798255285	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Colon_Transverse	PP	1	11	rs4711277	rs9469051	5.00789966162729e-26	0.607746570834823	9.33182972471007e-28	0.01056149862061	0.381691930544564	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Esophagus_Gastroesophageal_Junction	PP	1	11	rs4711277	rs4947253	2.40192466035812e-26	0.291491757896344	1.80404426103779e-27	0.0205174625464267	0.687990779557227	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	7.20190666800263e-26	0.87400594594357	2.67477330259602e-28	0.00300005207721412	0.122994001979217	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Esophagus_Muscularis	PP	1	11	rs4711277	rs9469051	5.5557923406128e-30	6.74237499035798e-05	3.51678356971069e-27	0.040760489254661	0.959172086995432	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Heart_Left_Ventricle	PP	1	11	rs4711277	rs9469051	1.32201377313468e-28	0.00160436388806946	3.24666299322126e-27	0.0374788820434473	0.960916754068488	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Lung	PP	1	11	rs4711277	rs9767684	6.144222617636e-27	0.0745647971928545	5.13956210163348e-27	0.0606428959452295	0.864792306861917	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Nerve_Tibial	PP	1	11	rs4711277	rs9469051	2.74576719564827e-26	0.333219654988802	1.24176810590425e-27	0.0137637637409008	0.653016581270296	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Skin_Not_Sun_Exposed_Suprapubic	PP	1	11	rs4711277	rs4947253	7.08706192185014e-26	0.860068665772527	2.42912413726247e-28	0.00267341035746205	0.137257923870009	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Skin_Sun_Exposed_Lower_leg	PP	1	11	rs4711277	rs9469051	1.86671249083663e-26	0.226539705604214	1.33056302176436e-27	0.0146297293608599	0.758830565034924	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Thyroid	PP	1	11	rs4711277	rs9767684	2.42712146036679e-30	2.94549580503816e-05	4.03499469002441e-27	0.0470619007547667	0.952908644287185	1	1
rs140091914	LY6G5B	ENSG00000240053.8_Whole_Blood	PP	1	11	rs4711277	rs9469051	2.07626095206353e-26	0.251969999208177	2.00610187331832e-27	0.0228952969301284	0.725134703861693	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Adipose_Subcutaneous	PP	1	11	rs4711277	rs9469051	6.48013611474395e-30	7.86413620156041e-05	2.64552929077881e-27	0.0301659918353393	0.969755366802652	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Adipose_Visceral_Omentum	PP	1	11	rs4711277	rs9767684	1.94747167081882e-27	0.0236340444040269	2.64230436779368e-27	0.030173981737147	0.946191973858826	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Breast_Mammary_Tissue	PP	1	11	rs4711277	rs4711279	3.65865782750479e-30	4.44005850508892e-05	1.51112003835343e-27	0.0163714183404981	0.983584181074446	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Esophagus_Muscularis	PP	1	11	rs4711277	rs4711279	8.59114488826426e-28	0.010426005307964	1.90734706947434e-27	0.0212103747227273	0.968363619969307	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Lung	PP	1	11	rs4711277	rs9767684	5.22655490513515e-29	0.00063428204147438	8.42210919187033e-27	0.100410766916579	0.898954951041939	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Muscle_Skeletal	PP	1	11	rs4711277	rs9767684	9.16594906400526e-28	0.0111235737304803	5.89768724741631e-27	0.0697346200529098	0.919141806216606	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Skin_Not_Sun_Exposed_Suprapubic	PP	1	11	rs4711277	rs9767684	4.8775813289031e-26	0.591931453683634	1.00113455938039e-27	0.0113561015890763	0.396712444727288	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Skin_Sun_Exposed_Lower_leg	PP	1	11	rs4711277	rs9469051	8.58604981563512e-30	0.000104198220512541	4.46385175222533e-27	0.0522769858237089	0.947618815955775	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Thyroid	PP	1	11	rs4711277	rs9469051	4.30551429791113e-33	5.22506784687759e-08	2.93499049757948e-27	0.0336857051648527	0.966314242584472	1	1
rs140091914	LY6G5C	ENSG00000204428.12_Whole_Blood	PP	1	11	rs4711277	rs9469051	1.17628319665948e-31	1.4275087909172e-06	4.07004791569964e-27	0.0474880945422692	0.952510477948936	1	1
rs140091914	LY6G6C	ENSG00000204421.2_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	9.53310337509722e-41	1.15691433077686e-15	3.65786241540852e-27	0.0424758838901649	0.957524116109832	1	1
rs140091914	LY6G6D	ENSG00000244355.7_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	4.48382744643912e-26	0.544146436413015	8.24596452978272e-28	0.00911362290586215	0.446739940681124	1	1
rs140091914	LY6G6F	ENSG00000204424.9_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	4.45316298609917e-26	0.540425071793652	1.12191786584765e-27	0.0127216168021357	0.446853311404214	1	1
rs140091914	MPIG6B	ENSG00000204420.8_Esophagus_Mucosa	PP	1	11	rs4711277	rs9469051	8.81520369365096e-31	1.06979176461494e-05	3.64192816351492e-27	0.0422821435846288	0.957707158497731	1	1
