SNP	Gene	GeneID-Tissue	Trait	PPID	PP
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	PP.H1.abf	0.0054439970819835
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	PP.H2.abf	6.88890875124283e-87
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	PP.H3.abf	0.0227883917510997
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	PP.H4.abf	0.971767611166915
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	PP.H0.abf	1.36631788024139e-113
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	PP.H1.abf	0.0102701396866552
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	PP.H2.abf	3.26100677927708e-114
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	PP.H3.abf	0.00146291924529645
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	PP.H4.abf	0.988266941068064
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	PP.H0.abf	3.96568428002375e-112
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	PP.H1.abf	0.301809723602909
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	PP.H2.abf	3.83223358816368e-114
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	PP.H3.abf	0.00222056443032895
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	PP.H4.abf	0.695969711966764
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	PP.H0.abf	4.74436660931011e-112
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	PP.H1.abf	0.359133485259914
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	PP.H2.abf	9.77719724737312e-115
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	PP.H3.abf	9.93356022602771e-05
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	PP.H4.abf	0.640767179137837
rs11222084	ZBTB44-DT	ENSG00000175773.12_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H0.abf	1.26714548414196e-111
rs11222084	ZBTB44-DT	ENSG00000175773.12_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H1.abf	0.947031183091028
rs11222084	ZBTB44-DT	ENSG00000175773.12_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H2.abf	1.41166860144416e-115
rs11222084	ZBTB44-DT	ENSG00000175773.12_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H3.abf	5.25881669638498e-05
rs11222084	ZBTB44-DT	ENSG00000175773.12_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H4.abf	0.0529162287420147
rs11690961	EPAS1	ENSG00000116016.13_Artery_Aorta	PP	PP.H0.abf	1.8353421099672e-15
rs11690961	EPAS1	ENSG00000116016.13_Artery_Aorta	PP	PP.H1.abf	0.145941534266998
rs11690961	EPAS1	ENSG00000116016.13_Artery_Aorta	PP	PP.H2.abf	1.07405302706086e-17
rs11690961	EPAS1	ENSG00000116016.13_Artery_Aorta	PP	PP.H3.abf	0
rs11690961	EPAS1	ENSG00000116016.13_Artery_Aorta	PP	PP.H4.abf	0.854058465732999
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	PP.H0.abf	7.17505165498939e-28
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	PP.H1.abf	0.016422987125066
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	PP.H2.abf	2.76481732037244e-28
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	PP.H3.abf	0.00535016790938603
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	PP.H4.abf	0.978226844965546
rs1250259	ATIC	ENSG00000138363.14_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H0.abf	2.16522142401191e-27
rs1250259	ATIC	ENSG00000138363.14_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H1.abf	0.0493702749701311
rs1250259	ATIC	ENSG00000138363.14_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H2.abf	6.94039326965084e-28
rs1250259	ATIC	ENSG00000138363.14_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H3.abf	0.0148893905423639
rs1250259	ATIC	ENSG00000138363.14_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H4.abf	0.935740334487504
rs12628032	ARVCF	ENSG00000099889.13_Artery_Aorta	PP	PP.H0.abf	6.15963522318337e-37
rs12628032	ARVCF	ENSG00000099889.13_Artery_Aorta	PP	PP.H1.abf	2.48621186745496e-16
rs12628032	ARVCF	ENSG00000099889.13_Artery_Aorta	PP	PP.H2.abf	4.51245034887088e-23
rs12628032	ARVCF	ENSG00000099889.13_Artery_Aorta	PP	PP.H3.abf	0.0172308217279535
rs12628032	ARVCF	ENSG00000099889.13_Artery_Aorta	PP	PP.H4.abf	0.98276917827205
rs12628032	ARVCF	ENSG00000099889.13_Artery_Coronary	PP	PP.H0.abf	1.40993530785584e-22
rs12628032	ARVCF	ENSG00000099889.13_Artery_Coronary	PP	PP.H1.abf	0.056993293245648
rs12628032	ARVCF	ENSG00000099889.13_Artery_Coronary	PP	PP.H2.abf	5.34677748228588e-23
rs12628032	ARVCF	ENSG00000099889.13_Artery_Coronary	PP	PP.H3.abf	0.0206907648334354
rs12628032	ARVCF	ENSG00000099889.13_Artery_Coronary	PP	PP.H4.abf	0.922315941920915
rs12628032	ARVCF	ENSG00000099889.13_Artery_Tibial	PP	PP.H0.abf	1.90841396995601e-31
rs12628032	ARVCF	ENSG00000099889.13_Artery_Tibial	PP	PP.H1.abf	7.72488871316275e-11
rs12628032	ARVCF	ENSG00000099889.13_Artery_Tibial	PP	PP.H2.abf	4.70231514304305e-23
rs12628032	ARVCF	ENSG00000099889.13_Artery_Tibial	PP	PP.H3.abf	0.0180521095762652
rs12628032	ARVCF	ENSG00000099889.13_Artery_Tibial	PP	PP.H4.abf	0.98194789034648
rs12628032	ARVCF	ENSG00000099889.13_Brain_Cerebellum	PP	PP.H0.abf	2.37663000695272e-23
rs12628032	ARVCF	ENSG00000099889.13_Brain_Cerebellum	PP	PP.H1.abf	0.00956617821054514
rs12628032	ARVCF	ENSG00000099889.13_Brain_Cerebellum	PP	PP.H2.abf	6.44250042513876e-23
rs12628032	ARVCF	ENSG00000099889.13_Brain_Cerebellum	PP	PP.H3.abf	0.0249662538224447
rs12628032	ARVCF	ENSG00000099889.13_Brain_Cerebellum	PP	PP.H4.abf	0.965467567967012
rs12628032	ARVCF	ENSG00000099889.13_Colon_Sigmoid	PP	PP.H0.abf	3.1428449529461e-22
rs12628032	ARVCF	ENSG00000099889.13_Colon_Sigmoid	PP	PP.H1.abf	0.128429701720382
rs12628032	ARVCF	ENSG00000099889.13_Colon_Sigmoid	PP	PP.H2.abf	4.76047362976706e-22
rs12628032	ARVCF	ENSG00000099889.13_Colon_Sigmoid	PP	PP.H3.abf	0.193855014606683
rs12628032	ARVCF	ENSG00000099889.13_Colon_Sigmoid	PP	PP.H4.abf	0.677715283672936
rs12628032	ARVCF	ENSG00000099889.13_Colon_Transverse	PP	PP.H0.abf	9.43666313712822e-25
rs12628032	ARVCF	ENSG00000099889.13_Colon_Transverse	PP	PP.H1.abf	0.000383814973570113
rs12628032	ARVCF	ENSG00000099889.13_Colon_Transverse	PP	PP.H2.abf	1.67647510511185e-22
rs12628032	ARVCF	ENSG00000099889.13_Colon_Transverse	PP	PP.H3.abf	0.0672544792155113
rs12628032	ARVCF	ENSG00000099889.13_Colon_Transverse	PP	PP.H4.abf	0.932361705810916
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Gastroesophageal_Junction	PP	PP.H0.abf	2.80933572075805e-23
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Gastroesophageal_Junction	PP	PP.H1.abf	0.011463422921369
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Gastroesophageal_Junction	PP	PP.H2.abf	2.05570405343994e-21
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Gastroesophageal_Junction	PP	PP.H3.abf	0.838674946370386
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Gastroesophageal_Junction	PP	PP.H4.abf	0.149861630708244
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Mucosa	PP	PP.H0.abf	6.79935276289528e-28
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Mucosa	PP	PP.H1.abf	2.74761524429245e-07
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Mucosa	PP	PP.H2.abf	1.4020579088471e-22
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Mucosa	PP	PP.H3.abf	0.0557128070445071
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Mucosa	PP	PP.H4.abf	0.944286918193968
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	PP.H0.abf	1.32398264096956e-27
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	PP.H1.abf	5.3366240706089e-07
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	PP.H2.abf	2.47439770821813e-21
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	PP.H3.abf	0.997361675102332
rs12628032	ARVCF	ENSG00000099889.13_Esophagus_Muscularis	PP	PP.H4.abf	0.00263779123525998
rs12628032	ARVCF	ENSG00000099889.13_Lung	PP	PP.H0.abf	2.50213449722902e-23
rs12628032	ARVCF	ENSG00000099889.13_Lung	PP	PP.H1.abf	0.0102436336349079
rs12628032	ARVCF	ENSG00000099889.13_Lung	PP	PP.H2.abf	9.1653451394676e-23
rs12628032	ARVCF	ENSG00000099889.13_Lung	PP	PP.H3.abf	0.0365693513817995
rs12628032	ARVCF	ENSG00000099889.13_Lung	PP	PP.H4.abf	0.953187014983292
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	PP.H0.abf	8.82250064806921e-37
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	PP.H1.abf	3.73517555553745e-16
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	PP.H2.abf	2.89557222680947e-23
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	PP.H3.abf	0.0112702328924631
rs12628032	ARVCF	ENSG00000099889.13_Nerve_Tibial	PP	PP.H4.abf	0.98872976710753
rs12628032	ARVCF	ENSG00000099889.13_Pancreas	PP	PP.H0.abf	1.69172330971768e-23
rs12628032	ARVCF	ENSG00000099889.13_Pancreas	PP	PP.H1.abf	0.00699015956752978
rs12628032	ARVCF	ENSG00000099889.13_Pancreas	PP	PP.H2.abf	2.87633216898368e-23
rs12628032	ARVCF	ENSG00000099889.13_Pancreas	PP	PP.H3.abf	0.0109028275475844
rs12628032	ARVCF	ENSG00000099889.13_Pancreas	PP	PP.H4.abf	0.982107012884889
rs12628032	ARVCF	ENSG00000099889.13_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H0.abf	3.02004720632668e-23
rs12628032	ARVCF	ENSG00000099889.13_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H1.abf	0.0124712990958255
rs12628032	ARVCF	ENSG00000099889.13_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H2.abf	1.44486635935387e-21
rs12628032	ARVCF	ENSG00000099889.13_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H3.abf	0.596266978693702
rs12628032	ARVCF	ENSG00000099889.13_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H4.abf	0.391261722210474
rs12628032	ARVCF	ENSG00000099889.13_Spleen	PP	PP.H0.abf	1.0244016042684e-21
rs12628032	ARVCF	ENSG00000099889.13_Spleen	PP	PP.H1.abf	0.420111593639037
rs12628032	ARVCF	ENSG00000099889.13_Spleen	PP	PP.H2.abf	2.62634295896951e-22
rs12628032	ARVCF	ENSG00000099889.13_Spleen	PP	PP.H3.abf	0.107234823771797
rs12628032	ARVCF	ENSG00000099889.13_Spleen	PP	PP.H4.abf	0.472653582589165
rs12628032	ARVCF	ENSG00000099889.13_Stomach	PP	PP.H0.abf	1.24116606323851e-24
rs12628032	ARVCF	ENSG00000099889.13_Stomach	PP	PP.H1.abf	0.000500537470255833
rs12628032	ARVCF	ENSG00000099889.13_Stomach	PP	PP.H2.abf	5.73021875495961e-23
rs12628032	ARVCF	ENSG00000099889.13_Stomach	PP	PP.H3.abf	0.0221314591275638
rs12628032	ARVCF	ENSG00000099889.13_Stomach	PP	PP.H4.abf	0.97736800340218
rs12628032	ARVCF	ENSG00000099889.13_Thyroid	PP	PP.H0.abf	1.0841206093785e-43
rs12628032	ARVCF	ENSG00000099889.13_Thyroid	PP	PP.H1.abf	4.40486217188808e-23
rs12628032	ARVCF	ENSG00000099889.13_Thyroid	PP	PP.H2.abf	4.98456878259443e-23
rs12628032	ARVCF	ENSG00000099889.13_Thyroid	PP	PP.H3.abf	0.0192719433561904
rs12628032	ARVCF	ENSG00000099889.13_Thyroid	PP	PP.H4.abf	0.980728056643807
rs12628032	COMT	ENSG00000093010.13_Esophagus_Mucosa	PP	PP.H0.abf	1.08613864123048e-24
rs12628032	COMT	ENSG00000093010.13_Esophagus_Mucosa	PP	PP.H1.abf	0.00043890811259941
rs12628032	COMT	ENSG00000093010.13_Esophagus_Mucosa	PP	PP.H2.abf	7.26478499336854e-23
rs12628032	COMT	ENSG00000093010.13_Esophagus_Mucosa	PP	PP.H3.abf	0.028385786585563
rs12628032	COMT	ENSG00000093010.13_Esophagus_Mucosa	PP	PP.H4.abf	0.971175305301836
rs12628032	TANGO2	ENSG00000183597.15_Brain_Cerebellar_Hemisphere	PP	PP.H0.abf	8.10871606492566e-23
rs12628032	TANGO2	ENSG00000183597.15_Brain_Cerebellar_Hemisphere	PP	PP.H1.abf	0.0340823289143067
rs12628032	TANGO2	ENSG00000183597.15_Brain_Cerebellar_Hemisphere	PP	PP.H2.abf	7.00814012900091e-23
rs12628032	TANGO2	ENSG00000183597.15_Brain_Cerebellar_Hemisphere	PP	PP.H3.abf	0.0285190202250356
rs12628032	TANGO2	ENSG00000183597.15_Brain_Cerebellar_Hemisphere	PP	PP.H4.abf	0.937398650860655
rs1322639	LINC01615	ENSG00000223485.2_Adipose_Subcutaneous	PP	PP.H0.abf	9.94140332740558e-28
rs1322639	LINC01615	ENSG00000223485.2_Adipose_Subcutaneous	PP	PP.H1.abf	0.042012510499849
rs1322639	LINC01615	ENSG00000223485.2_Adipose_Subcutaneous	PP	PP.H2.abf	4.93747932878465e-29
rs1322639	LINC01615	ENSG00000223485.2_Adipose_Subcutaneous	PP	PP.H3.abf	0.0011297279579156
rs1322639	LINC01615	ENSG00000223485.2_Adipose_Subcutaneous	PP	PP.H4.abf	0.956857761542239
rs1322639	LINC01615	ENSG00000223485.2_Artery_Aorta	PP	PP.H0.abf	7.07510584618222e-28
rs1322639	LINC01615	ENSG00000223485.2_Artery_Aorta	PP	PP.H1.abf	0.0296316572057557
rs1322639	LINC01615	ENSG00000223485.2_Artery_Aorta	PP	PP.H2.abf	3.96280095728685e-29
rs1322639	LINC01615	ENSG00000223485.2_Artery_Aorta	PP	PP.H3.abf	0.000690005094518147
rs1322639	LINC01615	ENSG00000223485.2_Artery_Aorta	PP	PP.H4.abf	0.969678337699723
rs1322639	LINC01615	ENSG00000223485.2_Artery_Tibial	PP	PP.H0.abf	3.71628865598786e-30
rs1322639	LINC01615	ENSG00000223485.2_Artery_Tibial	PP	PP.H1.abf	0.000154288372042888
rs1322639	LINC01615	ENSG00000223485.2_Artery_Tibial	PP	PP.H2.abf	2.99800455016566e-29
rs1322639	LINC01615	ENSG00000223485.2_Artery_Tibial	PP	PP.H3.abf	0.000245074586657855
rs1322639	LINC01615	ENSG00000223485.2_Artery_Tibial	PP	PP.H4.abf	0.9996006370413
rs1322639	LINC01615	ENSG00000223485.2_Esophagus_Mucosa	PP	PP.H0.abf	1.29287574619509e-27
rs1322639	LINC01615	ENSG00000223485.2_Esophagus_Mucosa	PP	PP.H1.abf	0.0529261678079625
rs1322639	LINC01615	ENSG00000223485.2_Esophagus_Mucosa	PP	PP.H2.abf	3.97154264630098e-29
rs1322639	LINC01615	ENSG00000223485.2_Esophagus_Mucosa	PP	PP.H3.abf	0.000679427203725551
rs1322639	LINC01615	ENSG00000223485.2_Esophagus_Mucosa	PP	PP.H4.abf	0.946394404988311
rs1322639	LINC01615	ENSG00000223485.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H0.abf	3.59955587263006e-28
rs1322639	LINC01615	ENSG00000223485.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H1.abf	0.0145100871792486
rs1322639	LINC01615	ENSG00000223485.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H2.abf	4.18849441377621e-29
rs1322639	LINC01615	ENSG00000223485.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H3.abf	0.000703628098724751
rs1322639	LINC01615	ENSG00000223485.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H4.abf	0.984786284722027
rs1322639	LINC01615	ENSG00000223485.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H0.abf	1.53965846599599e-27
rs1322639	LINC01615	ENSG00000223485.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H1.abf	0.0633518201012774
rs1322639	LINC01615	ENSG00000223485.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H2.abf	5.6308808388633e-29
rs1322639	LINC01615	ENSG00000223485.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H3.abf	0.00138165347755279
rs1322639	LINC01615	ENSG00000223485.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H4.abf	0.935266526421173
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Subcutaneous	PP	PP.H0.abf	4.85740256996611e-27
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Subcutaneous	PP	PP.H1.abf	0.205274516838209
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Subcutaneous	PP	PP.H2.abf	5.278375033925e-29
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Subcutaneous	PP	PP.H3.abf	0.00143736060208857
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Subcutaneous	PP	PP.H4.abf	0.793288122559702
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Visceral_Omentum	PP	PP.H0.abf	1.95494884556221e-28
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Visceral_Omentum	PP	PP.H1.abf	0.008005654493893
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Visceral_Omentum	PP	PP.H2.abf	7.20751202570085e-29
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Visceral_Omentum	PP	PP.H3.abf	0.00196149455956973
rs1322639	LINC02544	ENSG00000261039.2_Adipose_Visceral_Omentum	PP	PP.H4.abf	0.990032850946534
rs1322639	LINC02544	ENSG00000261039.2_Artery_Aorta	PP	PP.H0.abf	4.78484546347942e-32
rs1322639	LINC02544	ENSG00000261039.2_Artery_Aorta	PP	PP.H1.abf	2.0039686138808e-06
rs1322639	LINC02544	ENSG00000261039.2_Artery_Aorta	PP	PP.H2.abf	3.62736234814947e-29
rs1322639	LINC02544	ENSG00000261039.2_Artery_Aorta	PP	PP.H3.abf	0.000519718183635992
rs1322639	LINC02544	ENSG00000261039.2_Artery_Aorta	PP	PP.H4.abf	0.999478277847749
rs1322639	LINC02544	ENSG00000261039.2_Artery_Coronary	PP	PP.H0.abf	8.63970177212101e-27
rs1322639	LINC02544	ENSG00000261039.2_Artery_Coronary	PP	PP.H1.abf	0.353095774965579
rs1322639	LINC02544	ENSG00000261039.2_Artery_Coronary	PP	PP.H2.abf	2.81116157310582e-29
rs1322639	LINC02544	ENSG00000261039.2_Artery_Coronary	PP	PP.H3.abf	0.000502491249317916
rs1322639	LINC02544	ENSG00000261039.2_Artery_Coronary	PP	PP.H4.abf	0.646401733785102
rs1322639	LINC02544	ENSG00000261039.2_Artery_Tibial	PP	PP.H0.abf	1.8531096334847e-35
rs1322639	LINC02544	ENSG00000261039.2_Artery_Tibial	PP	PP.H1.abf	7.69351616717583e-10
rs1322639	LINC02544	ENSG00000261039.2_Artery_Tibial	PP	PP.H2.abf	4.49537886369953e-29
rs1322639	LINC02544	ENSG00000261039.2_Artery_Tibial	PP	PP.H3.abf	0.000867204163119676
rs1322639	LINC02544	ENSG00000261039.2_Artery_Tibial	PP	PP.H4.abf	0.99913279506753
rs1322639	LINC02544	ENSG00000261039.2_Breast_Mammary_Tissue	PP	PP.H0.abf	4.37820931030847e-28
rs1322639	LINC02544	ENSG00000261039.2_Breast_Mammary_Tissue	PP	PP.H1.abf	0.0176274042281393
rs1322639	LINC02544	ENSG00000261039.2_Breast_Mammary_Tissue	PP	PP.H2.abf	3.93532271109883e-29
rs1322639	LINC02544	ENSG00000261039.2_Breast_Mammary_Tissue	PP	PP.H3.abf	0.000602656918798222
rs1322639	LINC02544	ENSG00000261039.2_Breast_Mammary_Tissue	PP	PP.H4.abf	0.981769938853065
rs1322639	LINC02544	ENSG00000261039.2_Heart_Atrial_Appendage	PP	PP.H0.abf	5.47299232044766e-30
rs1322639	LINC02544	ENSG00000261039.2_Heart_Atrial_Appendage	PP	PP.H1.abf	0.000228117494793059
rs1322639	LINC02544	ENSG00000261039.2_Heart_Atrial_Appendage	PP	PP.H2.abf	3.2449830032597e-29
rs1322639	LINC02544	ENSG00000261039.2_Heart_Atrial_Appendage	PP	PP.H3.abf	0.000353108966330338
rs1322639	LINC02544	ENSG00000261039.2_Heart_Atrial_Appendage	PP	PP.H4.abf	0.999418773538878
rs1322639	LINC02544	ENSG00000261039.2_Lung	PP	PP.H0.abf	2.59950024862442e-28
rs1322639	LINC02544	ENSG00000261039.2_Lung	PP	PP.H1.abf	0.0104157420591695
rs1322639	LINC02544	ENSG00000261039.2_Lung	PP	PP.H2.abf	4.19992739942502e-29
rs1322639	LINC02544	ENSG00000261039.2_Lung	PP	PP.H3.abf	0.000693947014548009
rs1322639	LINC02544	ENSG00000261039.2_Lung	PP	PP.H4.abf	0.988890310926285
rs1322639	LINC02544	ENSG00000261039.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H0.abf	1.33798055210987e-28
rs1322639	LINC02544	ENSG00000261039.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H1.abf	0.00539350273817758
rs1322639	LINC02544	ENSG00000261039.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H2.abf	3.52733641155958e-29
rs1322639	LINC02544	ENSG00000261039.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H3.abf	0.000427717716949045
rs1322639	LINC02544	ENSG00000261039.2_Skin_Not_Sun_Exposed_Suprapubic	PP	PP.H4.abf	0.994178779544875
rs1322639	LINC02544	ENSG00000261039.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H0.abf	8.84721156491656e-30
rs1322639	LINC02544	ENSG00000261039.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H1.abf	0.000364033302084278
rs1322639	LINC02544	ENSG00000261039.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H2.abf	4.39015974905783e-29
rs1322639	LINC02544	ENSG00000261039.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H3.abf	0.000807576190642919
rs1322639	LINC02544	ENSG00000261039.2_Skin_Sun_Exposed_Lower_leg	PP	PP.H4.abf	0.998828390507273
rs1322639	LINC02544	ENSG00000261039.2_Thyroid	PP	PP.H0.abf	2.89647425250826e-33
