statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
1117__WILDTYPE_SNP_INDIV	3.71064129671822	0.0540666142601553	0.222335631392018	1	26	5	4	0.627087222719211
2405__WILDTYPE_SNP_INDIV	0.786817401753069	0.375064211528701	0.636650716422247	1	25	5	4	0.269317664365084
189__WILDTYPE_SNP_INDIV	0.130055318184077	0.718374690027233	0.867945653937736	1	26	5	4	0.0951300455497614
2619__WILDTYPE_SNP_INDIV	0.121384747542379	0.727537445151432	0.872426836402229	1	24	5	4	-0.136982178094784
236__WILDTYPE_SNP_INDIV	0.861378711178077	0.353353156507921	0.617616110888375	1	26	5	4	0.198648067360814
584__WILDTYPE_SNP_INDIV	5.24161299103389	0.0220528181790344	0.133457092611836	1	26	5	4	0.33474663724872
602__WILDTYPE_SNP_INDIV	9.78454216378759	0.00175985042919567	0.0282458936779599	1	25	5	4	0.938727725805806
672__WILDTYPE_SNP_INDIV	1.48372727934316	0.223192264227655	0.495879479642833	1	26	5	4	0.396690234099781
174__WILDTYPE_SNP_INDIV	8.22779724489328	0.00412535704165834	0.0491255296350331	1	26	5	4	0.575293871307021
1661__WILDTYPE_SNP_INDIV	8.10630177637086	0.00441116309020357	0.0515065004133502	1	23	5	4	0.925758586626152
448__WILDTYPE_SNP_INDIV	4.34468615107289	0.0371246090573361	0.180611893970258	1	26	5	4	-0.670685890715246
44__WILDTYPE_SNP_INDIV	1.39225342652571	0.238024918210049	0.510054190361586	1	26	5	4	-0.223576772157352
883__WILDTYPE_SNP_INDIV	1.02234706528282	0.311962924902477	0.584900516855837	1	15	5	4	-0.748116406137739
3706__WILDTYPE_SNP_INDIV	4.34370257077671	0.0371460594600219	0.180611893970258	1	19	5	4	-1.28034117552667
36__WILDTYPE_SNP_INDIV	1.79165670096108	0.180724440675913	0.439582661329805	1	24	5	4	-0.549808161592333
1409__WILDTYPE_SNP_INDIV	0.0331040588375799	0.855625725450524	0.932372437278762	1	26	5	4	0.0624387903837506
1871__WILDTYPE_SNP_INDIV	0.832184268127548	0.361641684633997	0.625443051453161	1	26	5	4	0.182121826989354
3__WILDTYPE_SNP_INDIV	0.480786330240903	0.488066357084481	0.728420847585215	1	10	5	4	0.601883594829364
4531__WILDTYPE_SNP_INDIV	0.0323272014857139	0.857311414302437	0.933568749089493	1	26	5	4	-0.0462171667019809
991__WILDTYPE_SNP_INDIV	1.62849193605643	0.201911761918516	0.469310121852308	1	26	5	4	0.335087218417757
3870__WILDTYPE_SNP_INDIV	6.14553721715771	0.0131744137967364	0.0995653729299809	1	16	5	4	-1.94388563705234
191__WILDTYPE_SNP_INDIV	1.75681263482466	0.185022576352338	0.444183763839355	1	25	5	4	0.552694731007639
2993__WILDTYPE_SNP_INDIV	2.57190559615901	0.108776627069699	0.334842227907304	1	22	5	4	-1.00327354121082
4011__WILDTYPE_SNP_INDIV	0.0387220620987136	0.844000311863028	0.927260781802847	1	23	5	4	-0.11019058569142
4333__WILDTYPE_SNP_INDIV	26.1750906697157	3.11818981216954e-07	3.64980314843942e-05	1	26	5	4	0.694211290150536
4505__WILDTYPE_SNP_INDIV	0.280245375248114	0.596540434213809	0.79981553028828	1	26	5	4	-0.147793787239612
1512__WILDTYPE_SNP_INDIV	0.0439946291751312	0.833863605343312	0.923116826307394	1	23	5	4	-0.0888991500038245
3133__WILDTYPE_SNP_INDIV	0.00340150711474507	0.953491792668873	0.979123980774202	1	23	5	4	-0.0205452189811072
1800__WILDTYPE_SNP_INDIV	0.122922229039261	0.725886456569091	0.87197224157073	1	18	5	4	0.226035375224547
2942__WILDTYPE_SNP_INDIV	20.2054163536795	6.95557160231505e-06	0.00049853672665974	1	26	5	4	0.962869123259149
1422__WILDTYPE_SNP_INDIV	8.26000712131804	0.00405279689782797	0.0487797796953639	1	26	5	4	-0.928608031633373
2684__WILDTYPE_SNP_INDIV	3.82910711678846	0.0503697586206513	0.214104935004877	1	26	5	4	-0.699387043720117
1930__WILDTYPE_SNP_INDIV	0.17820693745557	0.672918719935281	0.841455115588124	1	20	5	4	-0.19874682372883
2733__WILDTYPE_SNP_INDIV	3.98156198016807	0.0460008870288376	0.203839572346622	1	17	5	4	-1.46331465874196
2243__WILDTYPE_SNP_INDIV	0.824101570566199	0.363983685762881	0.627590036150243	1	26	5	4	0.0954178644817957
294__WILDTYPE_SNP_INDIV	0.760298803313617	0.383235029097327	0.644183854514211	1	26	5	4	0.151046763870518
1577__WILDTYPE_SNP_INDIV	0.446851000321374	0.503834169936377	0.741512050227274	1	12	5	4	0.545953465464089
4221__WILDTYPE_SNP_INDIV	0.106253338755778	0.744450653223821	0.878455087664598	1	26	5	4	0.0353605470079382
2465__WILDTYPE_SNP_INDIV	0.70292188949378	0.40180363533904	0.659458155264041	1	16	5	4	-0.670936918925681
1392__WILDTYPE_SNP_INDIV	2.89994414431158	0.0885826220231998	0.300642152114099	1	23	5	4	0.62201135591675
4347__WILDTYPE_SNP_INDIV	0.657784211833132	0.417343291373594	0.674517777000394	1	26	5	4	-0.1734668755236
4234__WILDTYPE_SNP_INDIV	14.3516537428404	0.000151646435886528	0.00563574366910433	1	26	5	4	0.467048472360093
2850__WILDTYPE_SNP_INDIV	11.2998392556901	0.000775138015288095	0.0168320693908035	1	24	5	4	-2.03086913291611
278__WILDTYPE_SNP_INDIV	2.49401406674178	0.114279922929168	0.342129483690905	1	26	5	4	-0.307038736073907
45__WILDTYPE_SNP_INDIV	2.86816598539735	0.0903477728014434	0.304479607917224	1	26	5	4	0.303831680324495
4044__WILDTYPE_SNP_INDIV	2.0393057954916	0.153279584406398	0.402841580266322	1	26	5	4	0.332266694588247
1686__WILDTYPE_SNP_INDIV	0.777239378173135	0.37798676800931	0.639394036915263	1	24	5	4	0.428449840599436
3181__WILDTYPE_SNP_INDIV	0.0641859889365151	0.799998117806561	0.905683172293863	1	25	5	4	0.0823143378256906
653__WILDTYPE_SNP_INDIV	5.86898020808189	0.0154099762629649	0.108289229397234	1	23	5	4	-1.44038813763618
3801__WILDTYPE_SNP_INDIV	6.58408488761188	0.0102894497930352	0.0847181007710542	1	26	5	4	0.672975208636669
565__WILDTYPE_SNP_INDIV	1.53221391092893	0.215780480064325	0.488227498269069	1	26	5	4	-0.318311306049515
1945__WILDTYPE_SNP_INDIV	1.25074534490886	0.263410168188949	0.536319642400835	1	24	5	4	-0.429955710345064
1456__WILDTYPE_SNP_INDIV	7.171136934689	0.0074085807228428	0.0702643851559735	1	26	5	4	-0.762809867644584
1845__WILDTYPE_SNP_INDIV	0.104145272000551	0.746910738164349	0.879829315770915	1	26	5	4	0.076456957797369
4601__WILDTYPE_SNP_INDIV	5.27814578581911	0.0215947335053559	0.131690567233958	1	26	5	4	0.460736814426338
1537__WILDTYPE_SNP_INDIV	0.45645842607837	0.499283800448245	0.737986147062625	1	26	5	4	-0.177788854671992
1485__WILDTYPE_SNP_INDIV	4.43517809978812	0.035205546447852	0.174356467908402	1	26	5	4	-0.698895115380189
1633__WILDTYPE_SNP_INDIV	0.00106224719820602	0.973999842664028	0.987419348730076	1	26	5	4	0.00783832489731426
4599__WILDTYPE_SNP_INDIV	0.329846646118654	0.565749402347703	0.780854582072657	1	24	5	4	-0.28467962124649
4670__WILDTYPE_SNP_INDIV	14.7032575432404	0.000125828829793654	0.00503210461816457	1	26	5	4	-0.682557036681564
3986__WILDTYPE_SNP_INDIV	0.0995879930364936	0.752324619766818	0.88355839385655	1	22	5	4	-0.140833726204767
3978__WILDTYPE_SNP_INDIV	0.130143666760659	0.718283126801883	0.867945653937736	1	25	5	4	0.112382938275695
735__WILDTYPE_SNP_INDIV	0.159768137615401	0.689370076535049	0.850802760541739	1	26	5	4	-0.158128098086457
31__WILDTYPE_SNP_INDIV	0.59641591152581	0.439948794934334	0.693598642210864	1	26	5	4	-0.266911608363527
2630__WILDTYPE_SNP_INDIV	1.14678911354696	0.284222310662995	0.557182544473738	1	13	5	4	1.18764486529836
222__WILDTYPE_SNP_INDIV	0.314534537001236	0.574910851207594	0.785591450724727	1	26	5	4	0.162133334712433
3128__WILDTYPE_SNP_INDIV	1.92625902875238	0.165168307701702	0.418327709715225	1	26	5	4	-0.556646171085981
1379__WILDTYPE_SNP_INDIV	3.53905374096848	0.0599396472407916	0.238713997600464	1	26	5	4	0.454235011005616
3973__WILDTYPE_SNP_INDIV	1.07011416033674	0.300919661113861	0.574314403870068	1	26	5	4	0.323014024394831
2295__WILDTYPE_SNP_INDIV	2.60230745511899	0.106708252003224	0.332892176916836	1	23	5	4	0.609052914036918
3453__WILDTYPE_SNP_INDIV	0.911476810697422	0.339722880819811	0.60674734092083	1	26	5	4	0.173646622439817
3058__WILDTYPE_SNP_INDIV	2.11277448777491	0.146074268016442	0.39228338679961	1	24	5	4	0.645807283498806
4212__WILDTYPE_SNP_INDIV	0.0946258516833041	0.758376710842766	0.885942024180729	1	15	5	4	0.296196427216268
3521__WILDTYPE_SNP_INDIV	2.01991105654935	0.155248234915319	0.405079767697303	1	17	5	4	-0.980636777525408
4563__WILDTYPE_SNP_INDIV	0.913276975270946	0.339246433254193	0.606287758388498	1	26	5	4	-0.208012092619696
3360__WILDTYPE_SNP_INDIV	0.119837479974876	0.729210822467939	0.872868968427679	1	26	5	4	0.118146656991465
3419__WILDTYPE_SNP_INDIV	5.69872286561554	0.0169772619869562	0.115238868847812	1	26	5	4	0.829947514418369
3747__WILDTYPE_SNP_INDIV	0.0124039079543081	0.911320702055842	0.960348715231881	1	21	5	4	-0.0555425914167868
806__WILDTYPE_SNP_INDIV	0.190618701556389	0.662402175746571	0.838402325684427	1	16	5	4	-0.220810387994976
3464__WILDTYPE_SNP_INDIV	0.407004128218432	0.523494021520421	0.753721328511602	1	26	5	4	0.0834372417962262
3555__WILDTYPE_SNP_INDIV	2.06458359080852	0.15075610321397	0.399237105493434	1	26	5	4	0.268181824531332
1501__WILDTYPE_SNP_INDIV	1.66578401596553	0.196824183659947	0.462334325433538	1	23	5	4	0.462329221842995
553__WILDTYPE_SNP_INDIV	2.00642801899556	0.156633732178844	0.40772268526886	1	19	5	4	-1.09751932758135
3323__WILDTYPE_SNP_INDIV	2.2481067401047	0.133777988007942	0.373534213949958	1	12	5	4	1.11927383459599
2961__WILDTYPE_SNP_INDIV	4.62566211535341	0.0314971023994217	0.16424273326674	1	26	5	4	0.53104109426829
3702__WILDTYPE_SNP_INDIV	1.1019072478598	0.293847923846309	0.56839024044274	1	25	5	4	0.269457705347575
3155__WILDTYPE_SNP_INDIV	4.15172064378839	0.04159223909172	0.192996316352556	1	26	5	4	0.593316145060884
4327__WILDTYPE_SNP_INDIV	0.852011602453786	0.35598388741807	0.620321959229962	1	26	5	4	0.205169754060719
591__WILDTYPE_SNP_INDIV	0.049013387415016	0.824789032515539	0.919006864880908	1	26	5	4	0.0378937905549933
2327__WILDTYPE_SNP_INDIV	1.4317968368623	0.231471417497352	0.506997413313462	1	26	5	4	0.292671063093604
4487__WILDTYPE_SNP_INDIV	0.93408343510032	0.333804090153515	0.603587599062148	1	25	5	4	0.383272585867793
4336__WILDTYPE_SNP_INDIV	4.91863430622084	0.0265685110989812	0.148431064917358	1	17	5	4	-1.31321993465836
671__WILDTYPE_SNP_INDIV	1.04882845425914	0.305777058704914	0.579322583784003	1	21	5	4	0.509091458140015
2406__WILDTYPE_SNP_INDIV	0.112764080001398	0.737018950296766	0.875411527767487	1	26	5	4	-0.0901649645326727
1242__WILDTYPE_SNP_INDIV	0.388864966392248	0.532896627681857	0.759915026061583	1	26	5	4	0.127488139675962
2627__WILDTYPE_SNP_INDIV	0.486320446532773	0.485573276385309	0.726165831527921	1	25	5	4	-0.285907150921894
3631__WILDTYPE_SNP_INDIV	1.27289092286856	0.25922504455558	0.531632901206081	1	26	5	4	-0.274472861520606
3856__WILDTYPE_SNP_INDIV	1.28325602642383	0.257294508972095	0.529483854441289	1	22	5	4	0.449336107470778
1535__WILDTYPE_SNP_INDIV	4.67799631791468	0.0305513632850017	0.161551925734032	1	25	5	4	-1.34419050354059
3619__WILDTYPE_SNP_INDIV	1.57118080331793	0.210035615291285	0.480210060877978	1	25	5	4	0.390945439688665
3124__WILDTYPE_SNP_INDIV	0.161468481082466	0.687808105155101	0.849504595911269	1	26	5	4	0.0543506420183168
2903__WILDTYPE_SNP_INDIV	1.09948899046572	0.294378276881108	0.568728402074251	1	26	5	4	-0.299447415949904
3863__WILDTYPE_SNP_INDIV	0.646529915439714	0.421356064239442	0.677121393190273	1	23	5	4	-0.385128744249796
2181__WILDTYPE_SNP_INDIV	0.0364104283867164	0.848670404587904	0.929219546342084	1	20	5	4	-0.112704049727882
1674__WILDTYPE_SNP_INDIV	6.34346997326315	0.0117814184424552	0.0922031039085526	1	24	5	4	-1.18234027147416
4178__WILDTYPE_SNP_INDIV	3.23452976046201	0.0721009994531659	0.267397756086355	1	25	5	4	0.718894740893599
1175__WILDTYPE_SNP_INDIV	9.89921448535233	0.0016534933582858	0.0272250933844949	1	26	5	4	0.895886721177902
1697__WILDTYPE_SNP_INDIV	0.000822763117184877	0.977116738759526	0.98782035586833	1	26	5	4	-0.00953546072565182
1065__WILDTYPE_SNP_INDIV	13.9027307049373	0.000192518561750684	0.00646081522966107	1	26	5	4	-0.64929670646813
4239__WILDTYPE_SNP_INDIV	0.217892222056662	0.640650653836985	0.82558606008692	1	26	5	4	-0.166324891140123
1654__WILDTYPE_SNP_INDIV	1.7079209324711	0.191255341220292	0.455049272442331	1	26	5	4	0.291757412253985
3993__WILDTYPE_SNP_INDIV	2.77188026988961	0.0959334117636802	0.315115977449624	1	26	5	4	-0.45382251365845
1172__WILDTYPE_SNP_INDIV	3.96104515860679	0.0465647832919385	0.205390068950379	1	26	5	4	0.417105315041136
4284__WILDTYPE_SNP_INDIV	0.930223905025741	0.334804750258519	0.604108795224348	1	17	5	4	-0.718122657769309
894__WILDTYPE_SNP_INDIV	4.24984337364003	0.0392539506103816	0.185962200374355	1	24	5	4	-0.919859433814454
1315__WILDTYPE_SNP_INDIV	4.5591393910895	0.032743523048002	0.166811217736053	1	26	5	4	0.41266187342053
3191__WILDTYPE_SNP_INDIV	0.00501349592809675	0.943552121140715	0.975674774693879	1	24	5	4	-0.0334153172941568
2659__WILDTYPE_SNP_INDIV	0.530731240249224	0.466299593079465	0.710855065815868	1	26	5	4	-0.28541107758631
951__WILDTYPE_SNP_INDIV	3.1303284569633	0.0768482558565909	0.276872957849684	1	13	5	4	1.70464188050682
3858__WILDTYPE_SNP_INDIV	1.25109815303495	0.263342839622174	0.536319642400835	1	26	5	4	-0.204791081917332
1530__WILDTYPE_SNP_INDIV	0.203949206606922	0.651551867690826	0.832116900779255	1	22	5	4	0.337415966180967
748__WILDTYPE_SNP_INDIV	8.23923435288771	0.00409944216484271	0.0489383655449755	1	23	5	4	-1.34439873275419
4069__WILDTYPE_SNP_INDIV	5.30213529674666	0.0212992982642499	0.1313472839934	1	22	5	4	0.963763070197396
4251__WILDTYPE_SNP_INDIV	2.63713194101342	0.104391846780822	0.32840536505051	1	23	5	4	0.68694499951626
3622__WILDTYPE_SNP_INDIV	0.122134706227371	0.726730662886948	0.872426836402229	1	26	5	4	-0.106505303636622
3980__WILDTYPE_SNP_INDIV	0.945831584393545	0.330782606111586	0.601525474319629	1	25	5	4	0.506564690937354
4250__WILDTYPE_SNP_INDIV	3.57343351326676	0.0587107984684044	0.235746333136459	1	26	5	4	0.671791211391602
3344__WILDTYPE_SNP_INDIV	0.0180655764004314	0.893079762003215	0.951996840927017	1	17	5	4	0.0846263214464826
4174__WILDTYPE_SNP_INDIV	2.69862709777385	0.10043469836111	0.323235256720035	1	20	5	4	-1.21533930745263
4578__WILDTYPE_SNP_INDIV	4.18780395447129	0.0407158072506102	0.191189000974245	1	26	5	4	0.819771967299022
1239__WILDTYPE_SNP_INDIV	0.0811237736063504	0.775780244878711	0.894392480272515	1	26	5	4	0.0876143391550741
3328__WILDTYPE_SNP_INDIV	0.465192868481154	0.495207026498388	0.73554761823654	1	26	5	4	0.14590825215702
2878__WILDTYPE_SNP_INDIV	0.529971154579925	0.466618986947849	0.711116074424493	1	25	5	4	0.240386820694813
4534__WILDTYPE_SNP_INDIV	6.58785234029665	0.0102676965897267	0.0847181007710542	1	26	5	4	0.763174304910387
1430__WILDTYPE_SNP_INDIV	6.30558531137103	0.0120358170554822	0.0933116091264279	1	26	5	4	-0.727452269059297
1998__WILDTYPE_SNP_INDIV	0.205859918497936	0.650031893004675	0.831804632304774	1	26	5	4	-0.12768772193601
237__WILDTYPE_SNP_INDIV	2.7261743238264	0.0987154918497196	0.319875520180151	1	26	5	4	0.476786020026853
1910__WILDTYPE_SNP_INDIV	2.94777044245643	0.0859961233508399	0.295269897061164	1	23	5	4	1.18998145358714
2251__WILDTYPE_SNP_INDIV	2.67635954556636	0.101848315924849	0.325531150820626	1	26	5	4	0.30461422547133
1197__WILDTYPE_SNP_INDIV	11.2414469640653	0.00079990771307063	0.0171353910622791	1	26	5	4	0.786534148453701
2315__WILDTYPE_SNP_INDIV	0.187482272093121	0.665020413917038	0.839023425514899	1	24	5	4	-0.18332593069195
2013__WILDTYPE_SNP_INDIV	6.25240606533862	0.0124024727223458	0.0951275428872804	1	26	5	4	0.464977607384626
4166__WILDTYPE_SNP_INDIV	2.75874977734748	0.096723798964634	0.316372384758645	1	26	5	4	0.579209723957997
3975__WILDTYPE_SNP_INDIV	3.72615795259503	0.0535664739543843	0.220657088847288	1	25	5	4	-0.855794930305685
742__WILDTYPE_SNP_INDIV	1.36186153776271	0.243215121251741	0.512599634118183	1	26	5	4	0.13761073490483
3106__WILDTYPE_SNP_INDIV	12.1811199293801	0.000482756513164171	0.0123890294474591	1	8	5	4	4.37477273863793
2538__WILDTYPE_SNP_INDIV	6.55065710611552	0.0104845430679546	0.0851582085083239	1	25	5	4	1.09360321043587
4298__WILDTYPE_SNP_INDIV	1.94396634484701	0.163238520971583	0.416609315401879	1	24	5	4	-0.64582582416496
646__WILDTYPE_SNP_INDIV	4.06672067715999	0.043736104716526	0.198599838312508	1	25	5	4	0.724575152570313
2688__WILDTYPE_SNP_INDIV	0.362325891945773	0.547217323720565	0.768313615136041	1	20	5	4	-0.532092105730915
307__WILDTYPE_SNP_INDIV	0.0118393111024488	0.91335430371694	0.961104618499828	1	26	5	4	0.0369316257042098
875__WILDTYPE_SNP_INDIV	2.91030420792157	0.0880152715381847	0.299320756046886	1	19	5	4	1.16523212315614
4131__WILDTYPE_SNP_INDIV	0.603949060539321	0.437075235100756	0.691567442548146	1	15	5	4	0.548102264166
1395__WILDTYPE_SNP_INDIV	2.42824365147908	0.119166348601148	0.350977454716254	1	26	5	4	0.412352306750075
3524__WILDTYPE_SNP_INDIV	2.19771364772453	0.13821560791588	0.380548882609471	1	10	5	4	1.59695353174912
1182__WILDTYPE_SNP_INDIV	0.690453427852844	0.406010195913611	0.662961187543184	1	26	5	4	-0.232355994104795
3854__WILDTYPE_SNP_INDIV	2.08429569742955	0.148820846706713	0.396112725094573	1	10	5	4	-0.877581493590151
3276__WILDTYPE_SNP_INDIV	0.388742578403026	0.532961097428826	0.759915026061583	1	26	5	4	-0.197487631381315
4391__WILDTYPE_SNP_INDIV	0.928321643443724	0.335299425057064	0.604108795224348	1	13	5	4	0.926880087455392
4035__WILDTYPE_SNP_INDIV	0.0150628678493376	0.902320213420293	0.955901700707281	1	26	5	4	-0.0422462460017748
1977__WILDTYPE_SNP_INDIV	5.79120101185867	0.0161065818370781	0.111047671004592	1	25	5	4	0.71075721171055
1466__WILDTYPE_SNP_INDIV	4.62251898152863	0.0315548656119887	0.16424273326674	1	21	5	4	1.21735614325838
1285__WILDTYPE_SNP_INDIV	7.56741412574638	0.00594329926643504	0.0610747177293828	1	26	5	4	-0.881671156574565
1721__WILDTYPE_SNP_INDIV	1.67055800093067	0.196183811512817	0.461905750039951	1	25	5	4	0.507087364846598
1418__WILDTYPE_SNP_INDIV	1.0957322672443	0.29520460462174	0.569134294791826	1	9	5	4	1.1804647848845
4243__WILDTYPE_SNP_INDIV	3.28181014287546	0.0700516277172079	0.261820686460188	1	12	5	4	-2.21583859159392
101__WILDTYPE_SNP_INDIV	0.561811596739062	0.45353124228851	0.702517374359103	1	26	5	4	-0.171749839119494
3025__WILDTYPE_SNP_INDIV	3.01558943182818	0.0824674693025408	0.286991577362504	1	26	5	4	0.554559879965768
1508__WILDTYPE_SNP_INDIV	0.560123326274862	0.454210556809636	0.702920497300691	1	6	5	4	-0.921336914117104
4619__WILDTYPE_SNP_INDIV	0.0220148931011863	0.882047487028319	0.947026772573835	1	26	5	4	-0.0412295302433281
4286__WILDTYPE_SNP_INDIV	0.426180283698841	0.513869201813507	0.7462235367819	1	26	5	4	-0.152004475957597
764__WILDTYPE_SNP_INDIV	1.40680366456559	0.235587728618132	0.510054190361586	1	21	5	4	0.513996825692802
1099__WILDTYPE_SNP_INDIV	1.8131121455724	0.178135349266913	0.436827563174204	1	25	5	4	-0.677284572754532
2624__WILDTYPE_SNP_INDIV	3.61522132729863	0.0572531031850795	0.231667489194938	1	26	5	4	0.92459710115311
4132__WILDTYPE_SNP_INDIV	0.695878666374256	0.404171996954913	0.661535270595712	1	24	5	4	-0.319018401288362
2728__WILDTYPE_SNP_INDIV	1.49926663037911	0.220784237296811	0.494150609400572	1	21	5	4	0.769710247994973
2066__WILDTYPE_SNP_INDIV	5.0993428253056	0.0239349099923315	0.140077601284389	1	22	5	4	1.04260126567724
4276__WILDTYPE_SNP_INDIV	0.352706124679571	0.552585241524085	0.771785964515158	1	21	5	4	-0.433635504930417
577__WILDTYPE_SNP_INDIV	0.176914735998878	0.674038185312518	0.841601939143374	1	11	5	4	-0.463163922775218
2620__WILDTYPE_SNP_INDIV	1.27705519662504	0.258447290476015	0.530948203672043	1	26	5	4	0.330659497175541
227__WILDTYPE_SNP_INDIV	0.00134944481033017	0.970696468793968	0.986525276099588	1	26	5	4	0.00914986232098547
1496__WILDTYPE_SNP_INDIV	4.15365765189654	0.0415446911381328	0.192996316352556	1	23	5	4	-1.0191053219654
1837__WILDTYPE_SNP_INDIV	6.02993197943988	0.01406527524395	0.103685492927367	1	25	5	4	0.880003756155049
