statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
2465__WILDTYPE_SNP_INDIV	15.1889304307258	9.72719625758773e-05	0.000600523128901429	1	16	5	4	-0.958946176764972
1392__WILDTYPE_SNP_INDIV	1.36134098502362	0.243305212349149	0.371686220772413	1	23	5	4	-0.167686468246984
4347__WILDTYPE_SNP_INDIV	1.33765527750757	0.247447888351841	0.376578388669711	1	26	5	4	-0.126209046542524
4234__WILDTYPE_SNP_INDIV	14.552169409576	0.000136331588997843	0.000790361419449498	1	26	5	4	0.411010726251238
2850__WILDTYPE_SNP_INDIV	34.0260262917309	5.43798027641097e-09	1.22699216940991e-07	1	24	5	4	-0.859375684362035
278__WILDTYPE_SNP_INDIV	17.6201444510302	2.69716188464006e-05	0.000202360517610195	1	26	5	4	-0.311093529425213
45__WILDTYPE_SNP_INDIV	4.01222578930538	0.0451714802867592	0.100135670783286	1	26	5	4	0.176723782107042
4044__WILDTYPE_SNP_INDIV	7.47968357465425	0.00623990367046527	0.0197166186983932	1	26	5	4	0.278086968503769
1686__WILDTYPE_SNP_INDIV	3.85470132774435	0.0496067582468306	0.108122485321663	1	24	5	4	-0.283676113168631
3181__WILDTYPE_SNP_INDIV	1.42357446714504	0.232815958198223	0.358511212784575	1	25	5	4	-0.117876964335179
653__WILDTYPE_SNP_INDIV	5.81181696660542	0.0159188386786012	0.0427168836903168	1	23	5	4	0.469398069242565
3801__WILDTYPE_SNP_INDIV	20.7633560092968	5.19678706450182e-06	4.87807785781167e-05	1	26	5	4	0.475244373624185
565__WILDTYPE_SNP_INDIV	18.9706540185002	1.32744468518196e-05	0.000111227327603825	1	26	5	4	-0.499275931122182
1945__WILDTYPE_SNP_INDIV	13.9830331571436	0.000184467779826689	0.00103448325536414	1	24	5	4	0.492462210083211
1456__WILDTYPE_SNP_INDIV	4.40111879853202	0.0359153617080443	0.0831851702982462	1	26	5	4	-0.256875899914602
1845__WILDTYPE_SNP_INDIV	15.1890511664583	9.72657433836163e-05	0.000600523128901429	1	26	5	4	-0.375858697471989
4601__WILDTYPE_SNP_INDIV	60.8476883538428	6.16658725674874e-15	4.85846202556303e-13	1	26	5	4	0.722152466801296
1537__WILDTYPE_SNP_INDIV	16.1045204939442	5.99407872486276e-05	0.000403466979715552	1	26	5	4	-0.392770041763223
1485__WILDTYPE_SNP_INDIV	35.2732668064341	2.86538344888557e-09	7.06206813094567e-08	1	26	5	4	-0.56096703173713
1633__WILDTYPE_SNP_INDIV	1.60996564913876	0.20449663084088	0.324574243005703	1	26	5	4	-0.14179549811409
4599__WILDTYPE_SNP_INDIV	1.65406680119895	0.198406320316125	0.317001587579554	1	24	5	4	-0.209709258297669
4670__WILDTYPE_SNP_INDIV	78.9072366513506	6.50958669516507e-19	8.69029823804537e-17	1	26	5	4	-0.943028429300655
3986__WILDTYPE_SNP_INDIV	0.758927767398063	0.383664283509283	0.521020216599496	1	22	5	4	0.109399486221463
3978__WILDTYPE_SNP_INDIV	8.19318784496318	0.00420479731074517	0.0142111504046704	1	25	5	4	0.354371121297212
735__WILDTYPE_SNP_INDIV	7.77284768093068	0.00530373717306818	0.017246116951127	1	26	5	4	-0.424212584916601
31__WILDTYPE_SNP_INDIV	7.83593557120275	0.00512176376009759	0.0167792751404424	1	26	5	4	-0.388142704954849
2630__WILDTYPE_SNP_INDIV	1.15148003556442	0.283239540574556	0.417049397059226	1	13	5	4	0.20652242887579
222__WILDTYPE_SNP_INDIV	6.97666423480496	0.00825793903927281	0.0249607893224812	1	26	5	4	-0.280684546704666
3128__WILDTYPE_SNP_INDIV	3.08690708613585	0.0789246931770548	0.155967136270117	1	26	5	4	-0.220874062359334
1379__WILDTYPE_SNP_INDIV	1.04192882293091	0.307373302683618	0.443215149324173	1	26	5	4	-0.114128202675565
3973__WILDTYPE_SNP_INDIV	12.6314042782715	0.000379320122525956	0.00190095152123018	1	26	5	4	0.449945504471448
2295__WILDTYPE_SNP_INDIV	1.25249848815793	0.263075815587401	0.394490598974431	1	23	5	4	0.182596534599799
3453__WILDTYPE_SNP_INDIV	1.56413432984482	0.21106090017812	0.332032303193467	1	26	5	4	-0.10344270990642
3058__WILDTYPE_SNP_INDIV	6.12498689416157	0.013328427589847	0.0368352058636024	1	24	5	4	-0.504287269343132
4212__WILDTYPE_SNP_INDIV	0.0281941828765184	0.866653111282878	0.914610200444776	1	15	5	4	0.0330818788301034
3521__WILDTYPE_SNP_INDIV	6.10015359298507	0.0135170132876935	0.0372706631443803	1	17	5	4	0.547792641037246
4563__WILDTYPE_SNP_INDIV	1.38747314685997	0.238832288500539	0.365899897524256	1	26	5	4	-0.123536474662051
3360__WILDTYPE_SNP_INDIV	0.0132463053059837	0.908371729640785	0.941425772653334	1	26	5	4	0.0134892992232809
3419__WILDTYPE_SNP_INDIV	13.5126901593912	0.00023695561154031	0.00128388801472686	1	26	5	4	0.483690590401004
3747__WILDTYPE_SNP_INDIV	2.80320028925166	0.0940763593302432	0.178990887941864	1	21	5	4	0.284507048788571
806__WILDTYPE_SNP_INDIV	7.92421972611078	0.00487773760730257	0.0161005542175111	1	16	5	4	-0.728259298548174
3464__WILDTYPE_SNP_INDIV	12.4105635374199	0.000426912016910673	0.00210847171219567	1	26	5	4	-0.258472689433705
3555__WILDTYPE_SNP_INDIV	0.0521503771342395	0.819362830281506	0.88193902851801	1	26	5	4	-0.0231705647751088
1501__WILDTYPE_SNP_INDIV	2.06895060093234	0.150324925850117	0.2576884848381	1	23	5	4	-0.185533950897358
553__WILDTYPE_SNP_INDIV	8.32172030391973	0.00391738024380331	0.0134524419682203	1	19	5	4	-0.553033564492103
3323__WILDTYPE_SNP_INDIV	0.769013009706669	0.380522558943372	0.51792450248707	1	12	5	4	-0.263648210049486
2961__WILDTYPE_SNP_INDIV	0.00502014117864746	0.943514785993806	0.963541389877611	1	26	5	4	0.00866442239882392
3702__WILDTYPE_SNP_INDIV	1.15900657348493	0.281671663645505	0.415377114292819	1	25	5	4	0.12731972117421
3155__WILDTYPE_SNP_INDIV	0.772192395083948	0.379539670747896	0.517172570914202	1	26	5	4	-0.0985835403137354
4327__WILDTYPE_SNP_INDIV	1.43117423793819	0.231572897815767	0.356940136915515	1	26	5	4	0.12264333922881
591__WILDTYPE_SNP_INDIV	4.66194479176102	0.0308382430584375	0.0732617875130256	1	26	5	4	-0.166047460283168
2327__WILDTYPE_SNP_INDIV	0.146249109791825	0.702145927532482	0.794190004170654	1	26	5	4	0.0310648159079838
4487__WILDTYPE_SNP_INDIV	1.94791755923279	0.16281143039132	0.274070660056281	1	25	5	4	0.147727892105946
4336__WILDTYPE_SNP_INDIV	22.6032900168682	1.99143292877517e-06	2.13158722843952e-05	1	17	5	4	-0.868503376774054
671__WILDTYPE_SNP_INDIV	0.884641378426068	0.346933586708015	0.484183618220437	1	21	5	4	0.146628933072758
2406__WILDTYPE_SNP_INDIV	0.0912704518300416	0.762568209860653	0.83953113314401	1	26	5	4	-0.032815074483478
1242__WILDTYPE_SNP_INDIV	1.83718299393058	0.175281476774174	0.288878535238735	1	26	5	4	0.159398248049198
2627__WILDTYPE_SNP_INDIV	14.8280084092087	0.000117773338265929	0.000696209918457632	1	25	5	4	-0.607497425144334
3631__WILDTYPE_SNP_INDIV	16.8178900301223	4.11435973879171e-05	0.000291075421363448	1	26	5	4	-0.461092764447649
3856__WILDTYPE_SNP_INDIV	2.50404329730077	0.113554425437548	0.207981161834167	1	22	5	4	0.246772358446993
1535__WILDTYPE_SNP_INDIV	2.59547304038233	0.10716943793068	0.198403820760727	1	25	5	4	-0.245569197868786
3619__WILDTYPE_SNP_INDIV	1.02452090561678	0.311449032674939	0.447123121720391	1	25	5	4	-0.122381226993644
3124__WILDTYPE_SNP_INDIV	22.8122264753597	1.78625713470731e-06	1.94665573455857e-05	1	26	5	4	-0.337608388322401
2903__WILDTYPE_SNP_INDIV	4.23973513602186	0.0394883270342922	0.0897309218566469	1	26	5	4	0.211178808419691
3863__WILDTYPE_SNP_INDIV	3.50926065371073	0.0610266839003157	0.126365464379542	1	23	5	4	0.28714758708581
2181__WILDTYPE_SNP_INDIV	0.108313933195291	0.742071924668437	0.824982111949227	1	20	5	4	-0.0738917418586351
1674__WILDTYPE_SNP_INDIV	12.7669379586505	0.000352799887419348	0.00178291930487633	1	24	5	4	-0.520016560023215
4178__WILDTYPE_SNP_INDIV	11.646058167144	0.000643387248363105	0.00294768266504584	1	25	5	4	0.392019260978514
1175__WILDTYPE_SNP_INDIV	37.055206962681	1.14831526712925e-09	3.20860649640882e-08	1	26	5	4	0.559299077983532
1697__WILDTYPE_SNP_INDIV	1.89535380701227	0.16859929915688	0.28095985844243	1	26	5	4	0.161853715881625
1065__WILDTYPE_SNP_INDIV	28.682902687814	8.52530973254961e-08	1.3936271624025e-06	1	26	5	4	-0.403998088502391
4239__WILDTYPE_SNP_INDIV	5.32208055665797	0.0210568553981378	0.0540305643584891	1	26	5	4	-0.311716135985442
1654__WILDTYPE_SNP_INDIV	21.3651106673187	3.79616859277685e-06	3.70820858879787e-05	1	26	5	4	0.462164673238746
3993__WILDTYPE_SNP_INDIV	24.8641992728358	6.15142655491766e-07	7.71899635063559e-06	1	26	5	4	-0.581944683053046
1172__WILDTYPE_SNP_INDIV	58.1330068584957	2.44981243752053e-14	1.75728336936174e-12	1	26	5	4	0.63063507349027
4284__WILDTYPE_SNP_INDIV	22.4475848810207	2.15956859589868e-06	2.28107399382177e-05	1	17	5	4	-0.906084420082276
894__WILDTYPE_SNP_INDIV	3.59565901333121	0.0579306555255897	0.121737966968074	1	24	5	4	-0.235952398634263
1315__WILDTYPE_SNP_INDIV	26.775240587192	2.28546905824961e-07	3.28861206405618e-06	1	26	5	4	0.466497906770085
3191__WILDTYPE_SNP_INDIV	3.61177379301739	0.0573718970047544	0.120933919738969	1	24	5	4	0.31068993776003
2659__WILDTYPE_SNP_INDIV	7.50365567659264	0.00615738828811484	0.0195329426486336	1	26	5	4	-0.459987336171636
951__WILDTYPE_SNP_INDIV	1.77417407192092	0.182866347248529	0.297614515704853	1	13	5	4	0.356716878684056
3858__WILDTYPE_SNP_INDIV	0.250939475600717	0.616414339344601	0.728062746348034	1	26	5	4	-0.0485281523751098
1530__WILDTYPE_SNP_INDIV	2.77249678187547	0.0958964742955806	0.181591196006525	1	22	5	4	-0.552114876433503
748__WILDTYPE_SNP_INDIV	3.1821763938774	0.0744455107304443	0.149077135237715	1	23	5	4	0.242584689604087
4069__WILDTYPE_SNP_INDIV	2.82318209071855	0.0929120398838736	0.177056012562211	1	22	5	4	-0.195653119035084
4251__WILDTYPE_SNP_INDIV	6.14544187354659	0.0131751241057429	0.0365628791524034	1	23	5	4	-0.332217159262831
3622__WILDTYPE_SNP_INDIV	8.06623113332671	0.00450978224977995	0.0150305225329005	1	26	5	4	0.302478992513423
3980__WILDTYPE_SNP_INDIV	12.840640859954	0.000339171429827881	0.00172866900472987	1	25	5	4	-0.419126037577234
4250__WILDTYPE_SNP_INDIV	1.7475371610376	0.186186645315771	0.301690160953336	1	26	5	4	0.188361097916806
3344__WILDTYPE_SNP_INDIV	1.08577028254933	0.297410281272074	0.43235142522492	1	17	5	4	0.171898428256222
4174__WILDTYPE_SNP_INDIV	1.57580019474187	0.209366680194129	0.329906972135404	1	20	5	4	0.214315853797289
4578__WILDTYPE_SNP_INDIV	0.763359280494115	0.382279284729645	0.519844924508278	1	26	5	4	-0.108165506135122
1239__WILDTYPE_SNP_INDIV	6.71860529030346	0.00954122124264512	0.0281319688908911	1	26	5	4	-0.272618245505237
3328__WILDTYPE_SNP_INDIV	0.115920735743202	0.733501599695849	0.81753448240683	1	26	5	4	0.0314367450634559
2878__WILDTYPE_SNP_INDIV	0.684171865311782	0.40815384835588	0.543542986545753	1	25	5	4	-0.0916044093042368
4534__WILDTYPE_SNP_INDIV	9.00974495300443	0.00268543890925541	0.00974054294179735	1	26	5	4	0.313124297546163
1430__WILDTYPE_SNP_INDIV	12.6186372352067	0.00038191966419034	0.00191198531885289	1	26	5	4	-0.425876991365558
1998__WILDTYPE_SNP_INDIV	8.20037309948157	0.00418817763267437	0.0141749166919951	1	26	5	4	-0.382531835518775
237__WILDTYPE_SNP_INDIV	0.229991537034948	0.631530103722005	0.739194758521178	1	26	5	4	0.0469741644101785
1910__WILDTYPE_SNP_INDIV	9.53570874705838	0.00201512341475571	0.00770460074090371	1	23	5	4	-0.717062368811868
2251__WILDTYPE_SNP_INDIV	8.00627373748603	0.00466155613929874	0.0154826805842914	1	26	5	4	0.224984852610697
1197__WILDTYPE_SNP_INDIV	13.8708686426294	0.000195810168573073	0.00108793487880022	1	26	5	4	0.472068540897451
2315__WILDTYPE_SNP_INDIV	2.7167321580705	0.0993011255335014	0.186787166072019	1	24	5	4	0.214599456847744
2013__WILDTYPE_SNP_INDIV	16.771750320991	4.2156247128468e-05	0.000296203104823709	1	26	5	4	0.327749917604542
4166__WILDTYPE_SNP_INDIV	6.60536650171161	0.0101671874867263	0.0293827438732452	1	26	5	4	-0.325907102876047
3975__WILDTYPE_SNP_INDIV	0.737410033942524	0.390491801796973	0.528302550664272	1	25	5	4	-0.105212972287527
742__WILDTYPE_SNP_INDIV	1.74339873799909	0.186708759753592	0.302099226898861	1	26	5	4	-0.120560467996023
3106__WILDTYPE_SNP_INDIV	0.106883251063664	0.743720799799748	0.826050881404574	1	8	5	4	0.177405677340719
2538__WILDTYPE_SNP_INDIV	0.0800744138352911	0.777196592820123	0.850069828196065	1	25	5	4	0.0332418512120473
4298__WILDTYPE_SNP_INDIV	8.30250128654438	0.00395905142427605	0.0135424919181998	1	24	5	4	-0.405328779982554
646__WILDTYPE_SNP_INDIV	9.64771679106752	0.00189587086545703	0.00731851837701727	1	25	5	4	0.404522342622798
2688__WILDTYPE_SNP_INDIV	7.7090034079016	0.00549460778662896	0.0177825488367264	1	20	5	4	-0.549329816458891
307__WILDTYPE_SNP_INDIV	1.55287140898463	0.212712043286663	0.334153533720048	1	26	5	4	0.117992188179362
875__WILDTYPE_SNP_INDIV	0.185993808598937	0.666272064726109	0.766650842056229	1	19	5	4	-0.0942591788720462
4131__WILDTYPE_SNP_INDIV	10.2900871260542	0.00133746774397663	0.00547052764046951	1	15	5	4	-0.998488106727549
1395__WILDTYPE_SNP_INDIV	0.0609429710975746	0.8050116963444	0.871763454851552	1	26	5	4	0.021672710605422
3524__WILDTYPE_SNP_INDIV	13.386325810027	0.000253465420816692	0.00136258927566557	1	10	5	4	1.531707754657
1182__WILDTYPE_SNP_INDIV	8.33077934621588	0.00389789320123151	0.0134192512357583	1	26	5	4	-0.336486740846206
3854__WILDTYPE_SNP_INDIV	3.61701954972403	0.0571912443863711	0.120709002404882	1	10	5	4	-0.658204719104945
3276__WILDTYPE_SNP_INDIV	13.9906441768039	0.000183722550384892	0.0010315076835862	1	26	5	4	-0.532397160770408
4391__WILDTYPE_SNP_INDIV	0.0191944837636697	0.889810372908937	0.929478741590411	1	13	5	4	-0.0467486171383727
4035__WILDTYPE_SNP_INDIV	5.01511951546172	0.0251268947914663	0.0618330037725483	1	26	5	4	-0.24964292296631
1977__WILDTYPE_SNP_INDIV	11.9203186711666	0.000555249816161087	0.00260853432695033	1	25	5	4	0.403183166562078
1466__WILDTYPE_SNP_INDIV	0.12437377328979	0.724338356580593	0.81108344401825	1	21	5	4	-0.0660914584918576
1285__WILDTYPE_SNP_INDIV	0.265969747839563	0.606048203179676	0.719912955468608	1	26	5	4	-0.0597909567081969
1721__WILDTYPE_SNP_INDIV	0.243015830266586	0.622036358268374	0.732722239666128	1	25	5	4	0.0663879390914377
1418__WILDTYPE_SNP_INDIV	3.93377054556152	0.047325721966648	0.10399973469214	1	9	5	4	0.97240149323763
4243__WILDTYPE_SNP_INDIV	0.0570061623935771	0.811291973142325	0.876983630886643	1	12	5	4	0.112384875212233
101__WILDTYPE_SNP_INDIV	1.136489441913	0.286395350058619	0.420023207928509	1	26	5	4	-0.113692071203562
3025__WILDTYPE_SNP_INDIV	0.148106581636966	0.700351383120474	0.793224192402414	1	26	5	4	-0.0439894767965012
1508__WILDTYPE_SNP_INDIV	33.6393324549482	6.63376812354495e-09	1.46921150238512e-07	1	6	5	4	-0.655684803333885
4619__WILDTYPE_SNP_INDIV	0.71800487732753	0.396799126314934	0.534053005420658	1	26	5	4	0.0795463027126743
4286__WILDTYPE_SNP_INDIV	32.4484074725301	1.22399218451359e-08	2.49258747405607e-07	1	26	5	4	-0.555707850818747
764__WILDTYPE_SNP_INDIV	5.80923111811558	0.0159422629595724	0.0427320221883464	1	21	5	4	0.308548450599847
1099__WILDTYPE_SNP_INDIV	1.6291649333175	0.201818588914536	0.321704855165261	1	25	5	4	-0.193553368909513
2624__WILDTYPE_SNP_INDIV	11.364610138402	0.000748567881705075	0.00335598623085316	1	26	5	4	0.488311994238815
4132__WILDTYPE_SNP_INDIV	19.1017240136716	1.23932885344221e-05	0.00010541972512643	1	24	5	4	-0.576488500617492
2728__WILDTYPE_SNP_INDIV	1.82169638021264	0.177111484599176	0.291105920163874	1	21	5	4	-0.20756660901065
